Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Marten de Roon,nl NED,MF,32-008,22.9,1313,1252,58,42,0,20,10,12,0,0,0,0,1087,3,19,Matches
Teun Koopmeiners,nl NED,MF,25-037,22.8,1291,1175,112,41,4,16,103,21,47,18,22,0,965,4,22,Matches
Rafael Tolói,it ITA,DF,32-178,21.9,1211,1171,36,15,2,8,21,20,0,0,0,0,963,4,15,Matches
Juan Musso,ar ARG,GK,28-335,21.1,649,464,184,45,0,3,0,0,0,0,0,0,482,1,1,Matches
Ademola Lookman,ng NGA,"FW,MF",25-168,17.6,599,552,45,7,5,2,37,11,16,2,7,0,454,2,23,Matches
Giorgio Scalvini,it ITA,DF,19-116,17.4,978,950,25,21,1,17,7,4,0,0,0,0,787,3,11,Matches
Éderson,br BRA,MF,23-273,17.1,797,774,21,13,0,18,12,1,4,2,0,0,648,2,19,Matches
Hans Hateboer,nl NED,DF,29-087,15.5,702,571,129,3,2,1,23,126,0,0,0,0,560,2,13,Matches
Joakim Mæhle,dk DEN,"DF,MF",25-321,15.7,1004,832,170,4,1,2,27,165,1,0,1,0,818,2,31,Matches
Mario Pašalić,hr CRO,"MF,FW",28-056,13.9,495,476,17,6,0,3,3,2,0,0,0,0,403,2,10,Matches
Merih Demiral,tr TUR,DF,25-032,16.1,607,542,65,40,0,3,2,2,0,0,0,0,520,0,1,Matches
Rasmus Højlund,dk DEN,FW,20-061,14.6,332,316,14,0,1,1,4,0,0,0,0,0,247,2,12,Matches
Duván Zapata,co COL,FW,32-005,10.0,293,274,16,1,0,5,19,2,1,0,0,0,194,3,10,Matches
Berat Djimsiti,al ALB,DF,30-046,10.4,619,591,27,15,0,0,0,11,0,0,0,0,535,1,4,Matches
Caleb Okoli,it ITA,DF,21-267,9.4,387,363,24,17,0,3,1,5,0,0,0,0,297,0,6,Matches
Matteo Ruggeri,it ITA,"DF,MF",20-269,9.2,631,527,102,5,0,2,38,96,1,1,0,0,515,2,10,Matches
Luis Muriel,co COL,FW,31-355,9.1,392,334,56,5,6,11,63,9,32,14,16,0,245,2,13,Matches
Davide Zappacosta,it ITA,"DF,MF",30-299,6.9,453,365,88,2,0,0,29,86,0,0,0,0,379,0,12,Matches
José Luis Palomino,ar ARG,DF,33-091,6.6,426,402,24,18,0,0,3,6,0,0,0,0,352,0,8,Matches
Brandon Soppy,fr FRA,DF,21-044,6.3,279,221,58,0,1,0,14,58,0,0,0,0,212,0,10,Matches
Marco Sportiello,it ITA,GK,30-331,6.9,242,170,72,11,0,0,0,0,0,0,0,0,194,0,0,Matches
Jeremie Boga,ci CIV,"MF,FW",26-093,7.0,389,349,39,7,3,3,43,6,26,12,9,0,313,1,7,Matches
Ruslan Malinovskyi,ua UKR,"MF,FW",29-337,6.1,332,304,23,8,2,11,23,2,13,6,6,0,248,5,6,Matches
Nadir Zortea,it ITA,"DF,MF",23-291,2.5,98,83,15,0,1,0,10,15,0,0,0,0,60,0,6,Matches
Lukáš Vorlický,cz CZE,"MF,FW",21-078,0.3,31,30,1,0,0,0,1,1,0,0,0,0,19,0,0,Matches
Squad Total,,,27.0,28.0,14550,13088,1421,326,29,129,493,661,141,55,61,0,11497,41,269,
Opponent Total,,,27.2,28.0,14001,12543,1425,366,23,81,426,627,114,30,48,0,10956,33,285,
