Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Marten de Roon,nl NED,MF,32-005,25,2064.0,83.0,81.9,22.9,24,86.0,21,1,10.0,0,1.8,38.0,24.0,14.0,0.61,0.41,35.6,24.0,11.5,0.5,-0.26,Matches
Teun Koopmeiners,nl NED,MF,25-034,24,2048.0,85.0,81.3,22.8,23,87.0,20,1,45.0,0,1.71,38.0,22.0,16.0,0.7,0.89,35.8,22.7,13.1,0.58,0.14,Matches
Rafael Tolói,it ITA,DF,32-175,23,1975.0,86.0,78.4,21.9,23,86.0,16,0,,1,1.91,35.0,22.0,13.0,0.59,0.26,33.5,22.6,10.9,0.5,-0.24,Matches
Juan Musso,ar ARG,GK,28-332,22,1897.0,86.0,75.3,21.1,22,86.0,21,0,,2,1.82,38.0,23.0,15.0,0.71,0.71,34.5,21.2,13.3,0.63,0.33,Matches
Ademola Lookman,ng NGA,"FW,MF",25-165,27,1581.0,59.0,62.7,17.6,19,74.0,3,8,23.0,1,1.67,33.0,20.0,13.0,0.74,0.55,32.1,18.1,14.0,0.8,0.66,Matches
Giorgio Scalvini,it ITA,DF,19-113,22,1569.0,71.0,62.3,17.4,19,80.0,10,3,19.0,4,1.82,31.0,22.0,9.0,0.52,-0.05,27.1,19.9,7.2,0.41,-0.37,Matches
Éderson,br BRA,MF,23-270,25,1536.0,61.0,61.0,17.1,17,75.0,7,8,33.0,1,1.64,27.0,21.0,6.0,0.35,-0.47,27.4,19.1,8.3,0.48,-0.17,Matches
Hans Hateboer,nl NED,DF,29-084,17,1397.0,82.0,55.4,15.5,17,82.0,11,0,,4,1.82,22.0,16.0,6.0,0.39,-0.33,21.3,17.4,3.9,0.25,-0.67,Matches
Joakim Mæhle,dk DEN,"DF,MF",25-318,25,1415.0,57.0,56.2,15.7,16,78.0,6,9,19.0,2,1.56,22.0,19.0,3.0,0.19,-0.79,25.3,19.3,6.0,0.38,-0.39,Matches
Mario Pašalić,hr CRO,"MF,FW",28-053,23,1251.0,54.0,49.6,13.9,15,70.0,1,8,26.0,2,1.7,21.0,17.0,4.0,0.29,-0.49,23.1,16.9,6.2,0.44,-0.21,Matches
Merih Demiral,tr TUR,DF,25-029,23,1452.0,63.0,57.6,16.1,14,87.0,12,9,26.0,2,1.91,23.0,20.0,3.0,0.19,-0.83,25.6,16.7,8.9,0.55,0.0,Matches
Rasmus Højlund,dk DEN,FW,20-058,24,1312.0,55.0,52.1,14.6,14,73.0,3,10,30.0,2,1.71,33.0,18.0,15.0,1.03,1.03,26.7,14.7,12.0,0.83,0.58,Matches
Duván Zapata,co COL,FW,32-002,18,896.0,50.0,35.6,10.0,11,68.0,3,7,21.0,0,1.78,10.0,12.0,-2.0,-0.2,-1.14,12.3,12.1,0.2,0.02,-0.82,Matches
Berat Djimsiti,al ALB,DF,30-043,14,936.0,67.0,37.1,10.4,10,84.0,8,4,23.0,5,1.29,10.0,9.0,1.0,0.1,-0.7,14.0,10.4,3.5,0.34,-0.33,Matches
Caleb Okoli,it ITA,DF,21-264,13,845.0,65.0,33.5,9.4,9,85.0,8,4,20.0,15,1.85,14.0,8.0,6.0,0.64,0.16,14.9,8.0,6.9,0.74,0.28,Matches
Matteo Ruggeri,it ITA,"DF,MF",20-266,15,829.0,55.0,32.9,9.2,8,90.0,8,7,16.0,13,1.67,19.0,13.0,6.0,0.65,0.17,16.4,9.5,6.8,0.74,0.29,Matches
Luis Muriel,co COL,FW,31-352,19,820.0,43.0,32.5,9.1,8,67.0,0,11,26.0,2,1.58,12.0,8.0,4.0,0.44,-0.14,14.0,8.1,5.8,0.64,0.14,Matches
Davide Zappacosta,it ITA,"DF,MF",30-296,11,619.0,56.0,24.6,6.9,8,65.0,1,3,34.0,1,2.0,16.0,7.0,9.0,1.31,1.02,13.2,6.3,6.9,1.0,0.59,Matches
José Luis Palomino,ar ARG,DF,33-088,10,595.0,60.0,23.6,6.6,7,77.0,5,3,18.0,2,1.7,22.0,11.0,11.0,1.66,1.48,15.1,8.2,6.9,1.04,0.65,Matches
Brandon Soppy,fr FRA,DF,21-041,11,568.0,52.0,22.5,6.3,7,66.0,1,4,27.0,16,1.55,10.0,8.0,2.0,0.32,-0.28,10.1,4.4,5.7,0.9,0.45,Matches
Marco Sportiello,it ITA,GK,30-328,7,623.0,89.0,24.7,6.9,6,90.0,6,1,83.0,21,1.57,9.0,9.0,0.0,0.0,-0.71,10.5,8.4,2.1,0.3,-0.33,Matches
Jeremie Boga,ci CIV,"MF,FW",26-090,18,630.0,35.0,25.0,7.0,5,70.0,1,13,21.0,9,1.61,18.0,10.0,8.0,1.14,0.81,13.2,7.0,6.2,0.89,0.46,Matches
Ruslan Malinovskyi,ua UKR,"MF,FW",29-334,15,553.0,37.0,21.9,6.1,5,68.0,0,10,21.0,1,1.67,9.0,8.0,1.0,0.16,-0.48,8.4,7.0,1.4,0.24,-0.4,Matches
Nadir Zortea,it ITA,"DF,MF",23-288,9,222.0,25.0,8.8,2.5,1,79.0,0,8,18.0,10,2.22,6.0,3.0,3.0,1.22,0.75,3.9,1.9,1.9,0.8,0.27,Matches
Lukáš Vorlický,cz CZE,"MF,FW",21-075,3,24.0,8.0,1.0,0.3,0,,0,3,8.0,5,0.33,1.0,1.0,0.0,0.0,-0.54,0.6,0.4,0.2,0.67,0.12,Matches
Tommaso Bertini,it ITA,GK,19-080,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Mannah Chiwisa,zm ZAM,MF,19-112,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
