Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Łukasz Skorupski,pl POL,GK,31-336,27.0,3,0,0,0,6,0,0,0,1,0,0,0,38,4,0,100.0,Matches
Jhon Lucumí,co COL,DF,24-284,23.2,7,0,0,22,14,0,1,26,29,0,3,0,145,34,24,58.6,Matches
Stefan Posch,at AUT,DF,25-327,19.9,1,0,0,31,15,1,40,28,30,0,0,0,105,19,17,52.8,Matches
Jerdy Schouten,nl NED,MF,26-084,19.2,3,0,0,19,18,1,2,34,27,0,0,1,158,18,16,52.9,Matches
Andrea Cambiaso,it ITA,DF,23-045,18.0,2,0,0,19,26,4,46,21,24,0,0,0,118,3,15,16.7,Matches
Lewis Ferguson,sct SCO,MF,23-225,17.7,4,0,0,38,30,4,9,16,19,0,0,0,76,18,27,40.0,Matches
Nicolás Domínguez,ar ARG,MF,24-282,17.9,7,0,0,35,23,1,12,13,35,0,1,0,128,21,20,51.2,Matches
Adama Soumaoro,fr FRA,DF,30-292,16.7,5,1,1,17,8,0,0,15,11,0,0,0,74,25,13,65.8,Matches
Riccardo Orsolini,it ITA,FW,26-072,17.4,4,1,0,24,33,11,78,7,14,0,0,0,84,11,22,33.3,Matches
Gary Medel,cl CHI,"MF,DF",35-246,14.9,5,0,0,17,16,0,4,25,15,0,0,0,134,14,14,50.0,Matches
Musa Barrow,gm GAM,"FW,MF",24-143,14.0,2,0,0,13,14,2,72,1,2,0,0,0,56,6,23,20.7,Matches
Roberto Soriano,it ITA,"FW,MF",32-057,14.2,1,0,0,20,32,2,11,5,15,0,0,0,73,11,15,42.3,Matches
Marko Arnautović,at AUT,FW,33-352,13.7,5,0,0,20,14,10,9,2,5,0,0,0,30,9,10,47.4,Matches
Michel Aebischer,ch SUI,"FW,MF",26-090,11.9,3,0,0,15,17,7,19,6,4,1,1,0,56,5,18,21.7,Matches
Charalambos Lykogiannis,gr GRE,DF,29-166,11.7,3,0,0,14,9,1,63,15,7,0,0,0,52,17,16,51.5,Matches
Nikola Moro,hr CRO,MF,25-025,8.5,1,0,0,7,8,0,12,5,14,0,0,0,64,17,8,68.0,Matches
Joaquin Sosa,uy URU,DF,21-086,6.6,2,0,0,14,6,0,1,5,2,0,2,0,38,13,10,56.5,Matches
Nicola Sansone,it ITA,FW,31-208,5.8,2,0,0,10,14,6,11,0,4,2,0,0,16,0,9,0.0,Matches
Lorenzo De Silvestri,it ITA,DF,34-318,6.0,1,0,0,4,5,2,6,2,2,0,0,1,31,10,8,55.6,Matches
Joshua Zirkzee,nl NED,FW,21-319,5.9,1,0,0,4,4,1,0,4,1,0,0,0,10,9,18,33.3,Matches
Kevin Bonifazi,it ITA,DF,26-322,4.6,1,0,0,3,0,1,1,6,4,0,0,0,28,1,10,9.1,Matches
Giorgos Kyriakopoulos,gr GRE,"FW,DF",27-060,4.1,0,0,0,4,8,0,25,1,4,0,0,0,15,3,7,30.0,Matches
Denso Kasius,nl NED,DF,20-182,3.8,1,0,0,3,1,0,12,3,6,0,0,0,18,1,4,20.0,Matches
Emanuel Vignato,it ITA,"MF,FW",22-225,2.7,1,0,0,3,1,0,2,3,4,0,0,0,10,2,2,50.0,Matches
Francesco Bardi,it ITA,GK,31-078,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Niklas Pyyhtiä,fi FIN,MF,19-193,0.7,0,0,0,0,0,0,0,1,0,0,0,0,4,0,5,0.0,Matches
Antonio Raimondo,it ITA,FW,19-019,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,Matches
Squad Total,,,27.5,28.0,65,2,1,356,322,54,436,244,279,3,7,2,1561,271,334,44.8,
Opponent Total,,,27.4,28.0,62,2,1,342,338,49,481,240,232,4,4,1,1524,334,271,55.2,
