Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Emanuele Valeri,it ITA,DF,24-120,23.1,917,660,249,18,2,13,115,218,13,0,12,0,509,8,37,Matches
Charles Pickel,ch SUI,MF,25-326,21.8,791,756,31,8,0,0,7,13,0,0,0,0,607,4,18,Matches
Leonardo Sernicola,it ITA,DF,25-250,19.8,748,577,166,7,2,6,98,147,12,0,11,0,485,5,19,Matches
David Okereke,ng NGA,"FW,MF",25-220,19.8,403,389,10,1,3,2,19,6,0,0,0,0,281,4,21,Matches
Matteo Bianchetti,it ITA,DF,30-020,19.8,758,698,56,39,0,2,2,1,0,0,0,0,583,4,7,Matches
Marco Carnesecchi,it ITA,GK,22-279,19.0,663,458,203,65,0,5,0,0,0,0,0,0,401,2,0,Matches
Soualiho Meïté,fr FRA,MF,29-020,16.3,614,597,13,10,3,5,9,2,0,0,0,0,506,4,9,Matches
Cyriel Dessers,ng NGA,FW,28-119,15.0,236,211,25,0,1,1,8,3,0,0,0,0,149,0,6,Matches
Emanuel Aiwum,at AUT,DF,22-102,15.4,681,592,87,20,1,5,4,58,0,0,0,0,533,2,11,Matches
Luka Lochoshvili,ge GEO,DF,24-312,14.0,561,534,26,21,0,1,5,5,0,0,0,0,439,1,6,Matches
Johan Vásquez,mx MEX,DF,24-166,12.0,480,434,45,22,1,1,3,18,0,0,0,0,347,1,11,Matches
Vlad Chiricheș,ro ROU,DF,33-143,8.1,316,299,17,16,1,1,0,0,0,0,0,0,266,0,2,Matches
Ionuț Radu,ro ROU,GK,25-313,9.0,336,248,84,17,0,0,0,0,0,0,0,0,221,4,0,Matches
Luca Zanimacchia,it ITA,"MF,FW",24-261,8.3,312,271,40,8,0,1,46,2,21,9,10,0,213,1,9,Matches
Alex Ferrari,it ITA,DF,28-279,7.6,336,318,18,12,0,3,2,6,0,0,0,0,249,0,5,Matches
Frank Tsadjout,it ITA,"FW,MF",23-252,7.5,185,182,3,0,0,0,4,0,0,0,0,0,121,0,2,Matches
Michele Castagnetti,it ITA,MF,33-100,9.3,495,445,49,30,1,5,29,6,12,8,4,0,372,1,9,Matches
Marco Benassi,it ITA,MF,28-210,8.2,263,227,34,5,1,2,24,1,13,3,8,0,187,2,12,Matches
Santiago Ascacíbar,ar ARG,MF,26-040,8.1,435,412,21,11,0,4,5,5,5,0,3,0,358,2,9,Matches
Gonzalo Escalante,ar ARG,MF,30-010,6.2,290,279,8,4,0,1,1,0,0,0,0,0,222,3,8,Matches
Daniel Ciofani,it ITA,FW,37-249,7.7,143,139,3,0,2,1,2,0,0,0,0,0,82,1,6,Matches
Paolo Ghiglione,it ITA,DF,26-063,6.1,226,176,50,1,0,1,34,47,2,0,2,0,120,0,11,Matches
Felix Afena-Gyan,gh GHA,"FW,MF",20-077,6.7,143,140,3,0,0,1,4,2,0,0,0,0,109,0,4,Matches
Giacomo Quagliata,it ITA,DF,23-046,5.5,249,191,57,1,0,0,40,52,4,0,3,0,153,1,13,Matches
Cristian Buonaiuto,it ITA,"MF,FW",30-098,6.7,311,252,58,11,1,3,50,11,29,17,8,0,199,1,6,Matches
Jack Hendry,sct SCO,DF,27-334,2.4,137,122,15,7,0,1,1,5,0,0,0,0,118,0,1,Matches
Pablo Galdames Millán,cl CHI,"MF,DF",26-097,2.3,111,100,11,6,0,3,10,2,2,2,0,0,79,0,3,Matches
Jaime Báez,uy URU,DF,27-346,1.1,48,44,4,2,0,0,9,0,2,0,1,0,32,0,2,Matches
Samuel Di Carmine,it ITA,"FW,MF",34-189,0.3,8,7,1,0,0,0,0,0,0,0,0,0,6,0,0,Matches
Tommaso Milanese,it ITA,MF,20-249,0.3,14,11,3,1,0,0,2,0,1,0,1,0,10,0,0,Matches
Christian Acella,it ITA,MF,20-273,0.2,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,Matches
Squad Total,,,26.6,28.0,11219,9778,1390,343,19,68,533,610,116,39,63,0,7966,51,247,
Opponent Total,,,27.3,28.0,15049,13545,1454,383,34,139,486,631,140,43,68,0,11945,50,263,
