Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Pietro Terracciano,it ITA,GK,33-011,22,22,1980.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cristiano Biraghi,it ITA,DF,30-199,24,22,1892.0,21.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.5,0.7,4.3,5.0,49.0,120.0,82.0,0.05,0.1,0.14,0.05,0.14,0.07,0.21,0.28,0.03,0.24,Matches
Dodô,br BRA,DF,24-122,22,19,1571.0,17.5,0.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,0.5,0.5,1.1,1.6,38.0,100.0,77.0,0.0,0.11,0.11,0.0,0.11,0.03,0.07,0.09,0.03,0.09,Matches
Sofyan Amrabat,ma MAR,MF,26-210,23,19,1567.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.3,0.3,0.6,0.9,31.0,141.0,20.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches
Giacomo Bonaventura,it ITA,MF,33-209,22,18,1550.0,17.2,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,3.3,3.3,1.7,5.0,49.0,80.0,73.0,0.17,0.0,0.17,0.17,0.17,0.19,0.1,0.29,0.19,0.29,Matches
Lucas Martínez Quarta,ar ARG,DF,26-313,19,17,1541.0,17.1,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,2.2,2.2,0.4,2.6,16.0,81.0,5.0,0.06,0.06,0.12,0.06,0.12,0.13,0.02,0.15,0.13,0.15,Matches
Jonathan Ikone,fr FRA,FW,24-321,24,17,1507.0,16.7,2.0,4.0,6.0,2.0,0.0,0.0,3.0,0.0,2.3,2.3,2.6,4.9,63.0,51.0,133.0,0.12,0.24,0.36,0.12,0.36,0.14,0.15,0.29,0.14,0.29,Matches
Nikola Milenković,rs SRB,DF,25-158,19,17,1507.0,16.7,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.7,1.7,0.5,2.2,7.0,56.0,2.0,0.12,0.06,0.18,0.12,0.18,0.1,0.03,0.13,0.1,0.13,Matches
Christian Kouamé,ci CIV,FW,25-103,20,17,1437.0,16.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,3.8,3.8,2.3,6.1,44.0,43.0,171.0,0.13,0.13,0.25,0.13,0.25,0.24,0.14,0.38,0.24,0.38,Matches
Igor,br BRA,DF,25-040,19,15,1362.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.5,0.5,0.2,0.7,14.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,Matches
Rolando Mandragora,it ITA,MF,25-263,19,14,1269.0,14.1,2.0,3.0,5.0,2.0,0.0,0.0,6.0,0.0,1.2,1.2,3.3,4.5,14.0,95.0,39.0,0.14,0.21,0.35,0.14,0.35,0.08,0.24,0.32,0.08,0.32,Matches
Antonín Barák,cz CZE,MF,28-106,21,14,1235.0,13.7,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.8,1.8,1.4,3.2,30.0,59.0,71.0,0.15,0.0,0.15,0.15,0.15,0.13,0.1,0.24,0.13,0.24,Matches
Luka Jović,rs SRB,FW,25-086,24,13,1163.0,12.9,4.0,0.0,4.0,4.0,0.0,1.0,2.0,0.0,5.3,4.5,0.6,5.1,4.0,17.0,51.0,0.31,0.0,0.31,0.31,0.31,0.41,0.05,0.46,0.35,0.4,Matches
Arthur,br BRA,FW,24-328,21,9,907.0,10.1,6.0,1.0,7.0,5.0,1.0,1.0,2.0,0.0,5.2,4.4,0.6,5.1,7.0,15.0,57.0,0.6,0.1,0.69,0.5,0.6,0.52,0.06,0.58,0.44,0.5,Matches
Riccardo Saponara,it ITA,FW,31-088,21,9,846.0,9.4,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,1.4,1.4,2.9,4.4,39.0,41.0,93.0,0.21,0.21,0.43,0.21,0.43,0.15,0.31,0.47,0.15,0.47,Matches
Nicolás González,ar ARG,"FW,MF",24-347,16,8,821.0,9.1,4.0,1.0,5.0,2.0,2.0,2.0,3.0,0.0,4.3,3.0,1.2,4.3,26.0,37.0,73.0,0.44,0.11,0.55,0.22,0.33,0.47,0.13,0.61,0.33,0.47,Matches
Alfred Duncan,gh GHA,MF,30-009,15,7,604.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.4,9.0,40.0,19.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.05,0.04,0.05,Matches
Lorenzo Venuti,it ITA,DF,27-341,11,6,615.0,6.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,18.0,36.0,25.0,0.0,0.15,0.15,0.0,0.15,0.05,0.04,0.09,0.05,0.09,Matches
Riccardo Sottil,it ITA,FW,23-289,8,5,433.0,4.8,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.9,1.5,35.0,18.0,72.0,0.0,0.42,0.42,0.0,0.42,0.12,0.19,0.31,0.12,0.31,Matches
Aleksa Terzić,rs SRB,DF,23-214,14,4,503.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.1,1.3,26.0,27.0,36.0,0.0,0.0,0.0,0.0,0.0,0.04,0.19,0.23,0.04,0.23,Matches
Youssef Maleh,it ITA,MF,24-209,7,4,297.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.6,1.2,3.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.17,0.2,0.36,0.17,0.36,Matches
Luca Ranieri,it ITA,DF,23-330,4,3,282.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Pierluigi Gollini,it ITA,GK,28-001,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alessandro Bianco,it ITA,MF,20-169,3,2,112.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches
Marco Benassi,it ITA,DF,28-192,2,1,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
Salvatore Sirigu,it ITA,GK,36-066,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gaetano Castrovilli,it ITA,MF,26-030,6,0,122.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13,0.01,0.14,0.13,0.14,Matches
Josip Brekalo,hr CRO,FW,24-269,2,0,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.3,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.03,0.33,0.36,0.03,0.36,Matches
Szymon Żurkowski,pl POL,MF,25-175,2,0,32.0,0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,1.0,4.0,0.0,2.81,2.81,0.0,2.81,0.33,0.06,0.4,0.33,0.4,Matches
Lorenzo Amatucci,it ITA,MF,19-042,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Michele Cerofolini,it ITA,GK,24-074,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Filippo Distefano,it ITA,FW,19-203,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
