Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Pietro Terracciano,it ITA,GK,33-011,22.0,844,656,835,9,0,0,844,1,1,100.0,0,0.0,437,2337,1462,0,0,0,1,0,439,0,Matches
Cristiano Biraghi,it ITA,DF,30-199,21.0,1640,52,406,653,595,18,1639,15,5,33.3,6,40.0,763,3486,1994,49,37,4,13,6,911,82,Matches
Dodô,br BRA,DF,24-122,17.5,1151,35,307,535,317,18,1151,26,14,53.8,10,38.5,707,4049,2143,38,36,4,27,9,754,77,Matches
Sofyan Amrabat,ma MAR,MF,26-210,17.4,1254,36,213,843,212,5,1254,14,9,64.3,4,28.6,834,4881,2309,31,22,1,19,16,894,20,Matches
Giacomo Bonaventura,it ITA,MF,33-209,17.2,945,12,118,470,376,56,945,36,15,41.7,12,33.3,594,3414,1784,49,50,6,21,23,675,73,Matches
Lucas Martínez Quarta,ar ARG,DF,26-313,17.1,1289,107,615,611,80,30,1289,11,8,72.7,2,18.2,740,4628,2238,16,21,1,8,3,771,5,Matches
Jonathan Ikone,fr FRA,FW,24-321,16.7,718,5,61,285,384,84,718,64,31,48.4,25,39.1,503,3918,1726,63,35,40,47,34,559,133,Matches
Nikola Milenković,rs SRB,DF,25-158,16.7,1110,105,520,538,59,28,1110,0,0,,0,,612,2474,1185,7,8,0,5,0,656,2,Matches
Christian Kouamé,ci CIV,FW,25-103,16.0,754,4,59,254,448,91,754,55,16,29.1,30,54.5,462,2386,1091,44,25,21,65,31,561,171,Matches
Igor,br BRA,DF,25-040,15.1,1055,84,442,582,39,8,1055,11,7,63.6,2,18.2,648,4015,2468,14,12,0,6,7,683,1,Matches
Rolando Mandragora,it ITA,MF,25-263,14.1,798,21,118,436,252,31,798,8,2,25.0,5,62.5,407,1684,861,14,16,3,12,5,476,39,Matches
Antonín Barák,cz CZE,MF,28-106,13.7,641,11,65,327,259,52,641,30,13,43.3,14,46.7,401,2414,1009,30,23,6,25,19,458,71,Matches
Luka Jović,rs SRB,FW,25-086,12.9,332,9,21,152,161,59,331,12,7,58.3,5,41.7,161,664,193,4,4,4,21,14,249,51,Matches
Arthur,br BRA,FW,24-328,10.1,336,7,19,123,196,63,335,22,7,31.8,12,54.5,194,893,225,7,4,6,40,16,248,57,Matches
Riccardo Saponara,it ITA,FW,31-088,9.4,447,9,48,177,227,42,447,29,11,37.9,15,51.7,304,2046,1056,39,24,11,20,14,348,93,Matches
Nicolás González,ar ARG,"FW,MF",24-347,9.1,492,3,37,226,236,50,490,41,11,26.8,22,53.7,313,2058,892,26,19,6,33,10,374,73,Matches
Alfred Duncan,gh GHA,MF,30-009,6.7,366,5,52,219,100,3,366,12,5,41.7,6,50.0,211,1028,468,9,12,1,10,10,243,19,Matches
Lorenzo Venuti,it ITA,DF,27-341,6.8,499,21,162,240,101,7,499,2,1,50.0,1,50.0,277,1269,696,18,13,0,9,1,323,25,Matches
Riccardo Sottil,it ITA,FW,23-289,4.8,207,0,8,44,159,25,207,27,9,33.3,11,40.7,177,1647,888,35,23,11,13,7,180,72,Matches
Aleksa Terzić,rs SRB,DF,23-214,5.6,502,13,132,206,168,5,502,17,9,52.9,6,35.3,302,2014,1178,26,18,2,10,5,313,36,Matches
Youssef Maleh,it ITA,MF,24-209,3.3,150,4,18,79,53,11,150,3,1,33.3,2,66.7,93,321,144,3,4,1,6,6,96,17,Matches
Luca Ranieri,it ITA,DF,23-330,3.1,181,17,87,86,9,1,181,2,1,50.0,1,50.0,105,561,300,2,1,0,2,0,120,0,Matches
Pierluigi Gollini,it ITA,GK,28-001,3.0,131,116,131,0,0,0,131,0,0,,0,,104,423,217,0,0,0,0,0,91,0,Matches
Alessandro Bianco,it ITA,MF,20-169,1.2,64,0,10,42,12,1,64,1,0,0.0,0,0.0,34,173,93,3,0,0,2,4,47,2,Matches
Marco Benassi,it ITA,DF,28-192,1.0,112,1,25,64,24,3,112,1,0,0.0,0,0.0,81,284,120,0,4,0,1,1,85,6,Matches
Salvatore Sirigu,it ITA,GK,36-066,1.0,40,38,40,0,0,0,40,0,0,,0,,26,237,118,0,0,0,0,0,16,0,Matches
Gaetano Castrovilli,it ITA,MF,26-030,1.4,75,1,12,35,30,3,75,3,1,33.3,1,33.3,43,252,110,3,4,0,4,4,45,1,Matches
Josip Brekalo,hr CRO,FW,24-269,0.7,39,0,4,18,17,2,39,1,0,0.0,0,0.0,26,173,51,2,1,1,0,1,27,7,Matches
Szymon Żurkowski,pl POL,MF,25-175,0.4,25,0,1,8,16,3,25,1,0,0.0,1,100.0,16,115,60,3,1,1,1,1,18,4,Matches
Squad Total,,,27.3,26.0,16197,1372,4566,7262,4530,699,16192,445,184,41.3,193,43.4,9575,53844,27079,535,417,130,421,247,10660,1137,
Opponent Total,,,27.3,26.0,13118,2092,5766,5115,2411,427,13115,417,153,36.7,202,48.4,6432,33957,16243,320,213,95,363,199,7517,650,
