Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Lorenzo Montipò,it ITA,GK,27-027,25.0,900,720,890,12,0,0,900,0,0,,0,,409,2690,1440,0,1,0,4,0,332,0,Matches
Adrien Tameze,cm CMR,MF,29-043,22.4,960,67,256,551,167,18,960,34,18,52.9,12,35.3,459,2557,1026,19,25,3,28,24,488,37,Matches
Darko Lazović,rs SRB,"MF,DF",32-185,19.2,822,24,148,308,380,55,822,41,13,31.7,26,63.4,414,2554,1445,58,29,19,31,9,487,138,Matches
Isak Hien,se SWE,DF,24-065,19.3,954,101,539,385,44,11,954,20,9,45.0,8,40.0,419,1925,927,13,8,0,19,10,413,2,Matches
Fabio Depaoli,it ITA,DF,25-329,16.3,695,41,176,304,223,25,695,31,7,22.6,19,61.3,296,1367,730,20,10,3,26,13,310,50,Matches
Federico Ceccherini,it ITA,DF,30-312,11.5,585,62,216,298,76,10,585,2,1,50.0,1,50.0,269,1461,889,20,12,2,11,5,303,16,Matches
Kevin Lasagna,it ITA,"FW,MF",30-221,13.7,396,12,49,153,202,56,396,31,9,29.0,16,51.6,214,1334,586,28,16,11,44,32,259,88,Matches
Josh Doig,sct SCO,DF,20-305,13.3,621,20,160,238,238,27,621,52,22,42.3,21,40.4,300,2159,1009,40,23,5,29,15,318,57,Matches
Paweł Dawidowicz,pl POL,DF,27-303,11.6,673,58,333,282,64,14,673,5,1,20.0,2,40.0,307,1495,853,15,10,1,5,3,341,10,Matches
Thomas Henry,fr FRA,FW,28-180,11.4,374,15,25,160,192,48,374,14,3,21.4,11,78.6,193,618,181,3,7,1,52,25,303,58,Matches
Koray Günter,de GER,DF,28-215,11.1,557,82,283,252,29,10,557,4,3,75.0,1,25.0,221,1219,733,7,6,0,3,1,230,3,Matches
Diego Coppola,it ITA,DF,19-081,10.4,549,51,256,240,59,8,549,4,2,50.0,2,50.0,250,1266,634,8,8,0,8,2,253,8,Matches
Miguel Veloso,pt POR,MF,36-312,9.6,538,26,129,290,130,7,538,8,4,50.0,2,25.0,224,1327,597,12,8,1,5,3,245,17,Matches
Ivan Ilić,rs SRB,MF,22-002,9.5,490,26,98,250,149,11,490,16,6,37.5,8,50.0,219,1427,609,18,13,4,17,5,238,20,Matches
Davide Faraoni,it ITA,DF,31-145,7.8,367,25,94,161,114,16,367,8,3,37.5,5,62.5,154,572,278,8,5,2,5,2,169,16,Matches
Giangiacomo Magnani,it ITA,DF,27-166,8.4,347,54,176,160,12,3,347,1,1,100.0,0,0.0,151,676,234,1,3,1,4,1,140,2,Matches
Yayah Kallon,sl SLE,"MF,FW",21-262,8.5,318,3,25,109,190,40,318,26,6,23.1,13,50.0,210,1523,697,31,19,14,26,15,220,60,Matches
Milan Đurić,ba BIH,FW,32-301,8.1,362,15,29,176,157,34,362,4,1,25.0,3,75.0,148,432,125,1,3,2,19,4,314,43,Matches
Simone Verdi,it ITA,MF,30-250,6.8,332,1,31,159,150,10,332,30,14,46.7,11,36.7,191,1345,682,24,13,2,20,21,203,32,Matches
Ondrej Duda,sk SVK,MF,28-104,5.9,291,8,44,174,75,7,291,22,12,54.5,5,22.7,153,807,234,4,5,0,9,7,145,13,Matches
Martin Hongla,cm CMR,MF,25-003,5.8,258,12,66,142,54,3,258,14,8,57.1,6,42.9,131,680,345,6,4,1,4,3,141,10,Matches
Cyril Ngonge,be BEL,"MF,FW",22-297,3.5,131,2,12,65,58,7,131,16,6,37.5,9,56.3,83,497,253,10,6,3,10,5,91,19,Matches
Filippo Terracciano,it ITA,"DF,MF",20-039,5.9,273,14,65,131,79,7,273,6,2,33.3,2,33.3,129,709,353,11,8,0,11,3,146,17,Matches
Adolfo Gaich,ar ARG,FW,24-021,3.5,129,6,10,66,54,11,129,10,6,60.0,3,30.0,68,287,66,3,0,3,11,5,94,16,Matches
Ibrahim Sulemana,gh GHA,MF,19-301,4.0,165,13,50,90,31,6,165,9,4,44.4,5,55.6,82,439,136,3,4,0,6,5,72,5,Matches
Ajdin Hrustic,au AUS,MF,26-257,2.5,121,4,17,59,47,6,121,11,3,27.3,8,72.7,63,414,171,7,6,2,8,3,77,12,Matches
Roberto Piccoli,it ITA,FW,22-051,2.1,55,3,8,16,31,11,55,3,1,33.3,2,66.7,36,197,70,2,3,1,7,4,41,8,Matches
Jayden Braaf,nl NED,"MF,FW",20-200,1.6,62,0,11,27,26,10,62,10,6,60.0,4,40.0,39,263,122,4,3,2,8,9,40,11,Matches
Panagiotis Retsos,gr GRE,DF,24-222,1.4,76,8,31,38,7,1,76,1,1,100.0,0,0.0,35,249,125,2,0,0,0,1,33,0,Matches
Simone Perilli,it ITA,GK,28-071,1.0,38,35,38,0,0,0,38,0,0,,0,,20,136,87,0,0,0,0,0,9,0,Matches
Bruno Amione,ar ARG,DF,21-075,0.6,20,9,17,4,0,0,20,0,0,,0,,7,22,8,0,0,0,0,0,4,0,Matches
Juan Cabal,co COL,DF,22-070,1.6,105,14,49,52,7,1,105,2,1,50.0,0,0.0,46,195,119,0,1,0,2,0,46,3,Matches
Oliver Abildgaard,dk DEN,"MF,DF",26-282,0.9,35,2,14,14,7,2,35,0,0,,0,,10,40,3,0,0,0,2,0,14,3,Matches
Antonín Barák,cz CZE,MF,28-106,0.3,16,0,0,10,6,0,16,2,1,50.0,1,50.0,12,68,25,0,0,0,1,1,11,1,Matches
Deyovaisio Zeefuik,nl NED,DF,25-008,0.1,10,0,2,6,3,2,10,1,0,0.0,1,100.0,6,24,4,1,0,1,0,0,5,1,Matches
Alessandro Cortinovis,it ITA,MF,22-053,0.1,8,0,3,0,5,0,8,0,0,,0,,5,10,4,0,0,0,0,0,5,2,Matches
Squad Total,,,27.1,26.0,12633,1533,4350,5382,3066,477,12633,438,174,39.7,207,47.3,5973,32984,15800,379,259,84,435,236,6540,778,
Opponent Total,,,27.4,26.0,15993,1676,5241,7234,3665,610,15992,401,154,38.4,188,46.9,8328,43954,20440,380,275,112,485,222,9809,960,
