Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Danilo,br BRA,DF,31-247,25.1,58,38,37,17,4,30,44,68.2,14,23,14,9,32,90,80,1,Matches
Filip Kostić,rs SRB,"DF,FW",30-138,21.2,33,22,13,16,4,19,38,50.0,19,21,2,19,8,41,16,0,Matches
Gleison Bremer,br BRA,DF,26-001,21.4,20,14,16,3,1,13,17,76.5,4,36,20,16,32,52,87,2,Matches
Adrien Rabiot,fr FRA,MF,27-350,20.5,39,21,18,15,6,17,36,47.2,19,29,6,23,18,57,27,1,Matches
Manuel Locatelli,it ITA,MF,25-070,18.9,40,22,18,17,5,18,30,60.0,12,35,16,19,22,62,37,0,Matches
Wojciech Szczęsny,pl POL,GK,32-335,17.5,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,4,0,Matches
Alex Sandro,br BRA,DF,32-052,16.2,23,13,10,12,1,9,15,60.0,6,19,8,11,13,36,48,0,Matches
Dušan Vlahović,rs SRB,FW,23-050,15.2,7,4,0,3,4,3,7,42.9,4,7,2,5,3,10,6,1,Matches
Juan Cuadrado,co COL,"DF,FW",34-297,14.5,35,23,25,9,1,17,38,44.7,21,11,1,10,14,49,19,0,Matches
Weston McKennie,us USA,"MF,DF",24-203,11.7,14,5,3,9,2,5,8,62.5,3,15,4,11,11,25,15,1,Matches
Ángel Di María,ar ARG,"FW,MF",35-033,9.7,6,3,2,3,1,2,15,13.3,13,7,0,7,4,10,0,0,Matches
Arkadiusz Milik,pl POL,FW,29-019,11.0,7,5,1,4,2,2,5,40.0,3,7,0,7,0,7,9,0,Matches
Fabio Miretti,it ITA,"MF,FW",19-228,10.0,18,7,11,5,2,8,18,44.4,10,15,1,14,2,20,10,0,Matches
Nicolò Fagioli,it ITA,MF,22-035,9.6,15,9,5,8,2,6,18,33.3,12,8,2,6,7,22,4,0,Matches
Moise Kean,it ITA,FW,23-019,9.0,8,6,2,5,1,3,6,50.0,3,2,0,2,4,12,2,0,Matches
Mattia De Sciglio,it ITA,DF,30-150,9.4,10,6,4,3,3,8,12,66.7,4,5,2,3,4,14,12,0,Matches
Mattia Perin,it ITA,GK,30-129,8.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Leonardo Bonucci,it ITA,DF,35-322,7.7,5,4,1,4,0,2,4,50.0,2,10,7,3,9,14,24,0,Matches
Federico Gatti,it ITA,DF,24-268,6.0,5,3,4,0,1,3,3,100.0,0,7,5,2,9,14,27,1,Matches
Leandro Paredes,ar ARG,MF,28-263,6.6,17,10,6,10,1,9,16,56.3,7,4,0,4,9,26,11,0,Matches
Daniele Rugani,it ITA,DF,28-233,3.9,6,0,5,1,0,3,3,100.0,0,4,2,2,4,10,18,0,Matches
Federico Chiesa,it ITA,"DF,MF",25-145,4.2,10,5,4,4,2,3,6,50.0,3,4,1,3,0,10,1,0,Matches
Matìas Soulé,ar ARG,"MF,DF",19-338,2.8,4,3,1,1,2,2,3,66.7,1,3,0,3,2,6,1,0,Matches
Enzo Barrenechea,ar ARG,MF,21-301,1.3,8,3,3,4,1,3,5,60.0,2,2,0,2,2,10,2,0,Matches
Denis Zakaria,ch SUI,MF,26-119,1.4,6,3,1,4,1,2,2,100.0,0,2,0,2,2,8,1,0,Matches
Samuel Iling-Junior,eng ENG,"DF,FW",19-166,1.3,2,1,1,0,1,2,3,66.7,1,1,0,1,1,3,3,0,Matches
Paul Pogba,fr FRA,"MF,DF",30-004,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Nicolò Rovella,it ITA,MF,21-105,0.3,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,28.4,26.0,398,231,192,158,48,190,354,53.7,164,277,93,184,212,610,464,7,
Opponent Total,,,27.3,26.0,401,220,177,166,58,164,326,50.3,162,256,86,170,250,651,433,8,
