Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Danilo,br BRA,DF,31-247,25.1,39,1.55,35,1,0,2,1,0,3,0.12,2,0,0,1,0,0,Matches
Filip Kostić,rs SRB,"DF,FW",30-138,21.2,74,3.49,54,12,3,5,0,0,12,0.57,8,2,0,2,0,0,Matches
Gleison Bremer,br BRA,DF,26-001,21.4,18,0.84,16,0,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Adrien Rabiot,fr FRA,MF,27-350,20.5,58,2.82,48,0,2,3,3,2,5,0.24,3,0,1,0,1,0,Matches
Manuel Locatelli,it ITA,MF,25-070,18.9,39,2.06,30,3,2,3,1,0,5,0.26,3,0,1,0,1,0,Matches
Wojciech Szczęsny,pl POL,GK,32-335,17.5,1,0.06,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alex Sandro,br BRA,DF,32-052,16.2,29,1.79,26,0,1,0,1,1,3,0.19,3,0,0,0,0,0,Matches
Dušan Vlahović,rs SRB,FW,23-050,15.2,38,2.49,22,0,3,10,3,0,5,0.33,1,0,0,3,1,0,Matches
Juan Cuadrado,co COL,"DF,FW",34-297,14.5,53,3.66,28,15,2,3,5,0,6,0.41,2,2,0,0,2,0,Matches
Weston McKennie,us USA,"MF,DF",24-203,11.7,18,1.54,15,0,1,2,0,0,1,0.09,1,0,0,0,0,0,Matches
Ángel Di María,ar ARG,"FW,MF",35-033,9.7,53,5.45,27,16,5,5,0,0,7,0.72,5,2,0,0,0,0,Matches
Arkadiusz Milik,pl POL,FW,29-019,11.0,20,1.84,13,0,0,4,1,2,3,0.28,2,0,0,0,0,1,Matches
Fabio Miretti,it ITA,"MF,FW",19-228,10.0,38,3.81,25,4,3,5,1,0,6,0.6,5,0,0,0,1,0,Matches
Nicolò Fagioli,it ITA,MF,22-035,9.6,26,2.71,15,4,0,3,4,0,5,0.52,3,1,0,0,1,0,Matches
Moise Kean,it ITA,FW,23-019,9.0,27,3.0,18,0,3,5,0,1,1,0.11,1,0,0,0,0,0,Matches
Mattia De Sciglio,it ITA,DF,30-150,9.4,12,1.28,11,0,0,0,1,0,1,0.11,1,0,0,0,0,0,Matches
Mattia Perin,it ITA,GK,30-129,8.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Leonardo Bonucci,it ITA,DF,35-322,7.7,8,1.04,6,0,0,1,0,1,1,0.13,0,0,0,1,0,0,Matches
Federico Gatti,it ITA,DF,24-268,6.0,10,1.65,9,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Leandro Paredes,ar ARG,MF,28-263,6.6,21,3.2,14,5,1,1,0,0,3,0.46,3,0,0,0,0,0,Matches
Daniele Rugani,it ITA,DF,28-233,3.9,1,0.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Federico Chiesa,it ITA,"DF,MF",25-145,4.2,17,4.06,10,1,3,1,1,1,3,0.72,3,0,0,0,0,0,Matches
Matìas Soulé,ar ARG,"MF,DF",19-338,2.8,16,5.63,8,1,3,2,2,0,0,0.0,0,0,0,0,0,0,Matches
Enzo Barrenechea,ar ARG,MF,21-301,1.3,1,0.8,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Denis Zakaria,ch SUI,MF,26-119,1.4,1,0.73,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Samuel Iling-Junior,eng ENG,"DF,FW",19-166,1.3,5,3.91,5,0,0,0,0,0,1,0.78,1,0,0,0,0,0,Matches
Paul Pogba,fr FRA,"MF,DF",30-004,0.4,4,9.73,1,0,0,1,2,0,1,2.43,0,0,0,0,1,0,Matches
Nicolò Rovella,it ITA,MF,21-105,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.4,26.0,627,24.12,440,62,32,58,26,9,72,2.77,47,7,2,7,8,1,
Opponent Total,,,27.3,26.0,526,20.23,426,32,22,24,12,10,38,1.46,26,2,3,6,0,1,
