Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Danilo,br BRA,DF,31-265,28,27,2443.0,27.1,3.0,3.0,6.0,3.0,0.0,0.0,4.0,0.0,2.0,2.0,2.3,4.3,27.0,117.0,34.0,0.11,0.11,0.22,0.11,0.22,0.07,0.08,0.16,0.07,0.16,Matches
Filip Kostić,rs SRB,"DF,FW",30-156,28,25,2025.0,22.5,3.0,8.0,11.0,3.0,0.0,0.0,3.0,0.0,2.2,2.2,6.2,8.4,78.0,61.0,168.0,0.13,0.36,0.49,0.13,0.49,0.1,0.28,0.37,0.1,0.37,Matches
Gleison Bremer,br BRA,DF,26-019,24,24,2106.0,23.4,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,3.7,3.7,1.0,4.7,6.0,34.0,3.0,0.13,0.04,0.17,0.13,0.17,0.16,0.04,0.2,0.16,0.2,Matches
Adrien Rabiot,fr FRA,MF,28-003,23,22,1938.0,21.5,7.0,3.0,10.0,7.0,0.0,0.0,5.0,0.0,4.2,3.8,1.7,5.5,40.0,96.0,67.0,0.33,0.14,0.46,0.33,0.46,0.19,0.08,0.27,0.18,0.25,Matches
Manuel Locatelli,it ITA,MF,25-088,24,22,1881.0,20.9,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,1.3,1.3,1.5,2.7,21.0,107.0,25.0,0.0,0.05,0.05,0.0,0.05,0.06,0.07,0.13,0.06,0.13,Matches
Wojciech Szczęsny,pl POL,GK,32-353,20,20,1752.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dušan Vlahović,rs SRB,FW,23-068,19,17,1492.0,16.6,8.0,2.0,10.0,6.0,2.0,3.0,0.0,0.0,7.8,5.4,1.5,6.9,18.0,35.0,98.0,0.48,0.12,0.6,0.36,0.48,0.47,0.09,0.56,0.33,0.42,Matches
Alex Sandro,br BRA,DF,32-070,21,17,1455.0,16.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.2,0.2,0.7,0.9,40.0,83.0,20.0,0.0,0.06,0.06,0.0,0.06,0.01,0.05,0.06,0.01,0.06,Matches
Juan Cuadrado,co COL,"DF,FW",34-315,22,17,1385.0,15.4,1.0,3.0,4.0,1.0,0.0,0.0,3.0,1.0,1.2,1.2,2.3,3.5,30.0,55.0,91.0,0.06,0.19,0.26,0.06,0.26,0.08,0.15,0.22,0.08,0.22,Matches
Weston McKennie,us USA,"MF,DF",24-221,15,13,1052.0,11.7,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.7,1.6,19.0,39.0,54.0,0.09,0.09,0.17,0.09,0.17,0.08,0.06,0.14,0.08,0.14,Matches
Nicolò Fagioli,it ITA,MF,22-053,19,11,1045.0,11.6,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,0.5,0.5,1.0,1.5,19.0,38.0,37.0,0.17,0.26,0.43,0.17,0.43,0.04,0.09,0.13,0.04,0.13,Matches
Arkadiusz Milik,pl POL,FW,29-037,18,11,1045.0,11.6,6.0,1.0,7.0,6.0,0.0,0.0,3.0,1.0,4.2,4.2,1.2,5.4,8.0,25.0,58.0,0.52,0.09,0.6,0.52,0.6,0.37,0.1,0.47,0.37,0.47,Matches
Ángel Di María,ar ARG,"FW,MF",35-051,17,11,907.0,10.1,4.0,4.0,8.0,3.0,1.0,1.0,0.0,1.0,2.2,1.4,3.5,4.9,32.0,62.0,50.0,0.4,0.4,0.79,0.3,0.69,0.22,0.34,0.56,0.14,0.48,Matches
Mattia De Sciglio,it ITA,DF,30-168,16,10,1011.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,14.0,50.0,38.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.05,0.01,0.05,Matches
Fabio Miretti,it ITA,"MF,FW",19-246,20,10,946.0,10.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.4,1.4,1.1,2.5,24.0,40.0,70.0,0.0,0.19,0.19,0.0,0.19,0.14,0.11,0.24,0.14,0.24,Matches
Moise Kean,it ITA,FW,23-037,24,10,871.0,9.7,6.0,0.0,6.0,6.0,0.0,0.0,5.0,1.0,6.0,6.0,1.1,7.2,24.0,11.0,66.0,0.62,0.0,0.62,0.62,0.62,0.62,0.12,0.74,0.62,0.74,Matches
Mattia Perin,it ITA,GK,30-147,9,8,768.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Federico Gatti,it ITA,DF,24-286,9,8,724.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.9,1.2,6.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.15,0.04,0.15,Matches
Leonardo Bonucci,it ITA,DF,35-340,13,7,692.0,7.7,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.2,0.3,2.0,24.0,1.0,0.13,0.0,0.13,0.13,0.13,0.12,0.02,0.15,0.01,0.04,Matches
Leandro Paredes,ar ARG,MF,28-281,17,5,597.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.3,0.3,0.7,1.0,7.0,40.0,8.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.15,0.05,0.15,Matches
Daniele Rugani,it ITA,DF,28-251,5,4,355.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Matìas Soulé,ar ARG,"MF,DF",19-356,11,3,321.0,3.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3,1.3,0.4,1.7,10.0,9.0,33.0,0.28,0.0,0.28,0.28,0.28,0.37,0.12,0.48,0.37,0.48,Matches
