Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Danilo,br BRA,DF,31-247,25.1,3,19,4,21.1,0.76,0.16,0.16,0.75,14.8,0,0,0,1.9,1.9,0.1,1.1,1.1,Matches
Filip Kostić,rs SRB,"DF,FW",30-138,21.2,2,29,8,27.6,1.37,0.38,0.07,0.25,19.3,0,0,0,2.0,2.0,0.07,0.0,0.0,Matches
Gleison Bremer,br BRA,DF,26-001,21.4,3,20,4,20.0,0.93,0.19,0.15,0.75,9.6,0,0,0,2.9,2.9,0.14,0.1,0.1,Matches
Adrien Rabiot,fr FRA,MF,27-350,20.5,7,29,17,58.6,1.41,0.83,0.24,0.41,16.2,0,0,0,4.2,3.8,0.13,2.8,3.2,Matches
Manuel Locatelli,it ITA,MF,25-070,18.9,0,21,9,42.9,1.11,0.48,0.0,0.0,24.2,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
Wojciech Szczęsny,pl POL,GK,32-335,17.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alex Sandro,br BRA,DF,32-052,16.2,0,4,0,0.0,0.25,0.0,0.0,,20.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Dušan Vlahović,rs SRB,FW,23-050,15.2,8,49,15,30.6,3.22,0.98,0.12,0.4,16.0,4,2,3,7.7,5.3,0.11,0.3,0.7,Matches
Juan Cuadrado,co COL,"DF,FW",34-297,14.5,1,23,7,30.4,1.59,0.48,0.04,0.14,19.9,3,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
Weston McKennie,us USA,"MF,DF",24-203,11.7,1,8,4,50.0,0.68,0.34,0.13,0.25,10.1,0,0,0,0.9,0.9,0.11,0.1,0.1,Matches
Ángel Di María,ar ARG,"FW,MF",35-033,9.7,4,25,8,32.0,2.57,0.82,0.12,0.38,21.5,1,1,1,2.1,1.3,0.05,1.9,1.7,Matches
Arkadiusz Milik,pl POL,FW,29-019,11.0,6,29,16,55.2,2.65,1.46,0.21,0.38,13.9,1,0,0,4.2,4.2,0.15,1.8,1.8,Matches
Fabio Miretti,it ITA,"MF,FW",19-228,10.0,0,17,5,29.4,1.7,0.5,0.0,0.0,18.0,0,0,0,1.4,1.4,0.08,-1.4,-1.4,Matches
Nicolò Fagioli,it ITA,MF,22-035,9.6,2,8,5,62.5,0.83,0.52,0.25,0.4,23.3,0,0,0,0.5,0.5,0.06,1.5,1.5,Matches
Moise Kean,it ITA,FW,23-019,9.0,5,33,12,36.4,3.66,1.33,0.15,0.42,14.2,0,0,0,5.5,5.5,0.17,-0.5,-0.5,Matches
Mattia De Sciglio,it ITA,DF,30-150,9.4,0,4,0,0.0,0.43,0.0,0.0,,27.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Mattia Perin,it ITA,GK,30-129,8.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Leonardo Bonucci,it ITA,DF,35-322,7.7,1,2,1,50.0,0.26,0.13,0.5,1.0,15.1,0,0,1,0.9,0.1,0.05,0.1,0.9,Matches
Federico Gatti,it ITA,DF,24-268,6.0,0,6,1,16.7,0.99,0.17,0.0,0.0,15.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Leandro Paredes,ar ARG,MF,28-263,6.6,0,9,1,11.1,1.37,0.15,0.0,0.0,27.3,2,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Daniele Rugani,it ITA,DF,28-233,3.9,0,3,1,33.3,0.76,0.25,0.0,0.0,13.1,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Federico Chiesa,it ITA,"DF,MF",25-145,4.2,0,10,1,10.0,2.39,0.24,0.0,0.0,20.4,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Matìas Soulé,ar ARG,"MF,DF",19-338,2.8,1,8,5,62.5,2.81,1.76,0.13,0.2,18.1,0,0,0,1.0,1.0,0.12,0.0,0.0,Matches
Enzo Barrenechea,ar ARG,MF,21-301,1.3,0,2,0,0.0,1.59,0.0,0.0,,11.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Denis Zakaria,ch SUI,MF,26-119,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Samuel Iling-Junior,eng ENG,"DF,FW",19-166,1.3,0,1,0,0.0,0.78,0.0,0.0,,31.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Paul Pogba,fr FRA,"MF,DF",30-004,0.4,0,2,0,0.0,5.0,0.0,0.0,,14.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Nicolò Rovella,it ITA,MF,21-105,0.3,0,2,0,0.0,6.67,0.0,0.0,,27.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Squad Total,,,28.4,26.0,44,363,124,34.2,13.96,4.77,0.11,0.33,17.4,12,3,5,38.5,34.4,0.1,5.5,6.6,
Opponent Total,,,27.3,26.0,22,307,84,27.4,11.81,3.23,0.07,0.25,19.3,6,1,2,27.6,26.1,0.09,-5.6,-5.1,
