Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Ivan Provedel,it ITA,GK,29-002,25.9,0,0,0,0,2,0,0,0,0,0,0,0,43,3,0,100.0,Matches
Adam Marušić,me MNE,DF,30-153,24.3,5,0,0,17,11,1,12,28,22,0,0,0,139,25,19,56.8,Matches
Felipe Anderson,br BRA,FW,29-338,22.4,1,0,0,27,23,6,30,16,33,0,0,0,96,10,18,35.7,Matches
Sergej Milinković-Savić,rs SRB,MF,28-020,22.3,7,0,0,27,58,1,23,22,24,0,0,0,126,66,45,59.5,Matches
Alessio Romagnoli,it ITA,DF,28-066,21.7,1,0,0,20,13,1,0,25,13,0,0,0,88,49,26,65.3,Matches
Mattia Zaccagni,it ITA,FW,27-276,20.1,6,0,0,36,71,3,39,16,18,0,1,0,80,7,18,28.0,Matches
Danilo Cataldi,it ITA,MF,28-225,17.2,4,0,0,11,18,0,44,19,12,0,0,0,131,1,4,20.0,Matches
Nicolò Casale,it ITA,DF,25-033,17.6,5,0,0,15,5,0,0,12,14,0,0,0,104,32,21,60.4,Matches
Ciro Immobile,it ITA,FW,33-027,16.1,3,0,0,16,19,11,5,1,5,2,0,0,39,10,24,29.4,Matches
Manuel Lazzari,it ITA,DF,29-110,15.5,5,0,0,9,28,0,22,13,17,0,0,0,63,6,11,35.3,Matches
Luis Alberto,es ESP,MF,30-172,15.4,1,0,0,8,7,2,89,6,13,0,0,0,97,4,8,33.3,Matches
Pedro,es ESP,FW,35-234,15.1,1,0,0,13,25,3,26,5,14,1,0,0,71,0,3,0.0,Matches
Matías Vecino,uy URU,MF,31-207,14.0,5,0,0,21,9,2,1,13,22,0,0,0,81,25,17,59.5,Matches
Patric,es ESP,DF,29-336,11.9,1,0,0,3,3,0,0,10,8,0,0,0,76,5,17,22.7,Matches
Elseid Hysaj,al ALB,DF,29-027,12.0,3,0,0,10,7,2,9,11,14,0,0,0,86,18,15,54.5,Matches
Toma Bašić,hr CRO,MF,26-114,4.7,1,0,0,8,11,0,19,7,3,0,0,0,24,9,6,60.0,Matches
Marcos Antônio,br BRA,MF,22-279,3.5,1,0,0,6,11,0,0,3,4,0,0,0,22,0,1,0.0,Matches
Matteo Cancellieri,it ITA,FW,21-035,2.6,2,0,0,11,8,5,6,1,4,1,0,0,13,4,1,80.0,Matches
Luka Romero,ar ARG,FW,18-121,1.7,0,0,0,3,6,0,0,3,0,0,0,0,10,2,1,66.7,Matches
Luís Maximiano,pt POR,GK,24-073,0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Mario Gila,es ESP,DF,22-202,1.0,0,0,0,1,1,0,0,3,1,0,0,0,6,0,3,0.0,Matches
Squad Total,,,29.3,26.0,53,1,0,263,336,37,325,214,241,4,1,0,1395,276,258,51.7,
Opponent Total,,,27.1,26.0,65,3,2,355,250,52,447,230,207,1,6,1,1448,258,276,48.3,
