Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Ivan Provedel,it ITA,GK,29-002,25.9,943,735,204,66,0,7,0,0,0,0,0,0,743,4,0,Matches
Adam Marušić,me MNE,DF,30-153,24.3,1484,1279,202,24,0,8,12,178,0,0,0,0,1274,3,14,Matches
Felipe Anderson,br BRA,FW,29-338,22.4,914,888,24,2,3,5,30,11,3,1,2,0,697,2,27,Matches
Sergej Milinković-Savić,rs SRB,MF,28-020,22.3,1324,1291,29,19,12,15,23,10,0,0,0,0,981,4,29,Matches
Alessio Romagnoli,it ITA,DF,28-066,21.7,1172,1056,116,65,1,8,0,1,0,0,0,0,1048,0,4,Matches
Mattia Zaccagni,it ITA,FW,27-276,20.1,630,615,13,3,1,6,39,4,6,4,1,0,501,2,23,Matches
Danilo Cataldi,it ITA,MF,28-225,17.2,1070,993,73,37,1,4,44,3,33,6,20,0,912,4,11,Matches
Nicolò Casale,it ITA,DF,25-033,17.6,1025,967,58,55,2,6,0,1,0,0,0,0,943,0,3,Matches
Ciro Immobile,it ITA,FW,33-027,16.1,435,415,16,0,4,2,5,6,0,0,0,0,319,4,18,Matches
Manuel Lazzari,it ITA,DF,29-110,15.5,849,707,140,12,0,1,22,128,0,0,0,0,748,2,15,Matches
Luis Alberto,es ESP,MF,30-172,15.4,1083,943,135,41,8,4,89,5,69,34,30,0,880,5,19,Matches
Pedro,es ESP,FW,35-234,15.1,695,672,19,8,2,9,26,9,2,2,0,0,556,4,11,Matches
Matías Vecino,uy URU,MF,31-207,14.0,742,738,3,3,2,5,1,0,0,0,0,0,622,1,11,Matches
Patric,es ESP,DF,29-336,11.9,774,707,66,33,0,17,0,0,0,0,0,0,683,1,0,Matches
Elseid Hysaj,al ALB,DF,29-027,12.0,747,637,109,12,2,3,9,97,0,0,0,0,614,1,11,Matches
Toma Bašić,hr CRO,MF,26-114,4.7,238,218,20,6,2,0,19,0,7,3,4,0,171,0,12,Matches
Marcos Antônio,br BRA,MF,22-279,3.5,206,204,2,2,0,0,0,0,0,0,0,0,184,0,0,Matches
Matteo Cancellieri,it ITA,FW,21-035,2.6,82,81,1,0,0,0,6,1,0,0,0,0,60,0,4,Matches
Luka Romero,ar ARG,FW,18-121,1.7,80,78,2,0,0,0,0,2,0,0,0,0,70,0,1,Matches
Luís Maximiano,pt POR,GK,24-073,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Mario Gila,es ESP,DF,22-202,1.0,61,56,5,3,0,0,0,2,0,0,0,0,56,0,0,Matches
Squad Total,,,29.3,26.0,14558,13284,1237,391,40,100,325,458,120,50,57,0,12065,37,213,
Opponent Total,,,27.1,26.0,13623,12399,1172,294,19,133,447,510,128,53,42,0,11123,52,258,
