Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Ivan Provedel,it ITA,GK,29-002,25.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Adam Marušić,me MNE,DF,30-153,24.3,0,15,7,46.7,0.62,0.29,0.0,0.0,23.8,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
Felipe Anderson,br BRA,FW,29-338,22.4,6,28,15,53.6,1.25,0.67,0.21,0.4,14.7,0,0,0,4.7,4.7,0.17,1.3,1.3,Matches
Sergej Milinković-Savić,rs SRB,MF,28-020,22.3,4,37,9,24.3,1.66,0.4,0.11,0.44,19.0,4,0,0,2.9,2.9,0.08,1.1,1.1,Matches
Alessio Romagnoli,it ITA,DF,28-066,21.7,1,7,2,28.6,0.32,0.09,0.14,0.5,15.4,0,0,0,0.5,0.5,0.07,0.5,0.5,Matches
Mattia Zaccagni,it ITA,FW,27-276,20.1,8,39,16,41.0,1.94,0.79,0.18,0.44,16.7,1,1,1,5.3,4.6,0.12,2.7,2.4,Matches
Danilo Cataldi,it ITA,MF,28-225,17.2,0,7,1,14.3,0.41,0.06,0.0,0.0,28.8,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Nicolò Casale,it ITA,DF,25-033,17.6,1,8,2,25.0,0.45,0.11,0.13,0.5,10.9,0,0,0,0.6,0.6,0.08,0.4,0.4,Matches
Ciro Immobile,it ITA,FW,33-027,16.1,9,47,18,38.3,2.91,1.12,0.15,0.39,14.7,0,2,3,9.7,7.4,0.16,-0.7,-0.4,Matches
Manuel Lazzari,it ITA,DF,29-110,15.5,0,3,1,33.3,0.19,0.06,0.0,0.0,19.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Luis Alberto,es ESP,MF,30-172,15.4,5,23,9,39.1,1.5,0.59,0.17,0.44,21.9,3,1,2,3.4,1.7,0.07,1.6,2.3,Matches
Pedro,es ESP,FW,35-234,15.1,3,29,9,31.0,1.91,0.59,0.1,0.33,19.0,0,0,0,2.7,2.7,0.09,0.3,0.3,Matches
Matías Vecino,uy URU,MF,31-207,14.0,2,20,4,20.0,1.43,0.29,0.1,0.5,18.3,0,0,0,2.1,2.1,0.11,-0.1,-0.1,Matches
Patric,es ESP,DF,29-336,11.9,0,1,0,0.0,0.08,0.0,0.0,,22.8,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Elseid Hysaj,al ALB,DF,29-027,12.0,0,2,1,50.0,0.17,0.08,0.0,0.0,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Toma Bašić,hr CRO,MF,26-114,4.7,0,7,4,57.1,1.5,0.86,0.0,0.0,20.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Marcos Antônio,br BRA,MF,22-279,3.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Matteo Cancellieri,it ITA,FW,21-035,2.6,0,5,1,20.0,1.93,0.39,0.0,0.0,17.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Luka Romero,ar ARG,FW,18-121,1.7,1,5,1,20.0,2.98,0.6,0.2,1.0,15.7,0,0,0,0.9,0.9,0.17,0.1,0.1,Matches
Luís Maximiano,pt POR,GK,24-073,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mario Gila,es ESP,DF,22-202,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,29.3,26.0,40,283,100,35.3,10.88,3.85,0.13,0.36,17.9,9,4,6,34.2,29.5,0.11,5.8,6.5,
Opponent Total,,,27.1,26.0,19,330,86,26.1,12.69,3.31,0.05,0.21,17.9,5,1,1,28.6,27.9,0.09,-9.6,-9.9,
