Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Wladimiro Falcone,it ITA,GK,27-359,28.0,473,918,51.5,15301,11913,74,74,100.0,182,191,95.3,214,643,33.3,0,0.0,0.0,0.0,1,7,1,0,0,Matches
Federico Baschirotto,it ITA,DF,26-198,27.0,776,1071,72.5,16944,6382,198,236,83.9,434,528,82.2,135,274,49.3,0,0.3,0.4,-0.3,4,62,3,1,70,Matches
Valentin Gendrey,fr FRA,DF,22-289,26.0,800,1132,70.7,12930,6411,426,505,84.4,304,422,72.0,53,146,36.3,1,1.7,1.2,-0.7,18,55,13,8,86,Matches
Morten Hjulmand,dk DEN,MF,23-285,24.6,732,945,77.5,13560,4233,299,366,81.7,329,381,86.4,89,149,59.7,4,1.9,1.0,2.1,20,103,12,3,111,Matches
Joan Gonzàlez,es ESP,MF,21-064,21.6,519,674,77.0,8004,2213,270,332,81.3,186,216,86.1,37,71,52.1,3,1.3,1.5,1.7,14,59,8,3,61,Matches
Gabriel Strefezza,br BRA,FW,25-353,20.3,414,677,61.2,7710,2407,204,264,77.3,126,201,62.7,73,156,46.8,1,2.5,2.5,-1.5,30,47,27,13,71,Matches
Antonino Gallo,it ITA,DF,23-091,18.9,621,915,67.9,11426,5164,267,314,85.0,274,380,72.1,72,181,39.8,1,1.4,1.4,-0.4,26,91,22,15,116,Matches
Alexis Blin,fr FRA,MF,26-202,18.7,576,719,80.1,9291,2817,286,333,85.9,215,264,81.4,46,72,63.9,0,0.4,0.5,-0.4,8,65,9,2,72,Matches
Federico Di Francesco,it ITA,"FW,MF",28-296,16.2,272,399,68.2,3764,1126,159,186,85.5,82,122,67.2,13,43,30.2,2,2.3,1.9,-0.3,20,19,13,2,41,Matches
Lorenzo Colombo,it ITA,FW,21-029,14.1,185,289,64.0,2280,511,119,158,75.3,38,57,66.7,8,22,36.4,2,1.4,0.4,0.6,16,13,6,2,19,Matches
Lameck Banda,zm ZAM,"FW,MF",22-067,13.6,202,310,65.2,2685,623,122,157,77.7,59,91,64.8,11,23,47.8,1,1.0,0.7,0.0,9,15,6,1,19,Matches
Samuel Umtiti,fr FRA,DF,29-143,13.5,428,519,82.5,8361,2843,151,177,85.3,207,222,93.2,61,100,61.0,0,0.0,0.1,0.0,1,32,4,1,33,Matches
Assan Ceesay,gm GAM,FW,29-020,13.2,160,269,59.5,2256,292,85,128,66.4,51,79,64.6,11,20,55.0,0,0.1,0.6,-0.1,3,7,2,0,14,Matches
Giuseppe Pezzella,it ITA,DF,25-128,9.1,374,478,78.2,6158,2430,179,205,87.3,162,197,82.2,25,52,48.1,1,0.5,0.3,0.5,5,39,10,4,58,Matches
Marin Pongračić,hr CRO,DF,25-207,8.8,296,361,82.0,6388,2314,73,94,77.7,171,195,87.7,47,63,74.6,0,0.1,0.0,-0.1,2,16,2,0,19,Matches
Kristoffer Askildsen,no NOR,MF,22-087,6.9,144,228,63.2,2658,940,67,93,72.0,46,70,65.7,23,44,52.3,0,0.3,0.3,-0.3,6,19,2,0,21,Matches
Alessandro Tuia,it ITA,DF,32-302,5.7,142,204,69.6,3226,1193,31,42,73.8,82,100,82.0,26,58,44.8,0,0.0,0.1,0.0,1,15,1,1,20,Matches
Kristijan Bistrović,hr CRO,MF,24-362,5.1,101,140,72.1,1867,682,45,52,86.5,35,48,72.9,16,25,64.0,0,0.4,0.5,-0.4,6,10,2,1,16,Matches
Youssef Maleh,it ITA,MF,24-227,4.9,87,127,68.5,1306,348,50,62,80.6,28,44,63.6,6,12,50.0,0,0.1,0.1,-0.1,3,11,1,0,10,Matches
