Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Fikayo Tomori,eng ENG,DF,25-108,25,2102.0,84.0,83.4,23.4,24,86.0,21,1,32.0,0,1.92,44.0,26.0,18.0,0.77,2.06,39.6,24.4,15.1,0.65,1.33,Matches
Theo Hernández,fr FRA,DF,25-182,24,2099.0,87.0,83.3,23.3,24,87.0,22,0,,0,1.96,42.0,28.0,14.0,0.6,1.03,37.1,25.0,12.0,0.52,0.52,Matches
Pierre Kalulu,fr FRA,DF,22-305,27,2120.0,79.0,84.1,23.6,22,88.0,21,5,37.0,0,1.78,41.0,36.0,5.0,0.21,-1.36,37.2,28.0,9.3,0.39,-0.22,Matches
Sandro Tonali,it ITA,MF,22-333,25,2019.0,81.0,80.1,22.4,22,88.0,17,3,28.0,1,1.76,35.0,30.0,5.0,0.22,-1.03,34.9,25.1,9.8,0.44,0.05,Matches
Rafael Leão,pt POR,"FW,MF",23-300,26,1913.0,74.0,75.9,21.3,22,80.0,10,4,36.0,0,1.96,40.0,27.0,13.0,0.61,0.76,34.0,22.7,11.3,0.53,0.43,Matches
Ismaël Bennacer,dz ALG,MF,25-126,23,1707.0,74.0,67.7,19.0,20,82.0,12,3,24.0,0,1.83,35.0,21.0,14.0,0.74,0.96,31.5,20.7,10.8,0.57,0.44,Matches
Olivier Giroud,fr FRA,FW,36-188,25,1650.0,66.0,65.5,18.3,20,77.0,7,5,22.0,1,1.88,30.0,20.0,10.0,0.55,0.34,26.6,18.5,8.1,0.44,0.04,Matches
Brahim Díaz,es ESP,MF,23-246,24,1364.0,57.0,54.1,15.2,20,62.0,0,4,29.0,3,1.88,26.0,19.0,7.0,0.46,0.07,24.5,14.5,10.0,0.66,0.51,Matches
Ciprian Tătărușanu,ro ROU,GK,37-056,16,1440.0,90.0,57.1,16.0,16,90.0,16,0,,12,1.88,26.0,22.0,4.0,0.25,-0.42,23.4,19.0,4.4,0.28,-0.36,Matches
Davide Calabria,it ITA,DF,26-121,16,1105.0,69.0,43.8,12.3,14,78.0,7,2,9.0,3,1.69,24.0,20.0,4.0,0.33,-0.18,17.9,14.9,3.0,0.24,-0.33,Matches
Junior Messias,br BRA,"FW,DF",31-328,18,1103.0,61.0,43.8,12.3,14,70.0,2,4,31.0,2,1.56,23.0,16.0,7.0,0.57,0.25,17.7,11.3,6.3,0.51,0.15,Matches
Rade Krunić,ba BIH,"MF,FW",29-181,16,1092.0,68.0,43.3,12.1,12,80.0,5,4,32.0,3,2.0,21.0,14.0,7.0,0.58,0.26,20.2,13.7,6.4,0.53,0.18,Matches
Mike Maignan,fr FRA,GK,27-277,12,1080.0,90.0,42.9,12.0,12,90.0,12,0,,0,1.75,22.0,14.0,8.0,0.67,0.42,20.2,12.6,7.6,0.63,0.36,Matches
Alexis Saelemaekers,be BEL,"FW,DF",23-283,20,906.0,45.0,36.0,10.1,10,66.0,0,10,24.0,1,1.6,12.0,14.0,-2.0,-0.2,-0.98,14.4,12.4,2.0,0.2,-0.36,Matches
Simon Kjær,dk DEN,DF,34-011,12,758.0,63.0,30.1,8.4,9,75.0,3,3,27.0,12,1.75,9.0,5.0,4.0,0.47,0.07,10.4,9.1,1.3,0.15,-0.4,Matches
Malick Thiaw,de GER,DF,21-241,11,684.0,62.0,27.1,7.6,8,82.0,6,3,10.0,13,1.82,8.0,7.0,1.0,0.13,-0.41,12.1,7.4,4.7,0.62,0.27,Matches
Charles De Ketelaere,be BEL,MF,22-027,24,880.0,37.0,34.9,9.8,7,67.0,0,17,24.0,3,1.83,15.0,14.0,1.0,0.1,-0.5,15.5,12.9,2.6,0.27,-0.25,Matches
Divock Origi,be BEL,"FW,MF",27-353,20,716.0,36.0,28.4,8.0,6,69.0,1,14,22.0,2,1.7,12.0,9.0,3.0,0.38,-0.07,11.1,9.8,1.3,0.16,-0.37,Matches
Ante Rebić,hr CRO,"FW,MF",29-197,18,638.0,35.0,25.3,7.1,6,67.0,0,12,20.0,3,1.78,14.0,10.0,4.0,0.56,0.18,11.4,9.4,2.0,0.28,-0.19,Matches
Matteo Gabbia,it ITA,DF,23-167,11,603.0,55.0,23.9,6.7,6,87.0,5,5,17.0,15,2.0,11.0,14.0,-3.0,-0.45,-1.15,10.0,10.4,-0.4,-0.05,-0.63,Matches
Tommaso Pobega,it ITA,MF,23-265,13,574.0,44.0,22.8,6.4,6,76.0,2,7,17.0,15,2.08,14.0,9.0,5.0,0.78,0.46,9.0,7.3,1.6,0.25,-0.23,Matches
Fodé Ballo-Touré,sn SEN,DF,26-093,4,286.0,72.0,11.3,3.2,3,90.0,3,1,16.0,20,1.75,4.0,4.0,0.0,0.0,-0.48,5.1,3.2,1.8,0.57,0.16,Matches
Sergiño Dest,us USA,DF,22-154,8,329.0,41.0,13.1,3.7,2,68.0,1,6,32.0,7,1.63,10.0,7.0,3.0,0.82,0.45,6.1,5.7,0.4,0.11,-0.37,Matches
Zlatan Ibrahimović,se SWE,FW,41-185,4,146.0,37.0,5.8,1.6,1,75.0,0,3,24.0,2,1.0,3.0,4.0,-1.0,-0.62,-1.11,2.9,2.6,0.4,0.24,-0.2,Matches
Yacine Adli,fr FRA,"MF,FW",22-251,5,124.0,25.0,4.9,1.4,1,59.0,0,4,16.0,23,1.4,2.0,2.0,0.0,0.0,-0.45,2.1,2.0,0.1,0.09,-0.35,Matches
Alessandro Florenzi,it ITA,DF,32-026,3,111.0,37.0,4.4,1.2,1,90.0,1,2,11.0,5,1.0,0.0,0.0,0.0,0.0,-0.45,1.2,1.3,-0.1,-0.07,-0.52,Matches
Aster Vranckx,be BEL,MF,20-184,7,76.0,11.0,3.0,0.8,0,,0,7,11.0,17,2.43,3.0,2.0,1.0,1.18,0.78,1.6,2.0,-0.5,-0.53,-0.99,Matches
Tiemoué Bakayoko,fr FRA,MF,28-232,3,41.0,14.0,1.6,0.5,0,,0,3,14.0,21,2.0,1.0,1.0,0.0,0.0,-0.44,0.8,1.0,-0.2,-0.54,-0.98,Matches
Marko Lazetić,rs SRB,FW,19-074,1,9.0,9.0,0.4,0.1,0,,0,1,9.0,4,1.0,0.0,0.0,0.0,0.0,-0.43,0.1,0.2,-0.1,-1.34,-1.78,Matches
