Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Fikayo Tomori,eng ENG,DF,25-108,23.4,1574,188,777,760,49,12,1574,5,2,40.0,1,20.0,862,4565,2414,18,6,0,9,2,972,9,Matches
Theo Hernández,fr FRA,DF,25-182,23.3,1445,53,358,712,394,51,1444,52,15,28.8,25,48.1,767,5561,3170,79,53,14,37,15,840,95,Matches
Pierre Kalulu,fr FRA,DF,22-305,23.6,1688,103,759,820,125,15,1688,10,5,50.0,3,30.0,1004,5827,3179,40,18,0,18,3,1113,31,Matches
Sandro Tonali,it ITA,MF,22-333,22.4,1194,35,259,645,304,21,1194,16,7,43.8,6,37.5,579,3616,1807,43,24,1,31,7,698,52,Matches
Rafael Leão,pt POR,"FW,MF",23-300,21.3,871,9,52,369,470,113,871,119,57,47.9,51,42.9,581,5665,2897,101,74,52,49,33,672,174,Matches
Ismaël Bennacer,dz ALG,MF,25-126,19.0,1420,28,274,881,287,8,1420,44,24,54.5,11,25.0,823,4413,1767,25,26,4,33,17,914,40,Matches
Olivier Giroud,fr FRA,FW,36-188,18.3,627,25,52,279,304,126,626,12,6,50.0,5,41.7,268,731,278,10,8,7,52,11,480,113,Matches
Brahim Díaz,es ESP,MF,23-246,15.2,700,4,48,400,272,43,700,56,27,48.2,24,42.9,474,3268,1796,61,47,13,49,41,530,78,Matches
Ciprian Tătărușanu,ro ROU,GK,37-056,16.0,587,509,587,0,0,0,587,0,0,,0,,359,1963,1284,0,0,0,0,0,315,0,Matches
Davide Calabria,it ITA,DF,26-121,12.3,910,44,292,448,181,9,910,10,2,20.0,5,50.0,450,2000,1179,16,16,1,6,3,540,44,Matches
Junior Messias,br BRA,"FW,DF",31-328,12.3,557,22,93,247,228,39,557,42,20,47.6,13,31.0,325,2116,1109,31,29,11,21,9,369,92,Matches
Rade Krunić,ba BIH,"MF,FW",29-181,12.1,607,32,167,350,100,17,607,15,10,66.7,3,20.0,306,1751,978,17,20,2,9,6,344,16,Matches
Mike Maignan,fr FRA,GK,27-277,12.0,472,358,466,6,0,0,472,0,0,,0,,340,1848,1198,0,0,0,0,0,285,0,Matches
Alexis Saelemaekers,be BEL,"FW,DF",23-283,10.1,526,12,85,214,235,28,526,33,14,42.4,15,45.5,306,2017,1010,34,16,11,28,16,349,91,Matches
Simon Kjær,dk DEN,DF,34-011,8.4,543,70,300,238,8,1,543,0,0,,0,,306,1248,720,0,1,0,1,0,370,0,Matches
Malick Thiaw,de GER,DF,21-241,7.6,493,62,262,212,21,7,493,4,1,25.0,2,50.0,268,1135,553,4,4,0,3,1,301,2,Matches
Charles De Ketelaere,be BEL,MF,22-027,9.8,412,9,42,190,189,46,412,44,28,63.6,11,25.0,234,1701,965,38,19,9,21,20,265,48,Matches
Divock Origi,be BEL,"FW,MF",27-353,8.0,238,12,24,96,123,31,238,25,10,40.0,8,32.0,138,763,356,14,9,10,33,22,177,55,Matches
Ante Rebić,hr CRO,"FW,MF",29-197,7.1,290,3,14,105,175,30,290,18,7,38.9,10,55.6,167,867,260,10,10,4,18,11,229,53,Matches
Matteo Gabbia,it ITA,DF,23-167,6.7,418,53,254,158,7,1,418,0,0,,0,,182,812,397,1,0,1,1,0,242,1,Matches
Tommaso Pobega,it ITA,MF,23-265,6.4,282,9,59,153,70,11,282,4,2,50.0,2,50.0,111,585,274,7,8,0,8,3,168,17,Matches
Fodé Ballo-Touré,sn SEN,DF,26-093,3.2,199,6,40,95,65,6,199,7,1,14.3,5,71.4,79,439,286,8,3,0,3,3,103,21,Matches
Sergiño Dest,us USA,DF,22-154,3.7,246,7,75,116,61,3,246,18,8,44.4,9,50.0,134,827,470,11,3,0,3,5,137,12,Matches
Zlatan Ibrahimović,se SWE,FW,41-185,1.6,72,3,5,31,36,7,71,3,0,0.0,2,66.7,38,145,53,0,1,1,5,2,55,10,Matches
Yacine Adli,fr FRA,"MF,FW",22-251,1.4,83,1,11,42,33,1,83,1,1,100.0,0,0.0,49,299,147,5,4,0,2,3,62,7,Matches
Alessandro Florenzi,it ITA,DF,32-026,1.2,96,2,21,44,31,4,96,0,0,,0,,58,200,76,0,1,0,2,0,54,8,Matches
Aster Vranckx,be BEL,MF,20-184,0.8,45,0,11,23,11,1,45,2,1,50.0,0,0.0,31,170,70,2,0,0,1,7,32,4,Matches
Tiemoué Bakayoko,fr FRA,MF,28-232,0.5,30,3,16,12,2,0,30,3,1,33.3,2,66.7,16,96,56,0,1,0,1,1,15,1,Matches
Marko Lazetić,rs SRB,FW,19-074,0.1,4,0,0,2,2,1,4,0,0,,0,,2,5,0,0,0,0,1,2,3,3,Matches
Squad Total,,,26.8,28.0,16629,1662,5403,7648,3783,632,16626,543,249,45.9,213,39.2,9257,54633,28749,575,401,141,445,243,10634,1077,
Opponent Total,,,27.4,28.0,15204,1754,5126,6748,3498,476,15199,479,187,39.0,225,47.0,8497,45155,21262,411,332,81,476,307,9285,924,
