Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Michele Di Gregorio,it ITA,GK,25-253,27.0,1066,821,244,73,0,6,0,0,0,0,0,0,818,1,0,Matches
Carlos,br BRA,DF,24-089,24.3,1254,1027,222,17,2,4,41,200,0,0,0,0,1041,5,32,Matches
Gianluca Caprari,it ITA,"MF,FW",29-250,20.9,832,781,45,9,3,9,63,4,26,6,17,0,659,6,27,Matches
Matteo Pessina,it ITA,MF,25-350,22.9,1386,1315,64,40,1,5,31,6,15,0,12,0,1172,7,40,Matches
Patrick Ciurria,it ITA,"DF,MF",28-056,20.8,936,779,155,13,1,2,69,119,23,0,17,0,739,2,13,Matches
Pablo Marí,es ESP,DF,29-218,19.6,1155,1095,56,32,0,4,1,6,0,0,0,0,1012,4,7,Matches
Luca Caldirola,it ITA,DF,32-064,18.4,1023,979,42,30,1,6,5,5,0,0,0,0,900,2,7,Matches
Armando Izzo,it ITA,DF,31-035,18.0,1065,991,68,48,1,12,6,19,0,0,0,0,905,6,7,Matches
Stefano Sensi,it ITA,MF,27-244,15.5,1110,1026,82,46,4,17,44,4,29,9,14,0,949,2,12,Matches
Andrea Petagna,it ITA,FW,27-280,14.6,364,324,34,0,4,9,3,1,0,0,0,0,262,6,8,Matches
Marlon,br BRA,DF,27-211,14.1,820,780,40,27,0,2,3,7,0,0,0,0,757,0,1,Matches
Nicolò Rovella,it ITA,MF,21-123,12.2,888,842,43,35,0,16,19,3,5,0,4,0,781,3,9,Matches
Samuele Birindelli,it ITA,DF,23-261,12.1,597,501,96,4,0,5,60,92,0,0,0,0,430,0,13,Matches
Dany Mota,pt POR,"FW,MF",24-339,13.4,389,368,20,1,1,2,33,5,0,0,0,0,267,1,24,Matches
Pepín,gq EQG,MF,26-235,10.4,583,566,16,11,2,2,10,3,2,0,1,0,486,1,10,Matches
Filippo Ranocchia,it ITA,MF,21-327,5.9,255,242,13,7,3,9,13,2,4,0,4,0,201,0,6,Matches
Andrea Colpani,it ITA,MF,23-330,6.3,268,242,21,4,1,6,21,2,15,4,11,0,210,5,4,Matches
Giulio Donati,it ITA,DF,33-060,4.4,303,274,27,8,0,3,9,18,1,0,0,0,261,2,4,Matches
Christian Gytkjær,dk DEN,"FW,MF",32-335,5.8,98,90,7,0,0,0,1,0,0,0,0,0,65,1,5,Matches
Andrea Barberis,it ITA,MF,29-116,3.6,163,154,9,6,0,0,4,1,2,0,2,0,138,0,2,Matches
Marco D'Alessandro,it ITA,"DF,FW",32-048,3.2,115,100,14,2,0,0,13,12,0,0,0,0,79,1,3,Matches
Mattia Valoti,it ITA,MF,29-212,3.0,102,100,1,1,0,2,1,0,0,0,0,0,82,1,2,Matches
Luca Marrone,it ITA,DF,33-009,1.5,84,78,6,6,0,0,0,0,0,0,0,0,78,0,0,Matches
Valentin Antov,bg BUL,DF,22-148,2.6,160,149,11,2,0,1,2,9,0,0,0,0,136,0,1,Matches
Salvatore Molina,it ITA,DF,31-095,2.5,114,96,17,2,0,0,14,15,0,0,0,0,86,1,3,Matches
Andrea Carboni,it ITA,DF,22-061,1.9,87,74,13,1,0,1,5,11,1,0,1,0,69,0,3,Matches
Alessio Cragno,it ITA,GK,28-282,1.0,31,24,7,1,0,0,0,0,0,0,0,0,29,0,0,Matches
Andrea Ranocchia,it ITA,DF,35-049,0.5,19,15,4,1,0,0,0,0,0,0,0,0,16,0,0,Matches
Warren Bondo,fr FRA,MF,19-203,0.7,51,48,3,2,0,0,0,1,0,0,0,0,45,0,1,Matches
Franco Carboni,it ITA,DF,20-002,0.6,42,35,7,0,0,0,9,7,0,0,0,0,28,0,5,Matches
Samuele Vignato,it ITA,"FW,MF",19-041,0.2,13,13,0,0,0,0,1,0,0,0,0,0,11,0,0,Matches
Squad Total,,,27.3,28.0,15373,13929,1387,429,24,123,481,552,123,19,83,0,12712,57,249,
Opponent Total,,,27.3,28.0,12216,10822,1348,405,18,144,495,537,137,51,63,0,9619,46,226,
