Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Giovanni Di Lorenzo,it ITA,DF,29-242,26.9,87,3.24,74,5,0,4,3,1,13,0.48,13,0,0,0,0,0,Matches
Alex Meret,it ITA,GK,26-012,26.0,1,0.04,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kim Min-jae,kr KOR,DF,26-139,25.3,28,1.11,25,0,0,1,0,2,2,0.08,1,0,0,1,0,0,Matches
Stanislav Lobotka,sk SVK,MF,28-129,25.2,52,2.07,47,1,0,1,2,1,7,0.28,5,1,0,1,0,0,Matches
Andre-Frank Zambo Anguissa,cm CMR,MF,27-138,23.3,53,2.27,46,0,0,3,1,3,7,0.3,7,0,0,0,0,0,Matches
Victor Osimhen,ng NGA,FW,24-095,21.1,49,2.32,34,0,4,7,4,0,8,0.38,6,0,0,1,1,0,Matches
Khvicha Kvaratskhelia,ge GEO,FW,22-050,19.2,95,4.95,60,2,16,10,6,1,22,1.15,10,1,3,5,3,0,Matches
Piotr Zieliński,pl POL,MF,28-318,19.1,92,4.82,56,24,3,3,6,0,9,0.47,5,3,0,1,0,0,Matches
Amir Rrahmani,xk KVX,DF,29-038,19.2,19,0.99,16,0,1,1,0,1,4,0.21,4,0,0,0,0,0,Matches
Mário Rui,pt POR,DF,31-311,16.6,76,4.58,54,19,1,0,1,1,13,0.78,11,1,0,0,0,1,Matches
Hirving Lozano,mx MEX,FW,27-247,14.2,52,3.66,37,0,6,4,2,3,8,0.56,7,0,0,1,0,0,Matches
Matteo Politano,it ITA,FW,29-243,10.8,66,6.12,42,8,8,5,3,0,4,0.37,3,0,0,1,0,0,Matches
Mathías Olivera,uy URU,DF,25-154,10.3,32,3.09,28,2,1,0,0,1,3,0.29,3,0,0,0,0,0,Matches
Elif Elmas,mk MKD,"FW,MF",23-191,11.3,38,3.35,26,4,4,2,2,0,7,0.62,4,1,1,1,0,0,Matches
Juan Jesus,br BRA,DF,31-297,6.8,8,1.17,5,0,0,2,0,1,1,0.15,1,0,0,0,0,0,Matches
Giacomo Raspadori,it ITA,"FW,MF",23-044,6.4,23,3.58,16,2,0,4,1,0,0,0.0,0,0,0,0,0,0,Matches
Tanguy Ndombele,fr FRA,MF,26-096,7.0,16,2.31,14,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Leo Skiri Østigård,no NOR,DF,23-126,2.7,2,0.75,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pierluigi Gollini,it ITA,GK,28-016,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Giovanni Simeone,ar ARG,FW,27-272,2.5,6,2.37,6,0,0,0,0,0,2,0.79,2,0,0,0,0,0,Matches
Alessio Zerbin,it ITA,"FW,MF",24-031,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gianluca Gaetano,it ITA,MF,22-333,0.4,2,4.5,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Diego Demme,de GER,MF,31-133,0.3,1,3.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Adam Ounas,dz ALG,FW,26-143,0.2,2,12.0,0,0,1,1,0,0,1,6.0,0,0,0,1,0,0,Matches
Alessandro Zanoli,it ITA,DF,22-182,0.1,1,7.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Karim Zedadka,fr FRA,DF,22-298,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.2,27.0,801,29.67,592,67,45,50,32,15,111,4.11,82,7,4,13,4,1,
Opponent Total,,,27.0,27.0,457,16.93,327,46,25,27,18,14,26,0.96,20,0,1,4,0,1,
