Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Giovanni Di Lorenzo,it ITA,DF,29-242,26.9,2,0,0,23,25,4,64,22,21,0,0,0,130,32,25,56.1,Matches
Alex Meret,it ITA,GK,26-012,26.0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,0,100.0,Matches
Kim Min-jae,kr KOR,DF,26-139,25.3,4,0,0,21,6,0,4,30,24,0,0,0,169,72,36,66.7,Matches
Stanislav Lobotka,sk SVK,MF,28-129,25.2,1,0,0,19,44,0,0,13,31,0,0,0,184,9,15,37.5,Matches
Andre-Frank Zambo Anguissa,cm CMR,MF,27-138,23.3,2,0,0,29,30,2,13,27,26,1,0,0,157,33,19,63.5,Matches
Victor Osimhen,ng NGA,FW,24-095,21.1,4,0,0,31,28,27,10,3,3,1,1,0,43,45,41,52.3,Matches
Khvicha Kvaratskhelia,ge GEO,FW,22-050,19.2,0,0,0,12,31,5,40,2,16,3,0,0,79,6,6,50.0,Matches
Piotr Zieliński,pl POL,MF,28-318,19.1,2,0,0,13,29,2,78,14,8,0,0,0,72,4,10,28.6,Matches
Amir Rrahmani,xk KVX,DF,29-038,19.2,1,0,0,11,9,1,1,12,15,0,0,0,104,48,31,60.8,Matches
Mário Rui,pt POR,DF,31-311,16.6,2,1,0,16,27,0,92,15,19,0,0,0,133,12,23,34.3,Matches
Hirving Lozano,mx MEX,FW,27-247,14.2,3,0,0,24,25,3,59,12,12,0,0,0,49,6,11,35.3,Matches
Matteo Politano,it ITA,FW,29-243,10.8,1,0,0,10,19,1,64,7,9,0,0,0,56,3,5,37.5,Matches
Mathías Olivera,uy URU,DF,25-154,10.3,1,0,0,12,12,0,12,12,13,0,0,0,60,11,14,44.0,Matches
Elif Elmas,mk MKD,"FW,MF",23-191,11.3,3,0,0,15,9,3,15,10,7,0,0,0,47,1,11,8.3,Matches
Juan Jesus,br BRA,DF,31-297,6.8,2,0,0,5,1,0,0,6,6,0,0,0,37,20,4,83.3,Matches
Giacomo Raspadori,it ITA,"FW,MF",23-044,6.4,1,0,0,5,5,1,15,2,7,0,0,0,20,1,6,14.3,Matches
Tanguy Ndombele,fr FRA,MF,26-096,7.0,4,0,0,10,19,0,1,6,5,0,1,0,34,4,3,57.1,Matches
Leo Skiri Østigård,no NOR,DF,23-126,2.7,1,0,0,2,4,0,0,4,1,0,0,0,7,19,2,90.5,Matches
Pierluigi Gollini,it ITA,GK,28-016,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Giovanni Simeone,ar ARG,FW,27-272,2.5,1,0,0,5,6,1,2,1,3,0,0,0,8,4,14,22.2,Matches
Alessio Zerbin,it ITA,"FW,MF",24-031,0.7,1,0,0,5,3,1,0,0,3,0,0,0,5,0,0,,Matches
Gianluca Gaetano,it ITA,MF,22-333,0.4,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,,Matches
Diego Demme,de GER,MF,31-133,0.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Adam Ounas,dz ALG,FW,26-143,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0,Matches
Alessandro Zanoli,it ITA,DF,22-182,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,Matches
Karim Zedadka,fr FRA,DF,22-298,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,27.2,27.0,36,1,0,270,333,51,471,199,231,5,2,0,1443,334,278,54.6,
Opponent Total,,,27.0,27.0,72,3,2,353,249,34,363,240,294,1,6,1,1343,278,334,45.4,
