Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Giovanni Di Lorenzo,it ITA,DF,29-227,25.9,1929,1636,284,48,4,20,64,232,2,0,0,0,1642,9,40,Matches
Alex Meret,it ITA,GK,25-362,25.0,692,509,183,34,0,0,0,0,0,0,0,0,604,0,0,Matches
Kim Min-jae,kr KOR,DF,26-124,24.3,2008,1968,37,35,1,26,3,1,0,0,0,0,1817,3,11,Matches
Stanislav Lobotka,sk SVK,MF,28-114,24.2,1621,1596,23,18,0,11,0,1,0,0,0,0,1531,2,6,Matches
Andre-Frank Zambo Anguissa,cm CMR,MF,27-123,22.3,1432,1415,15,13,1,1,13,2,0,0,0,0,1255,2,18,Matches
Victor Osimhen,ng NGA,FW,24-080,20.4,266,254,12,0,1,3,9,5,0,0,0,0,186,0,18,Matches
Khvicha Kvaratskhelia,ge GEO,FW,22-035,18.2,643,616,24,3,9,7,40,14,7,2,1,0,500,3,16,Matches
Piotr Zieliński,pl POL,MF,28-303,18.4,1047,942,102,20,0,5,73,3,60,23,22,1,864,3,23,Matches
Amir Rrahmani,xk KVX,DF,29-023,18.4,1436,1386,48,45,0,24,1,3,0,0,0,0,1306,2,4,Matches
Mário Rui,pt POR,DF,31-296,16.6,1508,1237,264,60,2,29,92,166,38,15,16,0,1223,7,18,Matches
Hirving Lozano,mx MEX,FW,27-232,13.5,431,425,4,0,0,2,57,3,1,0,0,0,316,2,19,Matches
Matteo Politano,it ITA,FW,29-228,10.8,528,470,53,12,2,8,64,16,25,16,3,0,384,5,22,Matches
Mathías Olivera,uy URU,DF,25-139,9.3,750,626,121,14,0,2,9,105,2,1,0,0,655,3,10,Matches
Elif Elmas,mk MKD,"FW,MF",23-176,11.0,562,533,26,9,2,0,15,4,11,2,5,0,475,3,6,Matches
Juan Jesus,br BRA,DF,31-282,6.8,456,437,18,14,0,0,0,3,0,0,0,0,409,1,0,Matches
Giacomo Raspadori,it ITA,"FW,MF",23-029,6.4,299,277,22,7,0,6,15,1,9,5,1,0,227,0,10,Matches
Tanguy Ndombele,fr FRA,MF,26-081,6.7,456,446,10,6,0,0,0,2,0,0,0,0,408,0,10,Matches
Leo Skiri Østigård,no NOR,DF,23-111,2.4,193,184,8,7,0,5,0,1,0,0,0,0,164,1,1,Matches
Pierluigi Gollini,it ITA,GK,28-001,1.0,37,31,6,1,0,0,0,0,0,0,0,0,31,0,0,Matches
Giovanni Simeone,ar ARG,FW,27-257,2.3,63,62,1,0,0,1,2,0,0,0,0,0,43,0,3,Matches
Alessio Zerbin,it ITA,"FW,MF",24-016,0.7,24,23,0,0,0,0,0,0,0,0,0,0,13,1,1,Matches
Gianluca Gaetano,it ITA,MF,22-318,0.4,26,22,2,2,0,0,0,0,0,0,0,0,19,2,0,Matches
Diego Demme,de GER,MF,31-118,0.3,67,67,0,0,0,0,0,0,0,0,0,0,66,0,0,Matches
Adam Ounas,dz ALG,FW,26-128,0.2,17,16,0,0,0,1,0,0,0,0,0,0,13,1,1,Matches
Alessandro Zanoli,it ITA,DF,22-167,0.1,11,10,1,0,0,0,1,1,0,0,0,0,9,0,1,Matches
Karim Zedadka,fr FRA,DF,22-283,0.0,2,0,2,1,0,0,0,1,0,0,0,0,2,0,0,Matches
Squad Total,,,27.2,26.0,16504,15188,1266,349,22,151,458,564,155,64,48,1,14162,50,238,
Opponent Total,,,27.0,26.0,10427,9221,1176,297,15,78,347,451,108,50,46,0,8047,30,220,
