Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Rui Patrício,pt POR,GK,35-032,26,26,2340.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Roger Ibanez,br BRA,DF,24-116,25,25,2250.0,25.0,3.0,0.0,3.0,3.0,0.0,0.0,8.0,0.0,2.1,2.1,0.6,2.6,23.0,58.0,8.0,0.12,0.0,0.12,0.12,0.12,0.08,0.02,0.11,0.08,0.11,Matches
Gianluca Mancini,it ITA,DF,26-336,25,25,2091.0,23.2,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.4,1.4,1.2,2.6,12.0,62.0,11.0,0.04,0.09,0.13,0.04,0.13,0.06,0.05,0.11,0.06,0.11,Matches
Bryan Cristante,it ITA,MF,28-016,25,25,2081.0,23.1,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.1,1.1,1.0,2.1,13.0,112.0,22.0,0.04,0.04,0.09,0.04,0.09,0.05,0.04,0.09,0.05,0.09,Matches
Chris Smalling,eng ENG,DF,33-117,25,24,2223.0,24.7,3.0,1.0,4.0,3.0,0.0,0.0,6.0,0.0,1.2,1.2,0.4,1.6,4.0,39.0,7.0,0.12,0.04,0.16,0.12,0.16,0.05,0.02,0.07,0.05,0.07,Matches
Lorenzo Pellegrini,it ITA,MF,26-273,21,21,1757.0,19.5,2.0,5.0,7.0,0.0,2.0,3.0,2.0,0.0,5.3,3.0,5.1,8.1,45.0,72.0,79.0,0.1,0.26,0.36,0.0,0.26,0.27,0.26,0.53,0.15,0.41,Matches
Tammy Abraham,eng ENG,FW,25-168,26,20,1719.0,19.1,6.0,3.0,9.0,6.0,0.0,0.0,1.0,0.0,9.5,9.5,2.9,12.3,27.0,39.0,99.0,0.31,0.16,0.47,0.31,0.47,0.49,0.15,0.64,0.49,0.64,Matches
Paulo Dybala,ar ARG,"MF,FW",29-124,19,17,1386.0,15.4,9.0,6.0,15.0,7.0,2.0,2.0,3.0,0.0,6.2,4.6,5.7,10.3,42.0,53.0,84.0,0.58,0.39,0.97,0.45,0.84,0.4,0.37,0.77,0.3,0.67,Matches
Nicola Zalewski,pl POL,DF,21-055,22,16,1354.0,15.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,1.0,1.9,51.0,56.0,69.0,0.07,0.07,0.13,0.07,0.13,0.06,0.07,0.12,0.06,0.12,Matches
Nemanja Matić,rs SRB,MF,34-230,25,13,1396.0,15.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,1.6,2.3,35.0,95.0,13.0,0.06,0.06,0.13,0.06,0.13,0.05,0.1,0.15,0.05,0.15,Matches
Leonardo Spinazzola,it ITA,DF,29-359,17,13,1122.0,12.5,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1.3,2.2,71.0,39.0,59.0,0.08,0.24,0.32,0.08,0.32,0.07,0.11,0.17,0.07,0.17,Matches
Nicolò Zaniolo,it ITA,"MF,FW",23-260,13,12,890.0,9.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.9,2.9,0.9,3.8,33.0,19.0,69.0,0.1,0.0,0.1,0.1,0.1,0.29,0.09,0.39,0.29,0.39,Matches
Zeki Çelik,tr TUR,DF,26-030,16,10,1013.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,1.3,1.6,23.0,44.0,57.0,0.0,0.0,0.0,0.0,0.0,0.03,0.12,0.15,0.03,0.15,Matches
Rick Karsdorp,nl NED,DF,28-036,13,8,711.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.2,1.5,16.0,24.0,33.0,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.19,0.03,0.19,Matches
Stephan El Shaarawy,it ITA,"DF,MF",30-143,19,7,913.0,10.1,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,3.3,3.3,0.8,4.1,37.0,39.0,78.0,0.3,0.1,0.39,0.3,0.39,0.33,0.08,0.41,0.33,0.41,Matches
Mohamed Camara,gn GUI,MF,26-019,10,5,412.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.3,0.6,10.0,20.0,9.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.13,0.07,0.13,Matches
Marash Kumbulla,al ALB,DF,23-039,6,4,245.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches
Andrea Belotti,it ITA,FW,29-089,21,3,548.0,6.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2,1.4,0.7,2.1,12.0,5.0,48.0,0.0,0.0,0.0,0.0,0.0,0.36,0.11,0.48,0.23,0.35,Matches
Edoardo Bove,it ITA,MF,20-307,13,3,332.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.1,0.5,3.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.11,0.02,0.13,0.11,0.13,Matches
Georginio Wijnaldum,nl NED,MF,32-128,6,3,277.0,3.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.1,1.1,0.1,1.2,7.0,7.0,9.0,0.32,0.0,0.32,0.32,0.32,0.37,0.04,0.41,0.37,0.41,Matches
