Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Rui Patrício,pt POR,GK,35-050,28,2520.0,90.0,100.0,28.0,28,90.0,28,0,,0,1.79,38.0,26.0,12.0,0.43,,43.8,22.3,21.5,0.77,,Matches
Chris Smalling,eng ENG,DF,33-135,27,2403.0,89.0,95.4,26.7,26,90.0,26,1,63.0,0,1.85,36.0,24.0,12.0,0.45,0.45,42.5,21.3,21.3,0.8,0.63,Matches
Roger Ibanez,br BRA,DF,24-134,26,2281.0,88.0,90.5,25.3,26,88.0,25,0,,0,1.69,33.0,25.0,8.0,0.32,-1.19,39.5,21.2,18.3,0.72,-0.47,Matches
Gianluca Mancini,it ITA,DF,26-354,26,2181.0,84.0,86.5,24.2,26,84.0,18,0,,1,1.81,28.0,20.0,8.0,0.33,-0.73,35.1,17.7,17.4,0.72,-0.36,Matches
Bryan Cristante,it ITA,MF,28-034,26,2170.0,83.0,86.1,24.1,26,83.0,18,0,,0,1.81,26.0,17.0,9.0,0.37,-0.4,33.9,16.7,17.1,0.71,-0.4,Matches
Lorenzo Pellegrini,it ITA,MF,26-291,23,1919.0,83.0,76.2,21.3,23,83.0,9,0,,3,1.83,26.0,17.0,9.0,0.42,-0.03,33.9,14.0,19.9,0.93,0.71,Matches
Tammy Abraham,eng ENG,FW,25-186,28,1800.0,64.0,71.4,20.0,21,76.0,6,7,29.0,0,1.79,28.0,19.0,9.0,0.45,0.08,32.7,17.7,15.0,0.75,-0.06,Matches
Paulo Dybala,ar ARG,"MF,FW",29-142,21,1521.0,72.0,60.4,16.9,19,77.0,6,2,34.0,0,1.9,30.0,16.0,14.0,0.83,1.01,28.5,12.6,16.0,0.95,0.45,Matches
Nicola Zalewski,pl POL,DF,21-073,24,1530.0,64.0,60.7,17.0,18,77.0,6,6,24.0,2,1.71,21.0,17.0,4.0,0.24,-0.49,22.7,13.6,9.1,0.54,-0.59,Matches
Leonardo Spinazzola,it ITA,DF,30-012,19,1302.0,69.0,51.7,14.5,15,79.0,9,4,28.0,3,1.79,15.0,16.0,-1.0,-0.07,-1.03,23.2,12.4,10.8,0.75,-0.04,Matches
Nemanja Matić,rs SRB,MF,34-248,27,1510.0,56.0,59.9,16.8,14,85.0,10,13,25.0,1,1.74,28.0,17.0,11.0,0.66,0.57,28.3,15.6,12.8,0.76,-0.01,Matches
Nicolò Zaniolo,it ITA,"MF,FW",23-278,13,890.0,68.0,35.3,9.9,12,72.0,4,1,23.0,1,1.85,7.0,8.0,-1.0,-0.1,-0.82,14.2,6.5,7.7,0.78,0.03,Matches
Zeki Çelik,tr TUR,DF,26-048,17,1017.0,60.0,40.4,11.3,10,86.0,8,7,22.0,7,2.0,16.0,9.0,7.0,0.62,0.32,17.9,7.3,10.5,0.93,0.28,Matches
Stephan El Shaarawy,it ITA,"DF,MF",30-161,21,1016.0,48.0,40.3,11.3,8,81.0,3,13,29.0,4,1.67,24.0,9.0,15.0,1.33,1.51,22.0,10.6,11.4,1.01,0.4,Matches
Rick Karsdorp,nl NED,DF,28-054,13,711.0,55.0,28.2,7.9,8,73.0,2,5,26.0,1,1.54,10.0,8.0,2.0,0.25,-0.24,12.3,7.3,5.0,0.63,-0.19,Matches
Georginio Wijnaldum,nl NED,MF,32-146,8,433.0,54.0,17.2,4.8,5,82.0,3,3,8.0,0,1.63,8.0,7.0,1.0,0.21,-0.27,7.1,5.8,1.4,0.29,-0.58,Matches
Mohamed Camara,gn GUI,MF,26-037,10,412.0,41.0,16.3,4.6,5,71.0,0,5,11.0,14,1.6,3.0,5.0,-2.0,-0.44,-1.03,4.9,3.4,1.6,0.34,-0.51,Matches
Andrea Belotti,it ITA,FW,29-107,23,647.0,28.0,25.7,7.2,4,72.0,0,19,19.0,0,1.74,12.0,9.0,3.0,0.42,-0.02,14.2,3.9,10.3,1.44,0.91,Matches
Marash Kumbulla,al ALB,DF,23-057,6,245.0,41.0,9.7,2.7,4,57.0,1,2,9.0,16,1.67,4.0,3.0,1.0,0.37,-0.07,2.4,2.6,-0.2,-0.08,-0.93,Matches
Edoardo Bove,it ITA,MF,20-325,13,332.0,26.0,13.2,3.7,3,67.0,1,10,13.0,15,2.23,4.0,5.0,-1.0,-0.27,-0.81,3.8,5.4,-1.7,-0.45,-1.4,Matches
Cristian Volpato,it ITA,MF,19-142,6,205.0,34.0,8.1,2.3,2,59.0,0,4,22.0,18,0.83,3.0,0.0,3.0,1.32,0.97,2.9,1.4,1.5,0.65,-0.12,Matches
Benjamin Tahirovic,ba BIH,MF,20-034,5,136.0,27.0,5.4,1.5,1,63.0,0,4,18.0,13,1.6,5.0,2.0,3.0,1.99,1.65,4.3,1.0,3.3,2.19,1.5,Matches
Diego Llorente,es ESP,DF,29-233,3,123.0,41.0,4.9,1.4,1,90.0,1,2,17.0,4,2.0,3.0,1.0,2.0,1.46,1.09,3.4,0.6,2.7,2.0,1.29,Matches
Ola Solbakken,no NOR,"MF,FW",24-211,7,122.0,17.0,4.8,1.4,1,69.0,0,6,9.0,3,1.86,4.0,1.0,3.0,2.21,1.88,2.5,1.4,1.1,0.81,0.04,Matches
