Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Rui Patrício,pt POR,GK,35-047,27.0,745,671,743,2,0,0,745,0,0,,0,,396,2257,1209,0,0,0,1,0,292,0,Matches
Roger Ibanez,br BRA,DF,24-131,25.3,1681,191,859,788,62,23,1681,17,10,58.8,6,35.3,1025,5844,3369,23,14,2,21,15,1078,9,Matches
Gianluca Mancini,it ITA,DF,26-351,24.2,1428,160,703,652,86,22,1428,9,4,44.4,3,33.3,860,3900,2447,13,11,0,11,6,1020,11,Matches
Bryan Cristante,it ITA,MF,28-031,24.1,1491,65,412,948,143,20,1491,9,7,77.8,1,11.1,760,3190,1468,13,10,3,21,8,966,23,Matches
Chris Smalling,eng ENG,DF,33-132,25.7,1297,203,786,480,40,23,1297,3,2,66.7,0,0.0,654,2845,1434,4,6,0,9,2,762,7,Matches
Lorenzo Pellegrini,it ITA,MF,26-288,20.4,1066,21,144,572,360,37,1063,61,25,41.0,29,47.5,573,3567,1536,46,30,4,40,22,688,81,Matches
Tammy Abraham,eng ENG,FW,25-183,19.4,609,15,43,315,260,90,609,54,14,25.9,31,57.4,327,1704,687,27,17,12,45,24,476,100,Matches
Paulo Dybala,ar ARG,"MF,FW",29-139,15.9,857,1,71,437,360,57,855,48,19,39.6,22,45.8,532,3189,1337,42,33,15,50,27,617,84,Matches
Nicola Zalewski,pl POL,DF,21-070,16.0,967,18,272,435,273,20,967,44,20,45.5,19,43.2,532,3283,1851,52,38,12,20,8,601,70,Matches
Leonardo Spinazzola,it ITA,DF,30-009,13.5,844,31,228,400,233,32,844,50,23,46.0,23,46.0,496,3801,2305,73,37,20,19,8,521,64,Matches
Nemanja Matić,rs SRB,MF,34-245,15.8,1139,40,261,725,170,15,1139,19,13,68.4,4,21.1,691,3977,2257,36,32,3,18,14,775,13,Matches
Nicolò Zaniolo,it ITA,"MF,FW",23-275,9.9,344,1,36,153,165,45,344,47,10,21.3,29,61.7,246,1695,839,34,27,10,39,35,267,69,Matches
Zeki Çelik,tr TUR,DF,26-045,11.3,746,31,243,322,191,15,746,8,3,37.5,5,62.5,338,1722,956,23,19,5,12,11,393,57,Matches
Rick Karsdorp,nl NED,DF,28-051,7.9,444,30,156,185,110,9,444,6,0,0.0,5,83.3,236,1148,575,16,8,2,11,6,260,33,Matches
Stephan El Shaarawy,it ITA,"DF,MF",30-158,10.3,690,12,132,308,260,39,690,49,16,32.7,30,61.2,385,2392,1134,37,24,13,22,6,437,81,Matches
Mohamed Camara,gn GUI,MF,26-034,4.6,245,7,42,167,45,4,245,9,6,66.7,2,22.2,152,926,460,10,5,1,4,5,150,9,Matches
Andrea Belotti,it ITA,FW,29-104,6.8,239,3,23,98,121,29,238,18,4,22.2,9,50.0,134,719,249,13,5,6,23,8,181,50,Matches
Georginio Wijnaldum,nl NED,MF,32-143,3.8,138,4,16,86,36,12,138,10,3,30.0,7,70.0,75,491,217,7,3,3,6,4,96,9,Matches
Marash Kumbulla,al ALB,DF,23-054,2.7,201,15,100,99,5,2,201,0,0,,0,,135,612,314,2,1,0,2,0,153,1,Matches
Edoardo Bove,it ITA,MF,20-322,3.7,173,3,35,101,40,8,173,6,4,66.7,1,16.7,102,391,164,3,4,1,16,9,105,4,Matches
Cristian Volpato,it ITA,MF,19-139,2.3,123,2,11,59,55,10,123,8,3,37.5,5,62.5,88,606,264,7,7,3,9,5,96,21,Matches
Benjamin Tahirovic,ba BIH,MF,20-031,1.5,79,3,19,48,13,1,79,1,1,100.0,0,0.0,43,168,54,0,1,0,1,0,50,2,Matches
Eldor Shomurodov,uz UZB,FW,27-278,1.3,53,1,4,16,34,11,53,4,1,25.0,3,75.0,34,241,103,3,4,2,4,5,43,15,Matches
Ola Solbakken,no NOR,"MF,FW",24-208,1.2,63,1,3,34,28,5,63,4,1,25.0,2,50.0,41,183,105,2,5,1,4,2,47,15,Matches
Matías Viña,uy URU,DF,25-145,0.6,49,3,17,18,14,1,49,1,1,100.0,0,0.0,19,83,26,2,1,1,3,0,14,4,Matches
Diego Llorente,es ESP,DF,29-230,0.4,11,1,9,2,0,0,11,0,0,,0,,4,5,3,0,0,0,0,0,7,0,Matches
Jordan Majchrzak,pl POL,FW,18-177,0.2,4,0,0,2,2,0,4,0,0,,0,,3,4,0,0,0,0,0,0,4,1,Matches
Squad Total,,,28.3,27.0,15726,1533,5368,7452,3106,530,15720,485,190,39.2,236,48.7,8881,48943,25363,488,342,119,411,230,10099,833,
Opponent Total,,,27.3,27.0,16298,1631,4887,7869,3691,385,16296,464,204,44.0,211,45.5,9534,50253,24958,452,367,84,425,246,10735,994,
