2022-08-07,21:00,Coppa Italia,First round,Sun,Home,L,0,2,Parma,Unnamed: 10,Unnamed: 11,52,"10,205",Franck Ribéry,3-5-2,Ivan Pezzuto,Match Report,Unnamed: 18
2022-08-14,20:45,Serie A,Matchweek 1,Sun,Home,L,0.0,1.0,Roma,0.6,2.4,51.0,26006.0,Federico Fazio,3-5-2,Simone Sozza,Match Report,
2022-08-20,18:30,Serie A,Matchweek 2,Sat,Away,D,0.0,0.0,Udinese,1.5,1.1,52.0,17054.0,Federico Fazio,3-5-2,Gianluca Aureliano,Match Report,
2022-08-28,18:30,Serie A,Matchweek 3,Sun,Home,W,4.0,0.0,Sampdoria,1.7,1.8,45.0,19116.0,Federico Fazio,3-5-2,Davide Massa,Match Report,
2022-09-01,20:45,Serie A,Matchweek 4,Thu,Away,D,1.0,1.0,Bologna,1.4,1.8,53.0,19787.0,Federico Fazio,3-5-2,Davide Ghersini,Match Report,
2022-09-05,18:30,Serie A,Matchweek 5,Mon,Home,D,2.0,2.0,Empoli,1.3,0.9,51.0,18173.0,Federico Fazio,3-5-2,Rosario Abisso,Match Report,
2022-09-11,20:45,Serie A,Matchweek 6,Sun,Away,D,2.0,2.0,Juventus,1.6,1.9,39.0,35097.0,Federico Fazio,3-5-2,Matteo Marcenaro,Match Report,
2022-09-16,20:45,Serie A,Matchweek 7,Fri,Home,L,1.0,2.0,Lecce,1.2,1.5,58.0,19488.0,Pasquale Mazzocchi,3-5-2,Daniele Doveri,Match Report,
2022-10-02,15:00,Serie A,Matchweek 8,Sun,Away,L,0.0,5.0,Sassuolo,0.5,3.2,56.0,15786.0,Pasquale Mazzocchi,3-5-2,Maria Sole Ferrieri Caputi,Match Report,
2022-10-09,15:00,Serie A,Matchweek 9,Sun,Home,W,2.0,1.0,Hellas Verona,1.1,0.9,40.0,15922.0,Ivan Radovanović,3-5-2,Davide Ghersini,Match Report,
2022-10-16,12:30,Serie A,Matchweek 10,Sun,Away,L,0.0,2.0,Inter,0.4,1.7,39.0,75452.0,Pasquale Mazzocchi,5-3-2,Juan Sacchi,Match Report,
2022-10-22,15:00,Serie A,Matchweek 11,Sat,Home,W,1.0,0.0,Spezia,1.6,0.9,44.0,17260.0,Federico Fazio,3-5-2,Daniele Chiffi,Match Report,
2022-10-30,18:00,Serie A,Matchweek 12,Sun,Away,W,3.0,1.0,Lazio,1.5,1.9,39.0,40000.0,Federico Fazio,3-5-2,Gianluca Manganiello,Match Report,
2022-11-05,15:00,Serie A,Matchweek 13,Sat,Home,D,2.0,2.0,Cremonese,1.3,1.7,51.0,16780.0,Federico Fazio,3-5-2,Matteo Marchetti,Match Report,
2022-11-09,20:45,Serie A,Matchweek 14,Wed,Away,L,1.0,2.0,Fiorentina,0.5,2.8,42.0,27329.0,Pasquale Mazzocchi,3-5-2,Federico La Penna,Match Report,
2022-11-13,15:00,Serie A,Matchweek 15,Sun,Away,L,0.0,3.0,Monza,0.2,2.4,43.0,12372.0,Pasquale Mazzocchi,3-5-2,Antonio Giua,Match Report,
2023-01-04,12:30,Serie A,Matchweek 16,Wed,Home,L,1.0,2.0,Milan,0.7,2.7,44.0,29541.0,Federico Fazio,3-5-2,Francesco Fourneau,Match Report,
2023-01-08,12:30,Serie A,Matchweek 17,Sun,Home,D,1.0,1.0,Torino,0.8,2.2,38.0,16300.0,Federico Fazio,3-1-4-2,Andrea Colombo,Match Report,
2023-01-15,18:00,Serie A,Matchweek 18,Sun,Away,L,2.0,8.0,Atalanta,1.0,2.9,43.0,18499.0,Federico Fazio,3-4-1-2,Gianluca Aureliano,Match Report,
2023-01-21,18:00,Serie A,Matchweek 19,Sat,Home,L,0.0,2.0,Napoli,0.4,1.4,26.0,,Norbert Gyömbér,4-5-1,Daniele Chiffi,Match Report,
2023-01-27,20:45,Serie A,Matchweek 20,Fri,Away,W,2.0,1.0,Lecce,0.9,1.4,41.0,,Antonio Candreva,4-3-3,Davide Massa,Match Report,
2023-02-07,20:45,Serie A,Matchweek 21,Tue,Home,L,0.0,3.0,Juventus,0.8,2.2,53.0,,Antonio Candreva,4-3-3,Antonio Rapuano,Match Report,
2023-02-13,18:30,Serie A,Matchweek 22,Mon,Away,L,0.0,1.0,Hellas Verona,0.9,1.2,63.0,,Luigi Sepe,3-4-1-2,Paolo Valeri,Match Report,
2023-02-19,15:00,Serie A,Matchweek 23,Sun,Home,L,0.0,2.0,Lazio,0.4,3.0,35.0,,Antonio Candreva,3-4-3,Rosario Abisso,Match Report,
2023-02-26,15:00,Serie A,Matchweek 24,Sun,Home,W,3.0,0.0,Monza,2.4,1.4,38.0,,Antonio Candreva,3-4-3,Livio Marinelli,Match Report,
