Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Antonio Candreva,it ITA,"DF,MF",36-019,26,24,2075.0,23.1,3.0,3.0,6.0,3.0,0.0,0.0,3.0,1.0,2.5,2.5,2.9,5.4,54.0,112.0,128.0,0.13,0.13,0.26,0.13,0.26,0.11,0.13,0.23,0.11,0.23,Matches
Lassana Coulibaly,ml MLI,MF,26-343,25,24,2056.0,22.8,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,0.5,0.5,1.3,1.8,34.0,81.0,48.0,0.09,0.09,0.18,0.09,0.18,0.02,0.06,0.08,0.02,0.08,Matches
Boulaye Dia,sn SEN,FW,26-123,24,19,1764.0,19.6,10.0,4.0,14.0,10.0,0.0,0.0,3.0,0.0,5.9,5.9,2.3,8.3,30.0,36.0,109.0,0.51,0.2,0.71,0.51,0.71,0.3,0.12,0.42,0.3,0.42,Matches
Tonny Vilhena,nl NED,MF,28-075,23,19,1580.0,17.6,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,2.2,2.2,1.7,3.9,25.0,62.0,52.0,0.17,0.06,0.23,0.17,0.23,0.13,0.09,0.22,0.13,0.22,Matches
Luigi Sepe,it ITA,GK,31-315,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pasquale Mazzocchi,it ITA,DF,27-235,19,17,1421.0,15.8,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,1.1,1.1,2.3,3.5,53.0,46.0,81.0,0.13,0.13,0.25,0.13,0.25,0.07,0.15,0.22,0.07,0.22,Matches
Domagoj Bradarić,hr CRO,DF,23-099,22,16,1535.0,17.1,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,2.2,2.3,47.0,40.0,88.0,0.0,0.12,0.12,0.0,0.12,0.01,0.13,0.14,0.01,0.14,Matches
Krzysztof Piątek,pl POL,FW,27-261,23,16,1508.0,16.8,3.0,2.0,5.0,2.0,1.0,1.0,4.0,0.0,7.1,6.4,1.3,7.7,24.0,25.0,89.0,0.18,0.12,0.3,0.12,0.24,0.42,0.08,0.5,0.38,0.46,Matches
Flavius Daniliuc,at AUT,DF,21-326,18,16,1481.0,16.5,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.5,0.5,0.2,0.7,9.0,46.0,4.0,0.0,0.12,0.12,0.0,0.12,0.03,0.01,0.04,0.03,0.04,Matches
Dylan Bronn,tn TUN,DF,27-273,20,16,1425.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.7,0.7,0.4,1.0,9.0,65.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches
Norbert Gyömbér,sk SVK,DF,30-259,19,15,1150.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.0,0.4,5.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Lorenzo Pirola,it ITA,DF,21-027,15,12,1080.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.4,1.0,10.0,28.0,1.0,0.08,0.0,0.08,0.08,0.08,0.05,0.03,0.09,0.05,0.09,Matches
