Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Emil Audero,it ITA,GK,26-060,25.0,5.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tommaso Augello,it ITA,DF,28-201,22.0,44.0,2.0,37.0,4.0,1.0,1.0,0.0,1.0,4.0,0.18,4.0,0.0,0.0,0.0,0.0,0.0,Matches
Mehdi Léris,dz ALG,"DF,MF",24-300,19.1,34.0,1.79,26.0,0.0,0.0,4.0,2.0,2.0,4.0,0.21,1.0,0.0,0.0,3.0,0.0,0.0,Matches
Filip Đuričić,rs SRB,"MF,FW",31-048,17.3,55.0,3.18,36.0,7.0,3.0,2.0,5.0,2.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Tomás Rincón,ve VEN,MF,35-065,18.3,28.0,1.53,26.0,0.0,0.0,0.0,0.0,2.0,3.0,0.16,2.0,0.0,0.0,0.0,0.0,1.0,Matches
Omar Colley,gm GAM,DF,30-146,15.4,5.0,0.33,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Manolo Gabbiadini,it ITA,"FW,MF",31-113,15.2,36.0,2.36,19.0,1.0,2.0,8.0,5.0,1.0,2.0,0.13,1.0,0.0,0.0,0.0,1.0,0.0,Matches
Bruno Amione,ar ARG,DF,21-075,13.8,6.0,0.44,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.07,0.0,0.0,0.0,1.0,0.0,0.0,Matches
Bartosz Bereszyński,pl POL,DF,30-250,13.3,8.0,0.6,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Francesco Caputo,it ITA,FW,35-225,12.2,23.0,1.89,17.0,0.0,1.0,3.0,1.0,1.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Abdelhamid Sabiri,ma MAR,MF,26-111,11.2,39.0,3.49,22.0,6.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bram Nuytinck,nl NED,DF,32-319,9.9,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alex Ferrari,it ITA,DF,28-261,9.6,4.0,0.41,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jeison Murillo,co COL,DF,30-296,9.1,6.0,0.66,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sam Lammers,nl NED,FW,25-323,7.8,17.0,2.19,15.0,0.0,0.0,1.0,0.0,1.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Ronaldo Vieira,gw GNB,MF,24-243,9.1,,,,,,,,,,,,,,,,,Matches
Harry Winks,eng ENG,MF,27-045,8.3,15.0,1.8,10.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gonzalo Villar,es ESP,MF,24-361,7.7,9.0,1.17,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Valerio Verre,it ITA,MF,29-067,7.5,30.0,3.98,22.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mickaël Cuisance,fr FRA,MF,23-215,3.5,3.0,0.85,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alessandro Zanoli,it ITA,DF,22-167,5.8,12.0,2.07,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicola Murru,it ITA,DF,28-093,5.5,5.0,0.91,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.18,0.0,1.0,0.0,0.0,0.0,0.0,Matches
Daniele Montevago,it ITA,FW,20-001,2.6,7.0,2.75,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fabio Quagliarella,it ITA,FW,40-047,4.4,11.0,2.48,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.23,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Gerard Yepes,es ESP,MF,20-206,2.2,3.0,1.36,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ignacio Pussetto,ar ARG,"MF,DF",27-088,1.7,2.0,1.18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Koray Günter,de GER,"DF,MF",28-215,1.6,2.0,1.23,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fabio Depaoli,it ITA,"DF,MF",25-329,1.5,6.0,3.97,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jesé,es ESP,FW,30-021,1.2,3.0,2.48,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Martin Turk,si SVN,GK,19-210,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Flavio Paoletti,it ITA,MF,20-062,1.1,3.0,2.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lorenzo Malagrida,it ITA,"DF,MF",19-146,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Manuel De Luca,it ITA,"FW,MF",24-245,0.5,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrea Conti,it ITA,DF,29-017,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emirhan İlkhan,tr TUR,MF,18-291,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,28.5,26.0,433.0,16.65,320.0,28.0,11.0,34.0,26.0,14.0,20.0,0.77,13.0,1.0,0.0,4.0,1.0,1.0,
Opponent Total,,,27.4,26.0,636.0,24.46,452.0,64.0,29.0,49.0,36.0,6.0,67.0,2.58,51.0,6.0,1.0,6.0,3.0,0.0,
