Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Emil Audero,it ITA,GK,26-060,25.0,1,0,0,0,2,0,0,0,0,0.0,0.0,1,41.0,6.0,0.0,100.0,Matches
Tommaso Augello,it ITA,DF,28-201,22.0,1,0,0,12,13,1,95,8,8,0.0,1.0,0,107.0,24.0,18.0,57.1,Matches
Mehdi Léris,dz ALG,"DF,MF",24-300,19.1,11,0,0,37,31,4,43,23,36,0.0,0.0,0,112.0,49.0,30.0,62.0,Matches
Filip Đuričić,rs SRB,"MF,FW",31-048,17.3,7,0,0,24,38,0,27,6,17,0.0,0.0,0,86.0,8.0,15.0,34.8,Matches
Tomás Rincón,ve VEN,MF,35-065,18.3,5,1,0,37,19,0,16,22,20,0.0,0.0,0,116.0,24.0,10.0,70.6,Matches
Omar Colley,gm GAM,DF,30-146,15.4,5,0,0,15,18,1,0,22,10,0.0,0.0,0,73.0,27.0,30.0,47.4,Matches
Manolo Gabbiadini,it ITA,"FW,MF",31-113,15.2,5,0,0,26,48,10,22,2,5,1.0,0.0,0,40.0,30.0,45.0,40.0,Matches
Bruno Amione,ar ARG,DF,21-075,13.8,7,0,0,14,7,0,5,17,23,0.0,1.0,0,81.0,43.0,26.0,62.3,Matches
Bartosz Bereszyński,pl POL,DF,30-250,13.3,1,0,0,13,10,0,31,21,18,0.0,0.0,0,68.0,18.0,11.0,62.1,Matches
Francesco Caputo,it ITA,FW,35-225,12.2,0,0,0,5,24,11,3,1,1,0.0,0.0,0,18.0,6.0,21.0,22.2,Matches
Abdelhamid Sabiri,ma MAR,MF,26-111,11.2,4,0,0,27,35,0,52,2,7,0.0,0.0,0,49.0,29.0,28.0,50.9,Matches
Bram Nuytinck,nl NED,DF,32-319,9.9,3,0,0,14,4,0,0,14,23,0.0,1.0,0,44.0,13.0,11.0,54.2,Matches
Alex Ferrari,it ITA,DF,28-261,9.6,3,0,0,12,7,0,4,19,5,0.0,1.0,0,62.0,21.0,15.0,58.3,Matches
Jeison Murillo,co COL,DF,30-296,9.1,3,0,0,11,15,0,1,6,10,0.0,0.0,1,52.0,25.0,18.0,58.1,Matches
Sam Lammers,nl NED,FW,25-323,7.8,1,0,0,10,16,0,2,3,5,0.0,0.0,0,14.0,19.0,28.0,40.4,Matches
Ronaldo Vieira,gw GNB,MF,24-243,9.1,3,0,0,21,9,0,1,13,10,,,0,,,,,Matches
Harry Winks,eng ENG,MF,27-045,8.3,0,0,0,8,5,1,31,8,8,0.0,0.0,0,56.0,2.0,7.0,22.2,Matches
Gonzalo Villar,es ESP,MF,24-361,7.7,2,0,0,17,18,0,7,4,7,0.0,1.0,0,55.0,9.0,5.0,64.3,Matches
Valerio Verre,it ITA,MF,29-067,7.5,5,0,0,14,13,2,33,9,7,0.0,0.0,0,61.0,12.0,12.0,50.0,Matches
Mickaël Cuisance,fr FRA,MF,23-215,3.5,1,0,0,7,1,1,5,3,5,0.0,0.0,0,22.0,1.0,7.0,12.5,Matches
Alessandro Zanoli,it ITA,DF,22-167,5.8,0,0,0,1,2,0,19,3,2,0.0,0.0,0,28.0,2.0,9.0,18.2,Matches
Nicola Murru,it ITA,DF,28-093,5.5,2,0,0,9,5,1,7,5,10,0.0,2.0,0,25.0,6.0,5.0,54.5,Matches
Daniele Montevago,it ITA,FW,20-001,2.6,1,0,0,8,4,4,1,0,0,0.0,0.0,0,5.0,14.0,23.0,37.8,Matches
Fabio Quagliarella,it ITA,FW,40-047,4.4,2,0,0,3,10,5,7,0,1,0.0,0.0,0,14.0,5.0,19.0,20.8,Matches
Gerard Yepes,es ESP,MF,20-206,2.2,2,0,0,7,4,0,0,4,3,0.0,0.0,0,13.0,5.0,2.0,71.4,Matches
Ignacio Pussetto,ar ARG,"MF,DF",27-088,1.7,1,0,0,7,1,0,5,0,3,0.0,0.0,0,4.0,4.0,5.0,44.4,Matches
Koray Günter,de GER,"DF,MF",28-215,1.6,0,0,0,1,0,0,1,1,3,0.0,0.0,0,11.0,4.0,2.0,66.7,Matches
Fabio Depaoli,it ITA,"DF,MF",25-329,1.5,1,0,0,1,7,0,8,1,3,0.0,0.0,0,6.0,0.0,2.0,0.0,Matches
Jesé,es ESP,FW,30-021,1.2,0,0,0,0,2,1,0,0,0,0.0,0.0,0,3.0,0.0,9.0,0.0,Matches
Martin Turk,si SVN,GK,19-210,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches
Flavio Paoletti,it ITA,MF,20-062,1.1,0,0,0,1,1,0,1,4,2,0.0,0.0,0,5.0,1.0,3.0,25.0,Matches
Lorenzo Malagrida,it ITA,"DF,MF",19-146,0.5,2,0,0,3,0,0,1,0,0,0.0,0.0,0,6.0,0.0,1.0,0.0,Matches
Manuel De Luca,it ITA,"FW,MF",24-245,0.5,0,0,0,3,2,0,0,0,0,0.0,0.0,0,1.0,0.0,3.0,0.0,Matches
Andrea Conti,it ITA,DF,29-017,0.3,0,0,0,0,1,1,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches
Emirhan İlkhan,tr TUR,MF,18-291,0.2,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0.0,0.0,2.0,0.0,Matches
Squad Total,,,28.5,26.0,79,1,0,368,373,43,428,221,253,1.0,7.0,2,1354.0,415.0,433.0,48.9,
Opponent Total,,,27.4,26.0,56,1,1,385,350,67,480,221,258,5.0,2.0,0,1426.0,433.0,415.0,51.1,
