Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Davide Frattesi,it ITA,MF,23-166,28,27,2238.0,24.9,6.0,0.0,6.0,6.0,0.0,0.0,4.0,0.0,5.4,5.4,1.5,6.9,59.0,104.0,75.0,0.24,0.0,0.24,0.24,0.24,0.22,0.06,0.28,0.22,0.28,Matches
Andrea Consigli,it ITA,GK,36-069,26,26,2340.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rogério,br BRA,DF,25-083,26,25,2185.0,24.3,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,1.4,1.8,67.0,126.0,70.0,0.0,0.08,0.08,0.0,0.08,0.02,0.06,0.07,0.02,0.07,Matches
Jeremy Toljan,de GER,DF,28-241,22,21,1949.0,21.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,2.4,2.9,36.0,98.0,70.0,0.0,0.05,0.05,0.0,0.05,0.02,0.11,0.13,0.02,0.13,Matches
Armand Lauriente,fr FRA,FW,24-123,21,21,1729.0,19.2,7.0,6.0,13.0,6.0,1.0,1.0,7.0,1.0,4.4,3.6,5.9,9.5,107.0,66.0,201.0,0.36,0.31,0.68,0.31,0.62,0.23,0.31,0.53,0.19,0.49,Matches
Gian Marco Ferrari,it ITA,DF,31-050,24,20,1804.0,20.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.1,1.1,0.0,1.1,10.0,67.0,1.0,0.05,0.0,0.05,0.05,0.05,0.06,0.0,0.06,0.06,0.06,Matches
Andrea Pinamonti,it ITA,FW,23-322,24,20,1710.0,19.0,5.0,0.0,5.0,4.0,1.0,1.0,2.0,0.0,5.8,5.1,1.2,6.3,14.0,21.0,128.0,0.26,0.0,0.26,0.21,0.21,0.31,0.06,0.37,0.27,0.33,Matches
Martin Erlic,hr CRO,DF,25-072,20,19,1698.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,4.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches
Maxime Lopez,fr FRA,MF,25-123,21,17,1604.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.6,0.6,1.6,2.2,41.0,138.0,25.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.12,0.04,0.12,Matches
Domenico Berardi,it ITA,FW,28-248,18,15,1250.0,13.9,6.0,5.0,11.0,2.0,4.0,5.0,5.0,0.0,7.3,3.4,3.2,6.5,30.0,76.0,132.0,0.43,0.36,0.79,0.14,0.5,0.53,0.23,0.75,0.24,0.47,Matches
Matheus Henrique,br BRA,MF,25-108,20,13,1269.0,14.1,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,1.3,2.8,23.0,75.0,43.0,0.14,0.0,0.14,0.14,0.14,0.1,0.09,0.2,0.1,0.2,Matches
Ruan,br BRA,DF,23-303,14,12,1019.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.4,0.4,0.0,0.4,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Kristian Thorstvedt,no NOR,MF,24-024,24,12,1003.0,11.1,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.9,1.9,1.1,3.0,26.0,49.0,48.0,0.18,0.09,0.27,0.18,0.27,0.17,0.1,0.27,0.17,0.27,Matches
Giorgos Kyriakopoulos,gr GRE,"FW,DF",27-060,12,9,766.0,8.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,1.4,2.5,17.0,32.0,46.0,0.12,0.12,0.23,0.12,0.23,0.13,0.17,0.29,0.13,0.29,Matches
Pedro Obiang,gq EQG,MF,31-010,15,9,706.0,7.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.2,0.4,0.0,32.0,2.0,0.0,0.13,0.13,0.0,0.13,0.04,0.02,0.06,0.04,0.06,Matches
Grégoire Defrel,mq MTQ,FW,31-293,17,8,700.0,7.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.1,2.1,0.3,2.4,8.0,7.0,40.0,0.13,0.0,0.13,0.13,0.13,0.27,0.04,0.31,0.27,0.31,Matches
Hamed Junior Traorè,ci CIV,"MF,FW",23-049,11,6,591.0,6.6,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.8,2.7,14.0,26.0,36.0,0.0,0.46,0.46,0.0,0.46,0.15,0.27,0.41,0.15,0.41,Matches
Kaan Ayhan,tr TUR,DF,28-147,10,5,545.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nadir Zortea,it ITA,DF,23-291,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.4,0.5,16.0,26.0,17.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.1,0.02,0.1,Matches
Luca D'Andrea,it ITA,FW,18-212,5,5,316.0,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.8,1.1,11.0,9.0,29.0,0.0,0.28,0.28,0.0,0.28,0.08,0.23,0.31,0.08,0.31,Matches
Emil Ceide,no NOR,FW,21-215,14,3,332.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.7,0.9,22.0,13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.06,0.18,0.25,0.06,0.25,Matches
Abdou Harroui,nl NED,MF,25-083,17,2,355.0,3.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.7,9.0,20.0,19.0,0.25,0.0,0.25,0.25,0.25,0.15,0.01,0.17,0.15,0.17,Matches
Nedim Bajrami,al ALB,FW,24-037,8,2,331.0,3.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,0.5,1.9,9.0,16.0,28.0,0.27,0.0,0.27,0.27,0.27,0.38,0.14,0.52,0.38,0.52,Matches
Riccardo Marchizza,it ITA,DF,25-011,7,2,181.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,7.0,10.0,0.0,0.5,0.5,0.0,0.5,0.0,0.12,0.12,0.0,0.12,Matches
Gianluca Pegolo,it ITA,GK,42-012,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Agustín Álvarez Martínez,uy URU,"FW,MF",21-322,18,1,312.0,3.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,0.3,1.6,2.0,6.0,16.0,0.29,0.29,0.58,0.29,0.58,0.37,0.09,0.46,0.37,0.46,Matches
Mert Müldür,tr TUR,DF,24-003,1,1,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Janis Antiste,fr FRA,FW,20-231,2,0,52.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,2.0,1.73,0.0,1.73,1.73,1.73,0.31,0.0,0.31,0.31,0.31,Matches
Giacomo Raspadori,it ITA,FW,23-047,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adrian Cannavaro,it ITA,DF,18-331,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Edoardo Pieragnolo,it ITA,DF,20-093,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Filippo Romagna,it ITA,DF,25-315,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alessandro Russo,it ITA,GK,22-006,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gioele Zacchi,it ITA,GK,19-270,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.9,28,308,2520.0,28.0,35.0,23.0,58.0,29.0,6.0,7.0,65.0,2.0,37.4,32.0,26.3,58.3,536.0,1085.0,1077.0,1.25,0.82,2.07,1.04,1.86,1.33,0.94,2.27,1.14,2.08,
Opponent Total,,,27.1,28,308,2520.0,28.0,41.0,31.0,72.0,37.0,4.0,4.0,64.0,4.0,37.3,34.7,29.3,64.0,502.0,1043.0,1032.0,1.46,1.11,2.57,1.32,2.43,1.33,1.04,2.38,1.24,2.28,
