Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Mehdi Bourabia,ma MAR,MF,31-242,24.2,62,2.56,47,6,4,2,1,2,6,0.25,6,0,0,0,0,0,Matches
Bartłomiej Drągowski,pl POL,GK,25-230,24.7,5,0.2,4,1,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
Dimitris Nikolaou,gr GRE,DF,24-236,24.6,19,0.77,17,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Emmanuel Gyasi,gh GHA,"FW,DF",29-085,22.4,33,1.47,28,0,2,2,1,0,0,0.0,0,0,0,0,0,0,Matches
M'Bala Nzola,ao ANG,FW,26-231,22.1,47,2.13,37,0,4,4,2,0,5,0.23,3,0,2,0,0,0,Matches
Ethan Ampadu,wls WAL,"DF,MF",22-204,21.1,30,1.42,26,0,0,2,1,1,4,0.19,4,0,0,0,0,0,Matches
Kevin Agudelo,co COL,"MF,FW",24-143,20.3,46,2.27,32,1,7,3,3,0,3,0.15,2,0,0,0,1,0,Matches
Arkadiusz Reca,pl POL,DF,27-293,17.9,38,2.13,30,1,2,3,1,1,2,0.11,1,0,0,1,0,0,Matches
Kelvin Amian,fr FRA,DF,25-057,17.7,27,1.53,21,2,0,2,0,2,2,0.11,1,0,0,1,0,0,Matches
Jakub Kiwior,pl POL,DF,23-050,16.0,15,0.94,9,3,0,1,0,2,1,0.06,1,0,0,0,0,0,Matches
Emil Holm,se SWE,DF,22-328,15.5,36,2.33,24,5,2,2,3,0,1,0.06,1,0,0,0,0,0,Matches
Mattia Caldara,it ITA,DF,28-336,13.9,7,0.5,7,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
Simone Bastoni,it ITA,"MF,DF",26-152,10.7,26,2.43,15,8,0,2,0,1,2,0.19,2,0,0,0,0,0,Matches
Albin Ekdal,se SWE,MF,33-252,11.5,22,1.91,16,0,0,4,0,2,0,0.0,0,0,0,0,0,0,Matches
Daniele Verde,it ITA,"FW,MF",26-290,8.2,36,4.41,22,10,0,0,1,3,1,0.12,0,1,0,0,0,0,Matches
Viktor Kovalenko,ua UKR,MF,27-051,5.3,9,1.7,8,0,0,0,1,0,1,0.19,0,0,0,0,1,0,Matches
Eldor Shomurodov,uz UZB,FW,27-281,5.0,10,2.02,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Petko Hristov,bg BUL,DF,24-036,4.1,3,0.74,1,0,0,1,1,0,1,0.25,0,0,0,0,1,0,Matches
Daniel Maldini,it ITA,"FW,MF",21-177,5.6,18,3.21,8,1,4,2,3,0,0,0.0,0,0,0,0,0,0,Matches
Salvatore Esposito,it ITA,MF,22-181,2.4,4,1.67,2,0,0,0,2,0,0,0.0,0,0,0,0,0,0,Matches
Jeroen Zoet,nl NED,GK,32-090,1.7,1,0.58,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mikael Ellertsson,is ISL,"MF,DF",21-026,1.9,5,2.65,2,0,1,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Dávid Strelec,sk SVK,FW,22-002,1.9,4,2.16,3,0,0,0,1,0,2,1.08,2,0,0,0,0,0,Matches
Szymon Żurkowski,pl POL,MF,25-193,1.7,2,1.19,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jacopo Sala,it ITA,MF,31-122,1.2,2,1.62,0,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Przemysław Wiśniewski,pl POL,DF,24-253,1.1,1,0.87,0,0,0,1,0,0,1,0.87,0,0,0,1,0,0,Matches
Salvador Ferrer,es ESP,DF,25-075,1.1,1,0.88,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Petar Zovko,ba BIH,GK,21-012,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Tio Cipot,si SVN,"FW,DF",19-351,0.7,2,2.69,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Federico Marchetti,it ITA,GK,40-058,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
João Moutinho,pt POR,"DF,FW",25-084,0.6,1,1.55,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Leandro Sanca,pt POR,"FW,MF",23-092,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Raimonds Krollis,lv LVA,FW,21-160,0.2,1,6.0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Julius Beck,dk DEN,MF,17-344,0.1,1,9.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.4,28.0,514,18.36,375,41,27,33,23,15,34,1.21,25,1,2,3,3,0,
Opponent Total,,,27.7,28.0,822,29.36,582,76,51,70,30,13,77,2.75,58,3,7,7,2,0,
