Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Mehdi Bourabia,ma MAR,MF,31-242,24.2,1344,79,363,690,310,13,1344,50,22,44.0,24,48.0,657,3039,1442,30,21,5,45,21,761,30,Matches
Bartłomiej Drągowski,pl POL,GK,25-230,24.7,935,773,930,5,0,0,935,0,0,,0,,544,2824,1759,0,0,0,0,0,445,0,Matches
Dimitris Nikolaou,gr GRE,DF,24-236,24.6,1499,191,791,639,81,11,1499,10,7,70.0,2,20.0,922,4456,2382,18,15,0,13,8,995,9,Matches
Emmanuel Gyasi,gh GHA,"FW,DF",29-085,22.4,814,31,143,331,348,71,814,29,7,24.1,21,72.4,471,2553,927,27,27,11,54,34,567,111,Matches
M'Bala Nzola,ao ANG,FW,26-231,22.1,735,27,56,275,411,105,732,58,22,37.9,27,46.6,470,2474,726,36,16,20,95,59,589,161,Matches
Ethan Ampadu,wls WAL,"DF,MF",22-204,21.1,1333,141,595,638,117,14,1333,8,5,62.5,1,12.5,692,4118,2079,19,13,0,12,5,750,9,Matches
Kevin Agudelo,co COL,"MF,FW",24-143,20.3,902,10,146,414,371,43,902,80,37,46.3,34,42.5,545,4012,2223,67,57,16,54,47,569,84,Matches
Arkadiusz Reca,pl POL,DF,27-293,17.9,1076,74,342,457,290,27,1076,46,14,30.4,26,56.5,538,3854,2304,64,42,7,28,8,604,66,Matches
Kelvin Amian,fr FRA,DF,25-057,17.7,924,70,337,364,228,26,924,19,11,57.9,5,26.3,421,2363,1234,29,16,2,16,10,476,50,Matches
Jakub Kiwior,pl POL,DF,23-050,16.0,953,177,594,307,58,15,953,7,5,71.4,2,28.6,464,2749,1395,13,3,1,8,5,498,6,Matches
Emil Holm,se SWE,DF,22-328,15.5,804,42,179,318,318,40,804,44,18,40.9,21,47.7,338,2509,1128,41,24,10,47,22,430,82,Matches
Mattia Caldara,it ITA,DF,28-336,13.9,784,145,448,299,46,17,784,5,2,40.0,2,40.0,379,1884,830,5,4,0,9,4,359,4,Matches
Simone Bastoni,it ITA,"MF,DF",26-152,10.7,606,24,146,246,220,21,606,17,5,29.4,9,52.9,275,1252,599,12,12,2,14,11,317,55,Matches
Albin Ekdal,se SWE,MF,33-252,11.5,616,33,164,357,102,16,616,10,7,70.0,2,20.0,310,1455,515,7,11,0,17,8,328,11,Matches
