Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Mehdi Bourabia,ma MAR,MF,31-242,24.2,0,22,2,9.1,0.91,0.08,0.0,0.0,27.4,1,0,0,1.1,1.1,0.05,-1.1,-1.1,Matches
Bartłomiej Drągowski,pl POL,GK,25-230,24.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Dimitris Nikolaou,gr GRE,DF,24-236,24.6,0,7,1,14.3,0.28,0.04,0.0,0.0,22.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Emmanuel Gyasi,gh GHA,"FW,DF",29-085,22.4,1,27,10,37.0,1.2,0.45,0.04,0.1,13.7,0,0,0,3.0,3.0,0.11,-2.0,-2.0,Matches
M'Bala Nzola,ao ANG,FW,26-231,22.1,12,47,17,36.2,2.13,0.77,0.19,0.53,15.7,0,3,3,9.2,6.8,0.15,2.8,2.2,Matches
Ethan Ampadu,wls WAL,"DF,MF",22-204,21.1,0,14,5,35.7,0.66,0.24,0.0,0.0,17.2,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches
Kevin Agudelo,co COL,"MF,FW",24-143,20.3,0,21,5,23.8,1.04,0.25,0.0,0.0,20.4,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
Arkadiusz Reca,pl POL,DF,27-293,17.9,1,15,6,40.0,0.84,0.34,0.07,0.17,23.7,0,0,0,0.7,0.7,0.05,0.3,0.3,Matches
Kelvin Amian,fr FRA,DF,25-057,17.7,0,15,3,20.0,0.85,0.17,0.0,0.0,19.1,1,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
Jakub Kiwior,pl POL,DF,23-050,16.0,0,10,2,20.0,0.62,0.12,0.0,0.0,16.6,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Emil Holm,se SWE,DF,22-328,15.5,1,15,5,33.3,0.97,0.32,0.07,0.2,14.9,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
Mattia Caldara,it ITA,DF,28-336,13.9,0,11,4,36.4,0.79,0.29,0.0,0.0,10.5,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
Simone Bastoni,it ITA,"MF,DF",26-152,10.7,2,20,6,30.0,1.87,0.56,0.1,0.33,20.0,1,0,0,1.1,1.1,0.05,0.9,0.9,Matches
Albin Ekdal,se SWE,MF,33-252,11.5,0,12,1,8.3,1.04,0.09,0.0,0.0,15.7,0,0,0,1.8,1.8,0.16,-1.8,-1.8,Matches
Daniele Verde,it ITA,"FW,MF",26-290,8.2,2,23,6,26.1,2.82,0.74,0.04,0.17,23.0,0,1,1,2.0,1.2,0.05,0.0,-0.2,Matches
Viktor Kovalenko,ua UKR,MF,27-051,5.3,0,8,0,0.0,1.51,0.0,0.0,,17.7,1,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
Eldor Shomurodov,uz UZB,FW,27-281,5.0,1,12,2,16.7,2.42,0.4,0.08,0.5,15.2,0,0,0,1.9,1.9,0.16,-0.9,-0.9,Matches
Petko Hristov,bg BUL,DF,24-036,4.1,0,1,0,0.0,0.25,0.0,0.0,,10.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Daniel Maldini,it ITA,"FW,MF",21-177,5.6,2,14,6,42.9,2.5,1.07,0.14,0.33,18.6,1,0,0,1.1,1.1,0.08,0.9,0.9,Matches
Salvatore Esposito,it ITA,MF,22-181,2.4,0,1,0,0.0,0.42,0.0,0.0,,33.2,1,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Jeroen Zoet,nl NED,GK,32-090,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mikael Ellertsson,is ISL,"MF,DF",21-026,1.9,0,2,0,0.0,1.05,0.0,0.0,,21.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Dávid Strelec,sk SVK,FW,22-002,1.9,0,3,1,33.3,1.6,0.53,0.0,0.0,11.2,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches
Szymon Żurkowski,pl POL,MF,25-193,1.7,0,2,1,50.0,1.2,0.6,0.0,0.0,28.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Jacopo Sala,it ITA,MF,31-122,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Przemysław Wiśniewski,pl POL,DF,24-253,1.1,0,1,0,0.0,0.87,0.0,0.0,,5.3,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
Salvador Ferrer,es ESP,DF,25-075,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Petar Zovko,ba BIH,GK,21-012,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Tio Cipot,si SVN,"FW,DF",19-351,0.7,0,2,1,50.0,2.69,1.34,0.0,0.0,30.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Federico Marchetti,it ITA,GK,40-058,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
João Moutinho,pt POR,"DF,FW",25-084,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Leandro Sanca,pt POR,"FW,MF",23-092,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Raimonds Krollis,lv LVA,FW,21-160,0.2,0,1,1,100.0,6.0,6.0,0.0,0.0,21.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Julius Beck,dk DEN,MF,17-344,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,26.4,28.0,22,306,85,27.8,10.93,3.04,0.06,0.21,18.4,7,4,4,29.2,26.2,0.09,-7.2,-8.2,
Opponent Total,,,27.7,28.0,43,468,139,29.7,16.71,4.96,0.09,0.29,17.7,9,3,5,47.1,43.2,0.09,-4.1,-3.2,
