Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Vanja Milinković-Savić,rs SRB,GK,26-045,28,2520.0,90.0,100.0,28.0,28,90.0,28,0,,0,1.36,30.0,34.0,-4.0,-0.14,,31.0,32.7,-1.7,-0.06,,Matches
Nikola Vlašić,hr CRO,"MF,FW",25-184,24,2018.0,84.0,80.1,22.4,22,88.0,18,2,41.0,0,1.29,21.0,27.0,-6.0,-0.27,-0.63,24.5,28.2,-3.7,-0.17,-0.53,Matches
Perr Schuurs,nl NED,DF,23-131,22,1716.0,78.0,68.1,19.1,21,81.0,16,1,6.0,4,1.36,21.0,24.0,-3.0,-0.16,-0.05,22.4,20.2,2.3,0.12,0.56,Matches
Ricardo Rodríguez,ch SUI,DF,30-224,25,1862.0,74.0,73.9,20.7,20,86.0,14,5,27.0,2,1.28,23.0,25.0,-2.0,-0.1,0.18,22.7,23.5,-0.7,-0.04,0.1,Matches
Koffi Djidji,ci CIV,DF,30-127,25,1836.0,73.0,72.9,20.4,20,87.0,14,5,20.0,2,1.24,17.0,25.0,-8.0,-0.39,-0.92,21.5,24.5,-3.1,-0.15,-0.33,Matches
Alessandro Buongiorno,it ITA,DF,23-304,24,1833.0,76.0,72.7,20.4,20,84.0,15,4,39.0,2,1.38,23.0,23.0,0.0,0.0,0.52,21.6,23.0,-1.4,-0.07,-0.02,Matches
Karol Linetty,pl POL,MF,28-063,27,1694.0,63.0,67.2,18.8,20,76.0,9,7,25.0,0,1.41,20.0,24.0,-4.0,-0.21,-0.21,23.1,22.1,1.0,0.05,0.35,Matches
Antonio Sanabria,py PAR,FW,27-033,23,1623.0,71.0,64.4,18.0,18,83.0,8,5,25.0,2,1.26,18.0,25.0,-7.0,-0.39,-0.69,22.8,20.5,2.3,0.13,0.53,Matches
Aleksei Miranchuk,ru RUS,MF,27-171,21,1522.0,72.0,60.4,16.9,18,80.0,9,3,25.0,0,1.48,21.0,19.0,2.0,0.12,0.66,16.9,18.0,-1.1,-0.06,0.0,Matches
Wilfried Singo,ci CIV,DF,22-102,22,1444.0,66.0,57.3,16.0,16,80.0,7,6,27.0,3,1.23,20.0,22.0,-2.0,-0.12,0.04,16.1,18.6,-2.6,-0.16,-0.23,Matches
Samuele Ricci,it ITA,MF,21-228,19,1426.0,75.0,56.6,15.8,15,88.0,11,4,28.0,2,1.63,18.0,16.0,2.0,0.13,0.62,16.6,17.8,-1.2,-0.07,-0.03,Matches
Nemanja Radonjić,rs SRB,"MF,FW",27-050,25,1234.0,49.0,49.0,13.7,13,77.0,4,12,20.0,2,1.16,16.0,16.0,0.0,0.0,0.28,15.7,16.0,-0.3,-0.02,0.08,Matches
Saša Lukić,rs SRB,MF,26-236,16,1195.0,75.0,47.4,13.3,13,87.0,12,3,23.0,0,1.06,13.0,18.0,-5.0,-0.38,-0.44,13.7,17.4,-3.7,-0.28,-0.41,Matches
Valentino Lazaro,at AUT,DF,27-013,16,1101.0,69.0,43.7,12.2,13,80.0,6,3,22.0,2,1.13,12.0,16.0,-4.0,-0.33,-0.33,12.8,16.7,-3.9,-0.32,-0.46,Matches
Mërgim Vojvoda,xk KVX,DF,28-064,22,1185.0,54.0,47.0,13.2,12,79.0,7,10,24.0,3,1.41,14.0,17.0,-3.0,-0.23,-0.16,15.3,14.7,0.6,0.05,0.2,Matches
Ola Aina,ng NGA,DF,26-180,16,807.0,50.0,32.0,9.0,9,75.0,4,7,19.0,2,1.56,8.0,7.0,1.0,0.11,0.37,12.4,10.0,2.4,0.26,0.48,Matches
Demba Seck,sn SEN,"FW,MF",22-055,14,388.0,28.0,15.4,4.3,5,65.0,0,9,7.0,12,1.07,1.0,4.0,-3.0,-0.7,-0.65,2.5,5.4,-2.9,-0.68,-0.73,Matches
Yann Karamoh,fr FRA,"MF,FW",24-272,12,426.0,36.0,16.9,4.7,4,63.0,0,8,22.0,8,1.17,7.0,5.0,2.0,0.42,0.68,7.5,4.1,3.4,0.71,0.93,Matches
David Zima,cz CZE,DF,22-149,9,406.0,45.0,16.1,4.5,4,83.0,3,5,15.0,7,1.56,6.0,5.0,1.0,0.22,0.43,4.9,6.6,-1.7,-0.37,-0.37,Matches
Ivan Ilić,rs SRB,MF,22-020,5,396.0,79.0,15.7,4.4,4,90.0,3,1,37.0,1,1.4,7.0,7.0,0.0,0.0,0.17,5.1,3.7,1.5,0.33,0.47,Matches
Pietro Pellegri,it ITA,FW,22-020,12,374.0,31.0,14.8,4.2,4,61.0,0,8,16.0,5,1.25,7.0,5.0,2.0,0.48,0.73,3.7,5.3,-1.6,-0.38,-0.38,Matches
Michel Ndary Adopo,fr FRA,"MF,DF",22-261,8,255.0,32.0,10.1,2.8,3,68.0,0,5,10.0,20,2.0,3.0,2.0,1.0,0.35,0.55,2.9,3.6,-0.7,-0.24,-0.2,Matches
Andrew Gravillon,gp GLP,DF,25-057,5,236.0,47.0,9.4,2.6,3,73.0,0,2,9.0,3,0.8,3.0,4.0,-1.0,-0.38,-0.26,2.6,3.4,-0.8,-0.29,-0.25,Matches
