Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Vanja Milinković-Savić,rs SRB,GK,26-045,28.0,1327.0,953.0,1312.0,16.0,1.0,1.0,1327.0,0.0,0.0,,0.0,,840.0,5453.0,3103.0,0.0,0.0,0.0,1.0,1.0,689.0,0.0,Matches
Nikola Vlašić,hr CRO,"MF,FW",25-184,22.4,957.0,9.0,86.0,389.0,501.0,91.0,957.0,42.0,22.0,52.4,16.0,38.1,567.0,3354.0,1503.0,56.0,42.0,19.0,80.0,39.0,722.0,161.0,Matches
Perr Schuurs,nl NED,DF,23-131,19.1,1065.0,111.0,551.0,480.0,48.0,13.0,1065.0,10.0,6.0,60.0,3.0,30.0,513.0,2508.0,1147.0,8.0,10.0,0.0,18.0,7.0,563.0,1.0,Matches
Ricardo Rodríguez,ch SUI,DF,30-224,20.7,1392.0,90.0,498.0,684.0,217.0,10.0,1392.0,9.0,5.0,55.6,4.0,44.4,773.0,4081.0,2186.0,31.0,42.0,4.0,11.0,8.0,908.0,34.0,Matches
Koffi Djidji,ci CIV,DF,30-127,20.4,1234.0,95.0,533.0,627.0,81.0,8.0,1234.0,3.0,3.0,100.0,0.0,0.0,671.0,2312.0,1004.0,6.0,7.0,0.0,5.0,6.0,816.0,12.0,Matches
Alessandro Buongiorno,it ITA,DF,23-304,20.4,1247.0,101.0,524.0,656.0,74.0,22.0,1247.0,10.0,4.0,40.0,5.0,50.0,633.0,2987.0,1572.0,8.0,13.0,1.0,27.0,6.0,748.0,15.0,Matches
Karol Linetty,pl POL,MF,28-063,18.8,1051.0,37.0,187.0,636.0,233.0,19.0,1051.0,18.0,6.0,33.3,12.0,66.7,550.0,2753.0,1480.0,24.0,22.0,3.0,24.0,11.0,683.0,29.0,Matches
Antonio Sanabria,py PAR,FW,27-033,18.0,623.0,10.0,38.0,294.0,299.0,78.0,622.0,24.0,12.0,50.0,8.0,33.3,321.0,1419.0,313.0,9.0,8.0,4.0,52.0,15.0,460.0,88.0,Matches
Aleksei Miranchuk,ru RUS,MF,27-171,16.9,757.0,7.0,48.0,388.0,325.0,35.0,757.0,36.0,12.0,33.3,18.0,50.0,497.0,2733.0,1287.0,36.0,38.0,6.0,38.0,21.0,602.0,80.0,Matches
Wilfried Singo,ci CIV,DF,22-102,16.0,980.0,35.0,218.0,460.0,312.0,42.0,980.0,36.0,20.0,55.6,8.0,22.2,496.0,2548.0,1181.0,36.0,20.0,6.0,22.0,15.0,594.0,67.0,Matches
Samuele Ricci,it ITA,MF,21-228,15.8,980.0,39.0,167.0,632.0,188.0,6.0,980.0,19.0,5.0,26.3,10.0,52.6,621.0,3332.0,1405.0,30.0,21.0,1.0,14.0,13.0,695.0,19.0,Matches
Nemanja Radonjić,rs SRB,"MF,FW",27-050,13.7,593.0,2.0,38.0,202.0,365.0,69.0,593.0,97.0,38.0,39.2,50.0,51.5,430.0,3775.0,1753.0,70.0,41.0,40.0,48.0,31.0,477.0,135.0,Matches
Saša Lukić,rs SRB,MF,26-236,13.3,850.0,29.0,129.0,537.0,190.0,23.0,849.0,7.0,1.0,14.3,4.0,57.1,448.0,2360.0,1057.0,26.0,18.0,4.0,17.0,8.0,556.0,33.0,Matches
Valentino Lazaro,at AUT,DF,27-013,12.2,810.0,30.0,156.0,334.0,330.0,22.0,810.0,28.0,14.0,50.0,9.0,32.1,394.0,1969.0,1063.0,38.0,22.0,8.0,15.0,4.0,470.0,71.0,Matches
Mërgim Vojvoda,xk KVX,DF,28-064,13.2,909.0,27.0,216.0,424.0,278.0,24.0,909.0,20.0,10.0,50.0,8.0,40.0,489.0,2502.0,1180.0,18.0,22.0,4.0,12.0,14.0,589.0,55.0,Matches
