Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Vanja Milinković-Savić,rs SRB,GK,26-042,27.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Nikola Vlašić,hr CRO,"MF,FW",25-181,21.4,4,43,16,37.2,2.01,0.75,0.09,0.25,17.7,1.0,0,0,3.8,3.8,0.09,0.2,0.2,Matches
Koffi Djidji,ci CIV,DF,30-124,20.3,1,8,4,50.0,0.39,0.2,0.13,0.25,12.2,0.0,0,0,0.9,0.9,0.12,0.1,0.1,Matches
Perr Schuurs,nl NED,DF,23-128,18.1,0,8,1,12.5,0.44,0.06,0.0,0.0,15.1,1.0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Ricardo Rodríguez,ch SUI,DF,30-221,19.7,0,6,2,33.3,0.3,0.1,0.0,0.0,25.2,1.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Alessandro Buongiorno,it ITA,DF,23-301,19.4,0,15,0,0.0,0.77,0.0,0.0,,9.3,0.0,0,0,1.5,1.5,0.1,-1.5,-1.5,Matches
Karol Linetty,pl POL,MF,28-060,17.8,1,14,4,28.6,0.79,0.22,0.07,0.25,20.0,0.0,0,0,0.9,0.9,0.06,0.1,0.1,Matches
Aleksei Miranchuk,ru RUS,MF,27-168,16.8,4,28,10,35.7,1.67,0.6,0.14,0.4,19.7,1.0,0,0,2.3,2.3,0.08,1.7,1.7,Matches
Antonio Sanabria,py PAR,FW,27-030,17.1,7,42,16,38.1,2.46,0.94,0.14,0.38,13.2,0.0,1,1,6.4,5.6,0.13,0.6,0.4,Matches
Wilfried Singo,ci CIV,DF,22-099,15.4,2,21,6,28.6,1.36,0.39,0.1,0.33,13.8,0.0,0,0,1.4,1.4,0.07,0.6,0.6,Matches
Samuele Ricci,it ITA,MF,21-225,14.8,1,13,5,38.5,0.88,0.34,0.08,0.2,22.4,0.0,0,0,0.8,0.8,0.06,0.2,0.2,Matches
Saša Lukić,rs SRB,MF,26-233,13.3,2,15,3,20.0,1.13,0.23,0.07,0.33,20.2,1.0,1,1,1.7,0.9,0.06,0.3,0.1,Matches
Valentino Lazaro,at AUT,DF,27-010,11.8,0,7,2,28.6,0.59,0.17,0.0,0.0,14.0,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Mërgim Vojvoda,xk KVX,DF,28-061,13.1,0,13,4,30.8,0.99,0.31,0.0,0.0,18.3,0.0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
Nemanja Radonjić,rs SRB,"MF,FW",27-047,12.8,2,37,12,32.4,2.89,0.94,0.05,0.17,18.4,0.0,0,0,3.0,3.0,0.08,-1.0,-1.0,Matches
Ola Aina,ng NGA,DF,26-177,9.0,1,7,3,42.9,0.78,0.33,0.14,0.33,16.1,0.0,0,0,0.7,0.7,0.11,0.3,0.3,Matches
Demba Seck,sn SEN,"FW,MF",22-052,4.3,0,8,2,25.0,1.86,0.46,0.0,0.0,17.1,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Yann Karamoh,fr FRA,"MF,FW",24-269,4.7,3,14,7,50.0,2.96,1.48,0.21,0.43,15.4,0.0,0,0,2.6,2.6,0.18,0.4,0.4,Matches
David Zima,cz CZE,DF,22-146,4.5,0,4,2,50.0,0.89,0.44,0.0,0.0,12.0,0.0,0,0,0.8,0.8,0.2,-0.8,-0.8,Matches
Ivan Ilić,rs SRB,MF,22-017,4.4,0,2,0,0.0,0.45,0.0,0.0,,30.1,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Pietro Pellegri,it ITA,FW,22-017,4.1,1,6,3,50.0,1.46,0.73,0.17,0.33,11.7,0.0,0,0,0.4,0.4,0.07,0.6,0.6,Matches
Michel Ndary Adopo,fr FRA,"MF,DF",22-258,2.8,0,2,0,0.0,0.71,0.0,0.0,,14.1,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Andrew Gravillon,gp GLP,DF,25-054,1.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Emirhan İlkhan,tr TUR,MF,18-306,1.0,0,2,0,0.0,2.07,0.0,0.0,,31.8,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Brian Bayeye,fr FRA,DF,22-277,0.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Gvidas Gineitis,lt LTU,MF,18-353,0.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Jacopo Segre,it ITA,DF,26-045,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Ronaldo Vieira,gw GNB,MF,24-258,0.2,0,0,0,,0.0,0.0,,,,,0,0,,,,,,Matches
Squad Total,,,26.0,27.0,29,315,102,32.4,11.67,3.78,0.09,0.26,16.8,5.0,2,2,29.3,27.7,0.09,-0.3,-0.7,
Opponent Total,,,27.1,27.0,33,318,98,30.8,11.78,3.63,0.09,0.3,18.6,11.0,4,5,31.6,27.7,0.09,1.4,1.3,
