Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Marco Silvestri,it ITA,GK,32-035,28.0,826,545,278,57,0,4,0,0,0,0,0,0,624,3,0,Matches
Walace,br BRA,MF,28-002,26.1,1285,1227,52,37,0,16,18,6,0,0,0,0,1057,6,28,Matches
Iyenoma Udogie,it ITA,DF,20-129,23.0,866,739,126,18,1,1,21,104,4,0,0,0,709,1,32,Matches
Roberto Pereyra,ar ARG,"DF,MF",32-089,22.5,945,863,80,27,1,7,57,46,4,2,1,0,761,2,32,Matches
Nehuén Pérez,ar ARG,DF,22-286,22.4,1292,1149,142,39,0,43,15,97,0,0,0,0,1099,1,11,Matches
Jaka Bijol,si SVN,DF,24-060,21.4,908,880,24,20,2,7,1,0,0,0,0,0,765,4,4,Matches
Rodrigo Becão,br BRA,DF,27-077,20.7,1018,849,168,49,1,6,13,119,0,0,0,0,783,1,26,Matches
Beto,gw GNB,FW,25-065,20.0,261,251,9,0,0,0,9,0,0,0,0,0,165,1,10,Matches
Isaac Success,ng NGA,FW,27-089,17.9,524,509,8,0,8,8,13,0,0,0,0,0,335,7,23,Matches
Sandi Lovrić,si SVN,MF,25-009,17.1,698,646,47,21,4,11,51,3,23,5,9,0,559,5,9,Matches
Gerard Deulofeu,es ESP,FW,29-024,13.5,588,475,110,27,1,0,59,14,43,20,14,0,443,3,14,Matches
Kingsley Ehizibue,nl NED,DF,27-316,12.7,453,388,65,1,0,2,30,63,1,0,0,0,327,0,26,Matches
Tolgay Arslan,de GER,MF,32-233,10.5,459,419,40,24,0,12,22,5,11,5,1,0,365,0,11,Matches
Jean-Victor Makengo,fr FRA,MF,24-298,8.9,316,315,1,1,0,0,6,0,0,0,0,0,264,0,9,Matches
Lazar Samardzic,rs SRB,MF,21-041,12.5,556,473,80,24,2,11,69,2,53,27,15,0,439,3,9,Matches
Enzo Ebosse,cm CMR,DF,24-026,10.3,557,479,77,17,0,11,15,59,1,0,0,0,453,1,3,Matches
Adam Masina,ma MAR,DF,29-094,5.5,261,231,28,8,0,5,8,20,0,0,0,0,200,2,1,Matches
Bram Nuytinck,nl NED,DF,32-337,4.3,139,124,14,4,0,3,0,9,0,0,0,0,113,1,2,Matches
Florian Thauvin,fr FRA,"FW,MF",30-070,3.0,99,78,20,3,1,0,25,1,11,6,2,0,59,1,3,Matches
Festy Ebosele,ie IRL,DF,20-247,2.2,60,56,4,0,0,0,12,4,0,0,0,0,40,0,2,Matches
Marvin Zeegelaar,nl NED,DF,32-237,1.0,63,59,4,1,0,1,0,3,0,0,0,0,56,0,0,Matches
Brandon Soppy,fr FRA,DF,21-044,1.0,32,29,2,0,0,0,1,2,0,0,0,0,22,1,0,Matches
Ilija Nestorovski,mk MKD,"FW,MF",33-025,1.8,50,49,1,0,4,0,0,0,0,0,0,0,33,0,2,Matches
Mato Jajalo,ba BIH,MF,34-316,0.7,29,29,0,0,0,2,0,0,0,0,0,0,23,0,2,Matches
Simone Pafundi,it ITA,MF,17-051,0.3,25,23,2,0,1,0,0,2,0,0,0,0,22,0,0,Matches
James Abankwah,ie IRL,DF,19-080,0.1,5,2,3,2,0,0,0,1,0,0,0,0,5,0,0,Matches
Vivaldo Semedo,pt POR,FW,18-068,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.8,28.0,12315,10887,1385,380,26,150,445,560,151,65,42,0,9721,43,259,
Opponent Total,,,27.3,28.0,13510,12065,1400,362,37,117,523,593,150,55,68,0,10774,45,276,
