Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Marco Silvestri,it ITA,GK,32-032,27,2430.0,90.0,100.0,27.0,27,90.0,27,0,,0,1.41,37.0,31.0,6.0,0.22,,35.7,36.7,-1.0,-0.04,,Matches
Walace,br BRA,MF,27-364,27,2349.0,87.0,96.7,26.1,27,87.0,20,0,,0,1.41,32.0,31.0,1.0,0.04,-5.52,33.2,35.8,-2.7,-0.1,-2.0,Matches
Nehuén Pérez,ar ARG,DF,22-283,24,2018.0,84.0,83.0,22.4,24,84.0,17,0,,0,1.33,31.0,25.0,6.0,0.27,0.27,29.4,29.6,-0.2,-0.01,0.15,Matches
Iyenoma Udogie,it ITA,DF,20-126,23,2001.0,87.0,82.3,22.2,23,87.0,16,0,,0,1.57,29.0,21.0,8.0,0.36,0.78,31.4,28.6,2.8,0.12,0.91,Matches
Roberto Pereyra,ar ARG,"DF,MF",32-086,24,1933.0,81.0,79.5,21.5,23,83.0,12,1,32.0,2,1.42,33.0,27.0,6.0,0.28,0.28,28.3,29.0,-0.7,-0.03,0.03,Matches
Jaka Bijol,si SVN,DF,24-057,22,1833.0,83.0,75.4,20.4,22,83.0,19,0,,3,1.36,24.0,22.0,2.0,0.1,-0.5,25.4,28.1,-2.7,-0.14,-0.41,Matches
Rodrigo Becão,br BRA,DF,27-074,21,1862.0,89.0,76.6,20.7,21,89.0,20,0,,0,1.62,30.0,22.0,8.0,0.39,0.7,28.5,28.0,0.5,0.02,0.25,Matches
Beto,gw GNB,FW,25-062,27,1709.0,63.0,70.3,19.0,19,79.0,9,8,26.0,0,1.41,23.0,23.0,0.0,0.0,-0.75,25.7,26.4,-0.7,-0.04,-0.01,Matches
Isaac Success,ng NGA,FW,27-086,27,1614.0,60.0,66.4,17.9,18,75.0,4,9,30.0,0,1.41,24.0,18.0,6.0,0.33,0.33,23.7,24.7,-1.0,-0.06,-0.06,Matches
Sandi Lovrić,si SVN,MF,25-006,26,1458.0,56.0,60.0,16.2,17,72.0,2,9,27.0,0,1.42,20.0,19.0,1.0,0.06,-0.4,20.7,22.5,-1.8,-0.11,-0.19,Matches
Gerard Deulofeu,es ESP,FW,29-021,16,1211.0,76.0,49.8,13.5,15,80.0,8,1,13.0,0,1.69,19.0,15.0,4.0,0.3,0.15,17.5,16.2,1.3,0.09,0.26,Matches
Tolgay Arslan,de GER,MF,32-230,26,928.0,36.0,38.2,10.3,11,59.0,0,15,19.0,0,1.46,11.0,12.0,-1.0,-0.1,-0.52,13.2,13.1,0.1,0.01,0.07,Matches
Jean-Victor Makengo,fr FRA,MF,24-295,16,805.0,50.0,33.1,8.9,11,65.0,0,5,19.0,1,1.63,13.0,11.0,2.0,0.22,0.0,11.3,12.9,-1.6,-0.18,-0.21,Matches
Kingsley Ehizibue,nl NED,DF,27-313,21,1055.0,50.0,43.4,11.7,10,85.0,5,11,19.0,2,1.43,19.0,15.0,4.0,0.34,0.21,17.1,16.9,0.2,0.01,0.09,Matches
Lazar Samardzic,rs SRB,MF,21-038,26,1049.0,40.0,43.2,11.7,9,72.0,1,17,23.0,1,1.42,22.0,12.0,10.0,0.86,1.12,18.4,14.0,4.5,0.38,0.74,Matches
Enzo Ebosse,cm CMR,DF,24-023,20,930.0,47.0,38.3,10.3,9,77.0,7,11,22.0,3,1.15,15.0,14.0,1.0,0.1,-0.2,13.0,13.5,-0.4,-0.04,-0.01,Matches
Adam Masina,ma MAR,DF,29-091,7,480.0,69.0,19.8,5.3,5,79.0,3,2,43.0,3,1.29,8.0,10.0,-2.0,-0.37,-0.74,7.5,10.9,-3.4,-0.64,-0.75,Matches
Bram Nuytinck,nl NED,DF,32-334,6,385.0,64.0,15.8,4.3,3,86.0,2,3,42.0,8,1.5,5.0,6.0,-1.0,-0.23,-0.54,4.0,6.6,-2.6,-0.61,-0.69,Matches
Florian Thauvin,fr FRA,FW,30-067,7,197.0,28.0,8.1,2.2,1,60.0,0,6,23.0,0,1.29,1.0,2.0,-1.0,-0.46,-0.74,2.4,3.5,-1.1,-0.52,-0.52,Matches
Festy Ebosele,ie IRL,"DF,FW",20-244,9,154.0,17.0,6.3,1.7,1,77.0,0,8,10.0,18,1.11,0.0,1.0,-1.0,-0.58,-0.86,1.6,2.6,-0.9,-0.55,-0.55,Matches
Brandon Soppy,fr FRA,DF,21-041,1,90.0,90.0,3.7,1.0,1,90.0,1,0,,0,0.0,2.0,4.0,-2.0,-2.0,-2.31,0.5,2.3,-1.8,-1.8,-1.83,Matches
Ilija Nestorovski,mk MKD,"FW,MF",33-022,11,116.0,11.0,4.8,1.3,0,,0,11,11.0,11,1.36,7.0,0.0,7.0,5.43,5.47,3.2,1.1,2.1,1.65,1.77,Matches
Mato Jajalo,ba BIH,MF,34-313,3,63.0,21.0,2.6,0.7,0,,0,3,21.0,12,0.67,2.0,0.0,2.0,2.86,2.71,0.8,0.2,0.6,0.82,0.88,Matches
Simone Pafundi,it ITA,MF,17-048,2,11.0,6.0,0.5,0.1,0,,0,2,6.0,15,0.5,0.0,0.0,0.0,0.0,-0.22,0.2,0.3,-0.1,-0.9,-0.87,Matches
Marvin Zeegelaar,nl NED,DF,32-234,1,2.0,2.0,0.1,0.0,0,,0,1,2.0,1,3.0,0.0,0.0,0.0,0.0,-0.22,0.2,0.0,0.2,8.07,8.12,Matches
Vivaldo Semedo,pt POR,FW,18-065,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,5,1.0,0.0,0.0,0.0,0.0,-0.22,0.0,0.0,0.0,1.63,1.67,Matches
James Abankwah,ie IRL,DF,19-077,0,,,,,0,,0,0,,25,,,,,,,,,,,,Matches
Filip Benković,hr CRO,DF,25-264,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Leonardo Buta,pt POR,DF,20-302,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
Axel Guessand,fr FRA,DF,18-148,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
Daniele Padelli,it ITA,GK,37-160,0,,,,,0,,0,0,,27,,,,,,,,,,,,Matches
Martin Palumbo,no NOR,MF,21-029,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Edoardo Piana,it ITA,GK,19-186,0,,,,,0,,0,0,,27,,,,,,,,,,,,Matches
Squad Total,,,26.8,27,2430.0,90.0,100.0,27.0,297,81.0,173,124,21.0,192,1.41,37.0,31.0,6.0,0.22,,35.7,36.7,-1.0,-0.04,,
Opponent Total,,,27.3,27,2430.0,90.0,100.0,27.0,297,81.0,173,124,21.0,215,1.19,31.0,37.0,-6.0,-0.22,,36.7,35.7,1.0,0.04,,
