,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
,Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
0,Gabriel Dos Santos,br BRA,DF,25-051,20,1800.0,90.0,100.0,20.0,20,90.0,20,0,,0,2.5,45.0,17.0,28.0,1.4,,38.2,18.6,19.6,0.98,,Matches
1,Aaron Ramsdale,eng ENG,GK,24-270,20,1800.0,90.0,100.0,20.0,20,90.0,20,0,,0,2.5,45.0,17.0,28.0,1.4,,38.2,18.6,19.6,0.98,,Matches
2,William Saliba,fr FRA,DF,21-321,20,1785.0,89.0,99.2,19.8,20,89.0,19,0,,0,2.5,44.0,17.0,27.0,1.36,-4.64,37.9,18.6,19.3,0.97,-0.71,Matches
3,Bukayo Saka,eng ENG,FW,21-156,20,1711.0,86.0,95.1,19.0,20,86.0,12,0,,0,2.5,41.0,17.0,24.0,1.26,-2.78,36.0,17.8,18.1,0.95,-0.48,Matches
4,Granit Xhaka,ch SUI,MF,30-134,20,1706.0,85.0,94.8,19.0,20,85.0,17,0,,0,2.5,42.0,17.0,25.0,1.32,-1.55,35.8,17.9,17.9,0.94,-0.68,Matches
5,Martinelli,br BRA,FW,21-235,20,1665.0,83.0,92.5,18.5,20,83.0,11,0,,0,2.5,43.0,16.0,27.0,1.46,0.79,35.9,17.6,18.4,0.99,0.18,Matches
6,Ben White,eng ENG,DF,25-123,20,1593.0,80.0,88.5,17.7,20,80.0,8,0,,0,2.5,40.0,13.0,27.0,1.53,1.09,33.7,16.7,17.0,0.96,-0.14,Matches
7,Martin Ødegaard,no NOR,MF,24-053,19,1594.0,84.0,88.6,17.7,19,84.0,5,0,,0,2.47,42.0,16.0,26.0,1.47,0.59,35.8,17.2,18.6,1.05,0.62,Matches
8,Thomas Partey,gh GHA,MF,29-240,17,1449.0,85.0,80.5,16.1,17,85.0,12,0,,0,2.59,40.0,10.0,30.0,1.86,2.38,31.3,15.0,16.2,1.01,0.16,Matches
9,Gabriel Jesus,br BRA,FW,25-311,14,1219.0,87.0,67.7,13.5,14,87.0,7,0,,0,2.64,32.0,11.0,21.0,1.55,0.47,25.3,11.4,14.0,1.03,0.17,Matches
10,Oleksandr Zinchenko,ua UKR,DF,26-055,13,991.0,76.0,55.1,11.0,12,81.0,4,1,18.0,0,2.38,23.0,8.0,15.0,1.36,-0.08,22.0,10.4,11.6,1.05,0.16,Matches
11,Eddie Nketiah,eng ENG,FW,23-254,18,691.0,38.0,38.4,7.7,6,90.0,5,12,13.0,2,2.44,16.0,7.0,9.0,1.17,-0.37,15.3,8.1,7.3,0.95,-0.04,Matches
12,Takehiro Tomiyasu,jp JPN,DF,24-095,16,512.0,32.0,28.4,5.7,4,83.0,3,12,15.0,0,2.38,14.0,7.0,7.0,1.23,-0.24,10.3,6.0,4.4,0.77,-0.29,Matches
13,Kieran Tierney,sct SCO,DF,25-248,15,469.0,31.0,26.1,5.2,4,78.0,2,11,14.0,5,2.87,11.0,5.0,6.0,1.15,-0.34,8.6,4.2,4.4,0.85,-0.18,Matches
14,Albert Sambi Lokonga,be BEL,MF,23-109,6,198.0,33.0,11.0,2.2,2,82.0,1,4,9.0,12,2.5,3.0,3.0,0.0,0.0,-1.57,4.0,1.7,2.2,1.01,0.04,Matches
15,Fabio Vieira,pt POR,"MF,FW",22-254,11,264.0,24.0,14.7,2.9,1,89.0,0,10,18.0,7,2.27,6.0,1.0,5.0,1.7,0.36,4.7,1.9,2.8,0.94,-0.04,Matches
16,Mohamed Elneny,eg EGY,MF,30-212,5,113.0,23.0,6.3,1.3,1,90.0,1,4,6.0,4,3.0,2.0,2.0,0.0,0.0,-1.49,2.6,1.3,1.4,1.09,0.12,Matches
17,Reiss Nelson,eng ENG,FW,23-060,2,65.0,33.0,3.6,0.7,0,,0,2,33.0,6,3.0,4.0,0.0,4.0,5.54,4.29,1.6,0.4,1.2,1.65,0.7,Matches
18,Emile Smith Rowe,eng ENG,"MF,FW",22-195,5,52.0,10.0,2.9,0.6,0,,0,5,10.0,2,2.4,0.0,1.0,-1.0,-1.73,-3.22,0.8,0.6,0.2,0.26,-0.74,Matches
19,Leandro Trossard,be BEL,FW,28-066,2,41.0,21.0,2.3,0.5,0,,0,2,21.0,0,1.5,1.0,1.0,0.0,0.0,-1.43,1.4,0.4,1.0,2.17,1.22,Matches
20,Jorginho,it ITA,MF,31-050,1,32.0,32.0,1.8,0.4,0,,0,1,32.0,0,0.0,0.0,1.0,-1.0,-2.81,-4.29,0.3,0.3,-0.1,-0.21,-1.21,Matches
21,Cédric Soares,pt POR,DF,31-161,2,29.0,15.0,1.6,0.3,0,,0,2,15.0,10,3.0,1.0,0.0,1.0,3.1,1.73,0.5,0.0,0.4,1.27,0.3,Matches
22,Rob Holding,eng ENG,DF,27-141,6,19.0,3.0,1.1,0.2,0,,0,6,3.0,14,3.0,0.0,0.0,0.0,0.0,-1.41,0.1,0.3,-0.1,-0.6,-1.59,Matches
23,Marquinhos,br BRA,MF,19-307,1,1.0,1.0,0.1,0.0,0,,0,1,1.0,14,3.0,0.0,0.0,0.0,0.0,-1.4,0.0,0.0,0.0,0.0,-0.98,Matches
24,Ethan Nwaneri,eng ENG,FW,15-324,1,1.0,1.0,0.1,0.0,0,,0,1,1.0,0,3.0,0.0,0.0,0.0,0.0,-1.4,0.0,0.0,0.0,0.0,-0.98,Matches
25,Nathan Butler-Oyedeji,eng ENG,FW,20-035,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
26,Amario Duberry,eng ENG,FW,17-255,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
27,Karl Jakob Hein,ee EST,GK,20-301,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
28,Jakub Kiwior,pl POL,"DF,MF",22-358,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
29,Nicolas Pépé,ci CIV,"FW,MF",27-255,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
30,Matthew Smith,eng ENG,MF,22-126,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
31,Lino Sousa,eng ENG,DF,18-020,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
32,Matt Turner,us USA,GK,28-229,0,,,,,0,,0,0,,19,,,,,,,,,,,,Matches
33,Squad Total,,,24.9,20,1800.0,90.0,100.0,20.0,220,86.0,147,74,13.0,106,2.5,45.0,17.0,28.0,1.4,,38.2,18.6,19.6,0.98,,
34,Opponent Total,,,27.4,20,1800.0,90.0,100.0,20.0,220,86.0,147,74,13.0,108,0.4,17.0,45.0,-28.0,-1.4,,18.6,38.2,-19.6,-0.98,,
