Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Robert Sánchez,es ESP,GK,25-083,20.0,734,618,730,4,0,0,734,0,0,,0,,462,2166,1345,0,0,0,0,0,418,0,Matches
Lewis Dunk,eng ENG,DF,31-080,20.0,1739,234,911,792,40,17,1739,1,1,100.0,0,0.0,1150,5749,2987,11,9,0,7,3,1294,0,Matches
Pascal Groß,de GER,"MF,DF",31-239,19.2,1291,31,214,562,521,54,1291,15,5,33.3,8,53.3,695,3117,1405,27,21,1,25,11,867,118,Matches
Solly March,eng ENG,"FW,DF",28-204,19.1,1015,35,133,316,575,79,1015,58,26,44.8,19,32.8,608,3859,1716,59,30,27,37,25,685,213,Matches
Moisés Caicedo,ec ECU,MF,21-099,18.2,1284,51,297,724,282,16,1284,18,7,38.9,11,61.1,745,3193,1441,15,16,4,21,15,928,30,Matches
Alexis Mac Allister,ar ARG,MF,24-047,16.2,1116,32,237,625,263,9,1113,24,15,62.5,5,20.8,629,2692,1290,20,21,1,14,16,778,17,Matches
Leandro Trossard,be BEL,"FW,MF",28-067,14.6,698,3,63,278,368,90,698,40,14,35.0,19,47.5,429,2443,1192,40,27,24,38,26,531,118,Matches
Joël Veltman,nl NED,DF,31-025,14.3,1072,67,375,561,142,9,1072,10,3,30.0,4,40.0,587,2926,1642,29,18,1,10,5,656,19,Matches
Pervis Estupiñán,ec ECU,DF,25-019,13.0,986,42,260,456,276,25,986,13,1,7.7,10,76.9,577,2682,1519,42,24,7,14,14,644,86,Matches
Adam Webster,eng ENG,DF,28-036,13.0,1013,92,454,487,77,15,1013,6,1,16.7,4,66.7,623,2985,1729,12,12,0,7,2,686,5,Matches
Danny Welbeck,eng ENG,FW,32-075,12.7,374,12,22,126,230,66,374,22,11,50.0,10,45.5,223,971,413,15,7,5,44,11,289,76,Matches
Adam Lallana,eng ENG,"MF,FW",34-275,8.0,373,6,43,180,151,33,373,6,3,50.0,3,50.0,206,839,420,10,4,4,15,11,295,43,Matches
Kaoru Mitoma,jp JPN,"FW,DF",25-265,9.3,518,9,70,178,276,57,518,42,22,52.4,14,33.3,346,2587,1552,54,28,27,22,12,395,98,Matches
Levi Colwill,eng ENG,DF,19-348,5.1,453,49,240,200,15,1,453,0,0,,0,,297,1667,1040,6,2,0,1,1,325,1,Matches
Tariq Lamptey,gh GHA,DF,22-132,4.4,318,14,67,112,142,15,318,26,7,26.9,13,50.0,195,1199,651,24,11,5,14,1,218,50,Matches
Enock Mwepu,zm ZAM,"FW,MF",25-039,2.4,116,1,12,54,53,7,116,5,1,20.0,4,80.0,58,318,141,5,2,1,10,5,80,17,Matches
Evan Ferguson,ie IRL,FW,18-113,2.2,67,0,2,36,30,11,67,3,1,33.3,2,66.7,29,129,65,1,1,0,2,5,45,10,Matches
Billy Gilmour,sct SCO,MF,21-243,1.8,169,6,40,101,29,3,169,1,0,0.0,1,100.0,108,530,280,3,4,1,3,4,136,3,Matches
Deniz Undav,de GER,"FW,MF",26-205,1.9,66,1,5,15,46,17,66,1,0,0.0,1,100.0,29,90,43,2,1,2,2,3,47,15,Matches
Jeremy Sarmiento,ec ECU,MF,20-238,1.8,86,0,12,35,39,10,86,10,6,60.0,3,30.0,60,312,102,5,3,1,4,7,69,18,Matches
Jan Paul van Hecke,nl NED,DF,22-246,0.9,108,2,21,79,8,2,108,0,0,,0,,93,496,250,3,4,0,1,0,91,0,Matches
Julio César Enciso,py PAR,"FW,MF",19-017,1.5,52,0,1,21,31,8,52,5,2,40.0,2,40.0,36,274,199,6,6,4,6,5,39,8,Matches
Facundo Buonanotte,ar ARG,"MF,FW",18-048,0.2,8,0,1,2,6,0,8,0,0,,0,,7,35,23,1,1,0,0,1,8,0,Matches
Andrew Moran,ie IRL,FW,19-117,0.1,6,0,0,5,1,0,6,0,0,,0,,3,2,1,0,0,0,2,0,3,1,Matches
Squad Total,,,27.4,20.0,13662,1305,4210,5949,3601,544,13659,306,126,41.2,133,43.5,8195,41261,21446,390,252,115,299,183,9527,946,
Opponent Total,,,27.2,20.0,10712,1416,4140,4308,2355,379,10706,305,122,40.0,139,45.6,5701,30478,14828,279,186,93,296,191,6538,591,
