Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Vicente Guaita,es ESP,GK,36-030,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,1.14,19.0,29.0,-10.0,-0.48,,19.6,29.6,-10.0,-0.48,,Matches
Marc Guéhi,eng ENG,DF,22-211,20,1800.0,90.0,95.2,20.0,20,90.0,20,0,,0,1.2,19.0,26.0,-7.0,-0.35,2.65,19.2,27.1,-7.9,-0.39,1.75,Matches
Wilfried Zaha,ci CIV,"FW,MF",30-091,19,1661.0,87.0,87.9,18.5,19,87.0,16,0,,0,1.26,16.0,23.0,-7.0,-0.38,0.8,17.9,24.3,-6.3,-0.34,1.12,Matches
Cheick Doucouré,ml MLI,MF,23-032,19,1557.0,82.0,82.4,17.3,19,82.0,9,0,,0,1.11,15.0,24.0,-9.0,-0.52,-0.25,15.7,24.6,-9.0,-0.52,-0.23,Matches
Eberechi Eze,eng ENG,"MF,FW",24-225,21,1529.0,73.0,80.9,17.0,19,78.0,5,2,27.0,0,1.14,19.0,22.0,-3.0,-0.18,1.57,15.9,20.2,-4.3,-0.25,1.18,Matches
Jeffrey Schlupp,gh GHA,MF,30-048,21,1560.0,74.0,82.5,17.3,18,83.0,9,3,22.0,0,1.14,18.0,23.0,-5.0,-0.29,1.08,16.8,23.4,-6.6,-0.38,0.55,Matches
Joachim Andersen,dk DEN,DF,26-254,17,1477.0,87.0,78.1,16.4,17,87.0,16,0,,0,1.29,16.0,23.0,-7.0,-0.43,0.23,16.7,22.0,-5.3,-0.32,0.71,Matches
Jordan Ayew,gh GHA,"FW,MF",31-151,21,1407.0,67.0,74.4,15.6,17,78.0,8,4,19.0,0,1.14,12.0,25.0,-13.0,-0.83,-1.39,12.9,23.7,-10.8,-0.69,-0.83,Matches
Tyrick Mitchell,eng ENG,DF,23-161,19,1370.0,72.0,72.5,15.2,17,78.0,11,2,19.0,0,1.11,15.0,19.0,-4.0,-0.26,0.78,14.0,20.3,-6.3,-0.41,0.23,Matches
Joel Ward,eng ENG,DF,33-103,16,1295.0,81.0,68.5,14.4,14,89.0,13,2,28.0,4,1.25,15.0,20.0,-5.0,-0.35,0.41,13.7,20.5,-6.8,-0.47,0.02,Matches
Michael Olise,fr FRA,"MF,FW",21-059,20,1292.0,65.0,68.4,14.4,14,84.0,6,6,20.0,0,1.2,14.0,19.0,-5.0,-0.35,0.4,13.2,19.2,-5.9,-0.41,0.21,Matches
Nathaniel Clyne,eng ENG,DF,31-310,15,1116.0,74.0,59.0,12.4,13,82.0,9,2,24.0,2,0.73,11.0,19.0,-8.0,-0.65,-0.41,11.3,18.6,-7.3,-0.59,-0.26,Matches
Odsonne Édouard,fr FRA,"FW,MF",25-024,19,1073.0,56.0,56.8,11.9,12,76.0,2,7,22.0,1,1.11,12.0,14.0,-2.0,-0.17,0.71,12.0,15.8,-3.8,-0.32,0.37,Matches
Jean-Philippe Mateta,fr FRA,FW,25-226,17,441.0,26.0,23.3,4.9,3,57.0,0,14,19.0,3,1.0,1.0,8.0,-7.0,-1.43,-1.24,4.8,8.8,-4.0,-0.81,-0.44,Matches
Chris Richards,us USA,DF,22-318,7,348.0,50.0,18.4,3.9,3,90.0,3,4,20.0,6,0.86,2.0,8.0,-6.0,-1.55,-1.32,2.7,9.0,-6.3,-1.63,-1.42,Matches
Will Hughes,eng ENG,MF,27-298,15,321.0,21.0,17.0,3.6,2,77.0,0,13,13.0,3,1.0,0.0,6.0,-6.0,-1.68,-1.45,3.2,6.9,-3.8,-1.06,-0.7,Matches
Luka Milivojević,rs SRB,MF,31-308,11,293.0,27.0,15.5,3.3,2,76.0,1,9,16.0,9,1.45,4.0,3.0,1.0,0.31,0.93,3.2,4.9,-1.7,-0.52,-0.05,Matches
James Tomkins,eng ENG,DF,33-317,3,157.0,52.0,8.3,1.7,1,56.0,0,2,51.0,10,0.0,0.0,3.0,-3.0,-1.72,-1.36,0.7,2.4,-1.7,-1.0,-0.57,Matches
Jaïro Riedewald,nl NED,"DF,FW",26-153,4,49.0,12.0,2.6,0.5,0,,0,4,12.0,12,1.75,0.0,0.0,0.0,0.0,0.49,0.3,0.9,-0.6,-1.12,-0.66,Matches
Malcolm Ebiowei,eng ENG,"MF,FW",19-158,3,34.0,11.0,1.8,0.4,0,,0,3,11.0,14,0.0,0.0,1.0,-1.0,-2.65,-2.21,0.3,0.2,0.1,0.39,0.88,Matches
