Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Danny Ward,wls WAL,GK,29-232,21.0,2,0.1,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Timothy Castagne,be BEL,DF,27-066,19.2,27,1.4,25,1,0,0,0,1,2,0.1,2,0,0,0,0,0,Matches
Youri Tielemans,be BEL,MF,25-278,18.3,60,3.28,48,3,1,6,1,1,3,0.16,2,0,0,1,0,0,Matches
Harvey Barnes,eng ENG,"MF,FW",25-062,17.8,34,1.91,24,0,0,5,4,1,10,0.56,6,0,0,2,1,1,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,24-156,16.1,51,3.17,40,0,5,1,4,1,7,0.44,4,0,1,0,1,1,Matches
Daniel Amartey,gh GHA,DF,28-050,15.2,14,0.92,14,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
Wout Faes,be BEL,DF,24-312,15.0,6,0.4,5,0,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches
James Justin,eng ENG,DF,24-351,13.9,21,1.51,17,0,2,0,2,0,2,0.14,0,0,1,0,1,0,Matches
James Maddison,eng ENG,"MF,FW",26-078,13.2,60,4.55,38,10,3,3,4,2,6,0.46,5,1,0,0,0,0,Matches
Boubakary Soumaré,fr FRA,MF,23-347,9.3,5,0.54,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jamie Vardy,eng ENG,FW,36-029,12.9,19,1.47,15,0,2,2,0,0,5,0.39,5,0,0,0,0,0,Matches
Wilfred Ndidi,ng NGA,"MF,DF",26-055,9.7,7,0.72,7,0,0,0,0,0,1,0.1,1,0,0,0,0,0,Matches
Jonny Evans,nir NIR,DF,35-037,9.0,4,0.44,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Patson Daka,zm ZAM,FW,24-123,7.8,17,2.17,13,0,0,2,2,0,5,0.64,3,0,0,2,0,0,Matches
Luke Thomas,eng ENG,DF,21-244,7.7,13,1.69,9,2,0,1,0,1,2,0.26,1,0,0,1,0,0,Matches
Dennis Praet,be BEL,MF,28-271,4.0,4,0.99,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ayoze Pérez,es ESP,"MF,FW",29-195,4.2,14,3.29,11,2,0,0,1,0,2,0.47,1,0,0,0,1,0,Matches
Kelechi Iheanacho,ng NGA,"FW,MF",26-129,4.1,17,4.17,13,1,1,2,0,0,3,0.74,3,0,0,0,0,0,Matches
Nampalys Mendy,sn SEN,MF,30-231,3.9,3,0.77,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Wesley Fofana,fr FRA,DF,22-054,2.0,2,1.0,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Marc Albrighton,eng ENG,"FW,MF",33-083,2.6,8,3.04,6,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Harry Souttar,au AUS,DF,24-110,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Tetê,br BRA,FW,22-359,0.9,3,3.29,1,0,2,0,0,0,1,1.1,0,0,1,0,0,0,Matches
Victor Bernth Kristiansen,dk DEN,DF,20-055,0.9,2,2.25,2,0,0,0,0,0,2,2.25,2,0,0,0,0,0,Matches
Çağlar Söyüncü,tr TUR,DF,26-262,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lewis Brunt,eng ENG,DF,22-095,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.1,21.0,393,18.71,305,22,17,23,18,8,53,2.52,37,1,3,6,4,2,
Opponent Total,,,27.2,21.0,503,23.95,364,48,27,28,26,10,56,2.67,39,3,5,3,4,2,
