Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Danny Ward,wls WAL,GK,29-232,21.0,820,665,816,5,0,0,820,0,0,,0,,452,2388,1441,0,0,0,0,0,385,0,Matches
Timothy Castagne,be BEL,DF,27-066,19.2,1265,71,441,517,310,32,1265,13,4,30.8,7,53.8,583,2294,1152,24,14,2,18,12,765,98,Matches
Youri Tielemans,be BEL,MF,25-278,18.3,1385,36,314,795,291,10,1383,19,12,63.2,4,21.1,687,2890,1537,25,18,1,27,10,968,46,Matches
Harvey Barnes,eng ENG,"MF,FW",25-062,17.8,679,7,72,250,366,77,679,53,11,20.8,34,64.2,435,2973,1537,54,43,28,54,28,548,161,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,24-156,16.1,945,23,157,500,299,33,945,43,20,46.5,17,39.5,542,3069,1558,46,24,11,49,16,673,62,Matches
Daniel Amartey,gh GHA,DF,28-050,15.2,1091,159,564,489,40,5,1091,5,2,40.0,2,40.0,664,3210,1945,18,10,0,7,4,792,5,Matches
Wout Faes,be BEL,DF,24-312,15.0,1210,189,673,524,18,7,1210,5,3,60.0,2,40.0,696,3487,1897,4,1,0,9,3,849,1,Matches
James Justin,eng ENG,DF,24-351,13.9,980,48,296,475,216,8,980,19,4,21.1,11,57.9,417,1831,834,20,19,4,15,6,574,50,Matches
James Maddison,eng ENG,"MF,FW",26-078,13.2,743,8,75,353,317,53,743,29,9,31.0,11,37.9,496,2669,1200,34,20,14,23,14,575,76,Matches
Boubakary Soumaré,fr FRA,MF,23-347,9.3,596,24,188,376,40,0,596,6,4,66.7,2,33.3,310,1417,599,10,4,0,10,11,402,11,Matches
Jamie Vardy,eng ENG,FW,36-029,12.9,265,22,35,101,131,48,265,12,4,33.3,7,58.3,119,632,230,12,6,10,19,12,154,69,Matches
Wilfred Ndidi,ng NGA,"MF,DF",26-055,9.7,680,46,227,406,57,4,680,2,2,100.0,0,0.0,366,1537,729,9,11,0,10,6,448,2,Matches
Jonny Evans,nir NIR,DF,35-037,9.0,753,95,367,379,8,2,753,0,0,,0,,455,1875,1055,6,4,0,2,0,551,0,Matches
Patson Daka,zm ZAM,FW,24-123,7.8,244,11,23,93,130,36,244,9,4,44.4,4,44.4,113,649,291,11,6,6,30,8,162,48,Matches
Luke Thomas,eng ENG,DF,21-244,7.7,542,24,216,260,70,3,542,8,4,50.0,3,37.5,231,935,405,5,4,1,5,5,282,7,Matches
Dennis Praet,be BEL,MF,28-271,4.0,169,6,33,77,61,4,169,7,4,57.1,3,42.9,88,457,164,10,5,1,7,8,108,24,Matches
Ayoze Pérez,es ESP,"MF,FW",29-195,4.2,244,3,38,104,108,17,244,21,6,28.6,12,57.1,132,696,356,17,6,6,12,11,155,43,Matches
Kelechi Iheanacho,ng NGA,"FW,MF",26-129,4.1,160,3,10,60,94,21,160,11,3,27.3,8,72.7,103,547,224,11,4,8,12,12,139,38,Matches
Nampalys Mendy,sn SEN,MF,30-231,3.9,213,6,61,138,16,0,213,2,2,100.0,0,0.0,116,627,203,1,2,0,2,0,151,3,Matches
Wesley Fofana,fr FRA,DF,22-054,2.0,169,11,68,97,7,3,169,3,2,66.7,0,0.0,116,647,365,3,5,2,3,0,115,1,Matches
Marc Albrighton,eng ENG,"FW,MF",33-083,2.6,174,6,33,62,80,5,174,1,1,100.0,0,0.0,83,397,149,5,5,0,4,2,116,18,Matches
Harry Souttar,au AUS,DF,24-110,1.0,45,11,33,11,1,1,45,0,0,,0,,22,88,49,0,0,0,0,0,28,1,Matches
Tetê,br BRA,FW,22-359,0.9,40,0,8,21,14,5,40,8,6,75.0,1,12.5,26,286,163,5,1,3,1,1,28,7,Matches
Victor Bernth Kristiansen,dk DEN,DF,20-055,0.9,53,4,27,17,9,0,53,4,2,50.0,0,0.0,23,150,96,3,2,0,1,0,21,2,Matches
Çağlar Söyüncü,tr TUR,DF,26-262,0.9,57,11,37,20,0,0,57,0,0,,0,,34,162,104,1,0,0,0,0,41,0,Matches
Lewis Brunt,eng ENG,DF,22-095,0.3,23,1,8,12,3,0,23,0,0,,0,,9,30,4,0,0,0,0,0,13,2,Matches
Squad Total,,,27.1,21.0,13545,1490,4820,6142,2686,374,13543,280,109,38.9,128,45.7,7318,35943,18287,334,214,97,320,169,9043,775,
Opponent Total,,,27.2,21.0,13277,1213,4145,5948,3305,471,13275,393,167,42.5,169,43.0,7327,39880,20500,375,293,87,282,205,8836,809,
