Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Alisson,br BRA,GK,30-130,20.0,2,0.1,2,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Mohamed Salah,eg EGY,FW,30-239,19.7,74,3.75,56,0,5,8,3,2,8,0.41,4,0,0,2,1,1,Matches
Virgil van Dijk,nl NED,DF,31-216,16.5,10,0.61,9,0,0,1,0,0,1,0.06,1,0,0,0,0,0,Matches
Trent Alexander-Arnold,eng ENG,DF,24-125,16.0,64,4.0,40,19,1,4,0,0,5,0.31,4,1,0,0,0,0,Matches
Andrew Robertson,sct SCO,DF,28-335,14.7,58,3.95,38,14,1,4,0,1,7,0.48,5,2,0,0,0,0,Matches
Fabinho,br BRA,MF,29-109,13.9,29,2.08,27,0,0,1,1,0,2,0.14,2,0,0,0,0,0,Matches
Thiago Alcántara,es ESP,MF,31-304,12.8,39,3.04,31,0,3,1,1,3,2,0.16,2,0,0,0,0,0,Matches
Harvey Elliott,eng ENG,"MF,FW",19-311,12.6,49,3.9,38,1,5,4,1,0,6,0.48,6,0,0,0,0,0,Matches
Joe Gomez,eng ENG,DF,25-262,12.3,15,1.22,13,1,0,0,0,1,1,0.08,1,0,0,0,0,0,Matches
Darwin Núñez,uy URU,FW,23-230,11.0,35,3.19,23,1,2,5,4,0,1,0.09,1,0,0,0,0,0,Matches
Roberto Firmino,br BRA,"FW,MF",31-130,10.3,38,3.68,29,0,3,6,0,0,7,0.68,4,0,1,2,0,0,Matches
Jordan Henderson,eng ENG,MF,32-237,10.2,31,3.04,29,0,0,1,0,1,1,0.1,1,0,0,0,0,0,Matches
Joël Matip,cm CMR,DF,31-185,7.1,9,1.26,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luis Díaz,co COL,FW,26-027,6.8,20,2.94,13,0,4,1,2,0,4,0.59,2,0,2,0,0,0,Matches
James Milner,eng ENG,"DF,MF",37-036,6.1,27,4.46,18,4,3,2,0,0,2,0.33,1,1,0,0,0,0,Matches
Kostas Tsimikas,gr GRE,DF,26-273,5.0,19,3.82,7,10,0,2,0,0,3,0.6,2,1,0,0,0,0,Matches
Ibrahima Konaté,fr FRA,DF,23-260,4.2,4,0.94,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Fabio Carvalho,pt POR,"MF,FW",20-163,3.7,9,2.4,5,0,0,2,2,0,2,0.53,1,0,0,1,0,0,Matches
Alex Oxlade-Chamberlain,eng ENG,"FW,MF",29-178,3.5,9,2.59,8,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Cody Gakpo,nl NED,FW,23-278,2.8,9,3.18,5,0,1,1,0,2,0,0.0,0,0,0,0,0,0,Matches
Naby Keïta,gn GUI,MF,27-364,2.7,11,3.99,9,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Diogo Jota,pt POR,"FW,MF",26-067,2.2,7,3.21,6,0,0,1,0,0,1,0.46,1,0,0,0,0,0,Matches
Stefan Bajcetic,es ESP,MF,18-110,2.2,8,3.69,5,1,1,0,1,0,1,0.46,0,0,1,0,0,0,Matches
Curtis Jones,eng ENG,"MF,FW",22-010,2.1,9,4.29,6,0,1,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Nathaniel Phillips,eng ENG,DF,25-325,0.7,1,1.36,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ben Doak,sct SCO,FW,17-090,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bobby Clark,eng ENG,MF,18-002,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.2,20.0,586,29.3,430,51,30,49,15,11,55,2.75,39,5,4,5,1,1,
Opponent Total,,,27.0,20.0,368,18.4,280,31,18,19,19,1,44,2.2,31,1,6,3,3,0,
