Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Harry Kane,eng ENG,FW,29-196,21.8,4,0,0,19,31,9,24,1,6,1,0,0,48,36,44,45.0,Matches
Hugo Lloris,fr FRA,GK,36-045,21.0,0,0,0,0,2,0,0,1,1,0,0,1,27,6,3,66.7,Matches
Pierre Højbjerg,dk DEN,MF,27-188,20.8,2,0,0,20,22,1,11,32,15,0,0,0,157,15,4,78.9,Matches
Eric Dier,eng ENG,DF,29-025,20.3,1,0,0,11,6,1,11,25,11,0,0,0,83,51,28,64.6,Matches
Son Heung-min,kr KOR,"MF,FW",30-216,18.2,1,0,0,9,24,8,83,7,8,0,0,0,59,6,12,33.3,Matches
Rodrigo Bentancur,uy URU,MF,25-229,16.0,7,0,0,23,6,0,16,20,27,0,0,0,117,15,16,48.4,Matches
Ben Davies,wls WAL,DF,29-291,15.0,2,0,0,19,7,0,13,12,6,0,0,0,52,27,30,47.4,Matches
Ivan Perišić,hr CRO,"DF,MF",34-007,15.0,3,0,0,20,2,4,122,15,14,0,0,0,75,15,20,42.9,Matches
Emerson,br BRA,DF,24-026,13.1,1,1,0,15,23,0,39,12,21,0,0,0,69,15,20,42.9,Matches
Cristian Romero,ar ARG,DF,24-288,13.3,7,1,1,22,5,0,0,19,18,0,0,0,83,28,12,70.0,Matches
Dejan Kulusevski,se SWE,"MF,FW",22-290,11.7,0,0,0,11,13,1,25,2,5,0,0,0,77,2,2,50.0,Matches
Clément Lenglet,fr FRA,DF,27-237,10.4,2,0,0,8,10,0,11,10,8,0,0,0,48,23,11,67.6,Matches
Ryan Sessegnon,eng ENG,DF,22-267,9.0,4,0,0,15,6,7,30,6,11,0,0,0,49,10,10,50.0,Matches
Yves Bissouma,ml MLI,MF,26-163,9.0,5,0,0,14,7,1,2,9,10,0,0,0,59,6,6,50.0,Matches
Matt Doherty,ie IRL,"DF,MF",31-024,7.4,0,0,0,11,4,0,18,8,10,0,0,0,31,20,13,60.6,Matches
Davinson Sánchez,co COL,DF,26-242,6.2,1,0,0,5,4,1,2,10,6,0,1,0,25,15,9,62.5,Matches
Richarlison,br BRA,"MF,FW",25-275,5.4,2,0,0,7,11,3,8,4,6,1,0,0,28,4,9,30.8,Matches
Oliver Skipp,eng ENG,MF,22-146,2.2,2,0,0,4,2,0,8,0,2,0,0,0,19,1,2,33.3,Matches
Bryan,es ESP,"MF,FW",21-363,1.6,1,0,0,2,2,1,2,1,1,0,0,0,3,0,2,0.0,Matches
Pape Matar Sarr,sn SEN,MF,20-148,1.2,1,0,0,2,3,0,0,4,5,0,0,0,10,1,1,50.0,Matches
Fraser Forster,eng ENG,GK,34-329,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
Japhet Tanganga,eng ENG,DF,23-315,0.7,0,0,0,3,0,0,0,0,1,0,0,0,4,1,2,33.3,Matches
Lucas Moura,br BRA,"MF,DF",30-180,1.1,0,0,0,1,3,0,6,2,5,0,0,0,6,2,1,66.7,Matches
Djed Spence,eng ENG,"FW,DF",22-184,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Harvey White,eng ENG,MF,21-143,0.1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,100.0,Matches
Squad Total,,,28.4,22.0,46,2,1,241,194,37,434,200,197,2,1,1,1131,301,257,53.9,
Opponent Total,,,27.2,22.0,47,1,1,210,235,25,377,179,221,1,3,2,1159,257,301,46.1,
