Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Harry Kane,eng ENG,FW,29-196,22,22,1965.0,21.8,17.0,1.0,18.0,15.0,2.0,3.0,4.0,0.0,12.8,10.5,3.4,13.9,38.0,105.0,122.0,0.78,0.05,0.82,0.69,0.73,0.59,0.16,0.75,0.48,0.64,Matches
Hugo Lloris,fr FRA,GK,36-045,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pierre Højbjerg,dk DEN,MF,27-188,21,21,1871.0,20.8,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,1.5,1.5,2.2,3.7,27.0,135.0,52.0,0.19,0.14,0.34,0.19,0.34,0.07,0.11,0.18,0.07,0.18,Matches
Eric Dier,eng ENG,DF,29-025,21,20,1825.0,20.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.9,0.9,0.8,1.8,5.0,64.0,11.0,0.1,0.0,0.1,0.1,0.1,0.05,0.04,0.09,0.05,0.09,Matches
Son Heung-min,kr KOR,"MF,FW",30-216,20,19,1638.0,18.2,4.0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,4.9,4.9,3.4,8.2,53.0,42.0,122.0,0.22,0.16,0.38,0.22,0.38,0.27,0.18,0.45,0.27,0.45,Matches
Rodrigo Bentancur,uy URU,MF,25-229,17,16,1436.0,16.0,4.0,2.0,6.0,4.0,0.0,0.0,7.0,0.0,1.4,1.4,0.8,2.2,24.0,71.0,18.0,0.25,0.13,0.38,0.25,0.38,0.09,0.05,0.14,0.09,0.14,Matches
Ben Davies,wls WAL,DF,29-291,19,15,1351.0,15.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.8,0.8,1.8,2.5,23.0,76.0,27.0,0.13,0.07,0.2,0.13,0.2,0.05,0.12,0.17,0.05,0.17,Matches
Ivan Perišić,hr CRO,"DF,MF",34-007,22,15,1346.0,15.0,0.0,5.0,5.0,0.0,0.0,0.0,3.0,0.0,1.5,1.5,3.7,5.2,58.0,42.0,115.0,0.0,0.33,0.33,0.0,0.33,0.1,0.25,0.35,0.1,0.35,Matches
Emerson,br BRA,DF,24-026,17,14,1180.0,13.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.1,1.1,0.6,1.7,33.0,58.0,81.0,0.08,0.08,0.15,0.08,0.15,0.09,0.04,0.13,0.09,0.13,Matches
Cristian Romero,ar ARG,DF,24-288,14,13,1194.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.7,0.7,0.3,0.9,12.0,51.0,4.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches
Dejan Kulusevski,se SWE,"MF,FW",22-290,14,12,1054.0,11.7,2.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,1.3,1.3,2.7,4.0,53.0,37.0,106.0,0.17,0.43,0.6,0.17,0.6,0.11,0.23,0.34,0.11,0.34,Matches
Clément Lenglet,fr FRA,DF,27-237,13,11,935.0,10.4,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.6,1.2,14.0,41.0,5.0,0.0,0.19,0.19,0.0,0.19,0.06,0.06,0.12,0.06,0.12,Matches
Ryan Sessegnon,eng ENG,DF,22-267,17,9,813.0,9.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.6,1.6,1.1,2.7,24.0,22.0,64.0,0.22,0.0,0.22,0.22,0.22,0.18,0.12,0.3,0.18,0.3,Matches
Yves Bissouma,ml MLI,MF,26-163,20,8,814.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.5,0.7,10.0,45.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,Matches
Matt Doherty,ie IRL,"DF,MF",31-024,12,7,667.0,7.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,1.0,16.0,20.0,57.0,0.13,0.0,0.13,0.13,0.13,0.1,0.04,0.14,0.1,0.14,Matches
Davinson Sánchez,co COL,DF,26-242,12,6,558.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,4.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.07,0.05,0.07,Matches
Richarlison,br BRA,"MF,FW",25-275,13,5,487.0,5.4,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.8,1.8,1.3,3.1,14.0,19.0,41.0,0.0,0.37,0.37,0.0,0.37,0.33,0.25,0.57,0.33,0.57,Matches
Oliver Skipp,eng ENG,MF,22-146,8,3,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,4.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.03,0.11,0.14,0.03,0.14,Matches
Bryan,es ESP,"MF,FW",21-363,4,2,148.0,1.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,4.0,5.0,15.0,0.0,0.61,0.61,0.0,0.61,0.06,0.11,0.17,0.06,0.17,Matches
Pape Matar Sarr,sn SEN,MF,20-148,3,1,111.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Fraser Forster,eng ENG,GK,34-329,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Japhet Tanganga,eng ENG,DF,23-315,1,1,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucas Moura,br BRA,"MF,DF",30-180,8,0,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.08,0.04,0.12,0.08,0.12,Matches
Djed Spence,eng ENG,"FW,DF",22-184,4,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.83,0.83,0.83,Matches
Harvey White,eng ENG,MF,21-143,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Arnaut Danjuma,nl NED,"FW,MF",26-009,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Pedro Porro,es ESP,"DF,MF",23-149,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.4,22,242,1980.0,22.0,39.0,26.0,65.0,37.0,2.0,3.0,46.0,2.0,32.0,29.6,24.0,53.6,422.0,882.0,874.0,1.77,1.18,2.95,1.68,2.86,1.45,1.09,2.54,1.35,2.44,
Opponent Total,,,27.2,22,242,1980.0,22.0,30.0,22.0,52.0,29.0,1.0,1.0,47.0,1.0,26.8,26.0,19.1,45.1,381.0,871.0,861.0,1.36,1.0,2.36,1.32,2.32,1.22,0.87,2.09,1.18,2.05,
