Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Max Kilman,eng ENG,DF,25-262,21.0,1444,263,880,541,32,14,1444,10,6,60.0,4,40.0,807,4303,2559,17,4,0,10,5,993,1,Matches
José Sá,pt POR,GK,30-023,21.0,762,686,760,2,0,0,762,1,1,100.0,0,0.0,427,2547,1650,0,0,0,2,0,356,0,Matches
Rúben Neves,pt POR,MF,25-333,20.0,1450,116,514,729,221,13,1448,15,7,46.7,6,40.0,747,3435,1645,17,18,1,15,9,940,7,Matches
Nathan Collins,ie IRL,DF,21-285,16.4,1079,168,641,412,32,9,1079,7,6,85.7,0,0.0,592,2938,1549,9,8,2,9,5,742,3,Matches
Matheus Nunes,pt POR,MF,24-166,14.9,714,34,161,320,246,33,714,38,16,42.1,14,36.8,449,3117,1563,37,33,4,23,18,507,79,Matches
Daniel Podence,pt POR,"FW,MF",27-111,14.6,676,9,94,244,348,57,676,41,13,31.7,26,63.4,397,1939,877,31,20,15,39,25,469,110,Matches
João Moutinho,pt POR,MF,36-154,15.0,933,32,195,513,232,9,933,7,3,42.9,4,57.1,467,1887,997,13,18,0,9,5,592,20,Matches
Nélson Semedo,pt POR,DF,29-085,13.2,775,64,256,335,196,9,775,21,8,38.1,11,52.4,407,2420,1346,28,27,1,22,12,434,62,Matches
Jonny Castro,es ESP,DF,28-343,11.3,853,40,294,372,197,12,853,28,13,46.4,12,42.9,437,2225,1276,22,14,3,10,12,525,37,Matches
Hugo Bueno,es ESP,DF,20-144,9.1,514,35,215,143,160,11,514,20,6,30.0,11,55.0,240,1813,988,34,22,4,11,6,274,43,Matches
Hwang Hee-chan,kr KOR,FW,27-014,7.7,254,5,40,114,106,17,254,16,6,37.5,7,43.8,143,858,408,16,4,6,21,12,166,35,Matches
Rayan Aït Nouri,fr FRA,DF,21-248,9.6,590,34,173,213,213,25,590,38,19,50.0,17,44.7,308,1733,997,25,12,10,19,9,358,67,Matches
Gonçalo Guedes,pt POR,"FW,MF",26-072,7.9,280,3,28,105,153,30,280,15,5,33.3,7,46.7,174,1303,644,20,12,7,17,7,199,54,Matches
Diego Costa,es ESP,FW,34-125,6.8,141,6,16,54,73,34,141,3,2,66.7,1,33.3,75,421,165,8,2,7,11,6,102,31,Matches
Pedro Neto,pt POR,"FW,MF",22-337,6.7,323,2,39,93,197,37,323,39,12,30.8,23,59.0,215,1591,796,26,14,13,19,7,228,79,Matches
Adama Traoré,es ESP,"FW,MF",27-015,9.5,396,7,51,151,204,27,396,51,19,37.3,23,45.1,248,2237,1183,48,22,11,35,14,301,85,Matches
Boubacar Traoré,ml MLI,MF,21-173,4.3,157,6,37,96,26,2,157,7,3,42.9,3,42.9,74,448,241,4,3,0,2,3,84,2,Matches
Raúl Jiménez,mx MEX,FW,31-280,3.6,103,6,9,40,54,20,103,4,2,50.0,1,25.0,55,273,122,4,3,1,7,7,82,19,Matches
Toti Gomes,pt POR,DF,24-024,3.4,215,50,124,82,9,2,215,0,0,,0,,129,574,351,0,2,0,2,0,138,2,Matches
Leander Dendoncker,be BEL,MF,27-300,2.4,128,6,33,75,21,5,128,2,1,50.0,1,50.0,60,205,77,1,0,0,2,2,77,3,Matches
Matheus Cunha,br BRA,FW,23-258,2.1,82,3,22,32,30,7,82,7,3,42.9,2,28.6,34,226,85,3,0,0,10,3,41,9,Matches
Morgan Gibbs-White,eng ENG,"FW,MF",23-013,2.0,119,1,18,53,49,4,119,8,2,25.0,5,62.5,62,257,137,4,3,1,3,1,82,12,Matches
Mario Lemina,ga GAB,MF,29-161,1.8,94,7,27,51,17,0,94,1,1,100.0,0,0.0,45,145,52,0,0,0,0,3,57,2,Matches
Joseph Hodge,ie IRL,MF,20-148,1.9,103,5,25,47,31,3,103,0,0,,0,,50,156,76,1,2,0,1,2,65,4,Matches
Pablo Sarabia,es ESP,FW,30-274,1.2,45,0,9,18,21,3,45,3,1,33.3,2,66.7,25,139,63,1,0,0,0,1,29,4,Matches
Craig Dawson,eng ENG,DF,32-279,1.0,59,13,37,20,2,2,59,0,0,,0,,29,104,34,0,0,0,1,0,34,0,Matches
Sasa Kalajdzic,at AUT,FW,25-217,0.5,7,0,2,1,4,2,7,0,0,,0,,2,6,3,0,0,0,1,0,5,1,Matches
Chem Campbell,wls WAL,"FW,MF",20-041,0.8,47,1,6,19,23,5,47,4,2,50.0,2,50.0,39,303,70,2,6,1,3,6,36,10,Matches
Dexter Lembikisa,jm JAM,DF,19-097,0.3,13,0,3,7,3,0,13,0,0,,0,,7,29,21,2,0,0,0,0,8,3,Matches
Connor Ronan,ie IRL,MF,24-340,0.0,4,0,0,3,1,0,4,0,0,,0,,1,4,2,0,0,0,0,0,3,1,Matches
Squad Total,,,26.8,21.0,12360,1602,4709,4885,2901,392,12358,386,157,40.7,182,47.2,6745,37636,19977,373,249,87,304,180,7927,785,
Opponent Total,,,27.1,21.0,12864,1253,3941,5682,3359,556,12861,358,145,40.5,160,44.7,7597,40617,21102,408,289,121,302,217,8502,879,
