Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
João Othavio Basso,br BRA,DF,26-083,26.0,49,26,34,14,1,19,40,47.5,21,38,24,14,44,93,119,1,Matches
Quaresma,br BRA,DF,26-227,22.7,54,28,35,16,3,26,48,54.2,22,24,6,18,30,84,60,0,Matches
Alan Ruiz,ar ARG,MF,29-230,19.8,24,14,7,16,1,12,29,41.4,17,14,2,12,8,32,18,1,Matches
Ignacio De Arruabarrena,uy URU,GK,26-080,22.0,2,0,2,0,0,1,1,100.0,0,2,0,2,0,2,9,2,Matches
David Simão,pt POR,MF,32-326,20.9,40,19,19,17,4,20,46,43.5,26,26,10,16,23,63,17,0,Matches
Ismaila Soro,ci CIV,MF,24-334,15.9,37,20,23,10,4,16,42,38.1,26,17,6,11,34,71,26,0,Matches
Antony,br BRA,"FW,MF",21-210,19.4,36,25,16,16,4,10,28,35.7,18,18,0,18,16,52,14,0,Matches
Tiago Esgaio,pt POR,DF,27-248,18.5,33,17,18,12,3,27,42,64.3,15,20,4,16,16,49,75,0,Matches
Jerome Opoku,eng ENG,DF,24-174,15.7,18,8,13,4,1,7,9,77.8,2,19,11,8,17,35,62,1,Matches
Morlaye Sylla,gn GUI,"FW,MF",24-253,17.3,28,18,8,15,5,15,31,48.4,16,22,3,19,17,45,12,1,Matches
Rafa Mújica,es ESP,FW,24-159,11.4,14,11,2,6,6,2,7,28.6,5,13,0,13,1,15,17,0,Matches
André Bukia,cd COD,"FW,MF",28-034,11.4,11,6,4,6,1,6,16,37.5,10,8,0,8,4,15,1,0,Matches
Oday Dabbagh,ps PLE,FW,24-124,10.2,3,1,0,2,1,1,3,33.3,2,5,0,5,6,9,8,0,Matches
Bogdan Milovanov,ua UKR,DF,24-352,10.3,37,22,21,11,5,21,33,63.6,12,11,1,10,18,55,51,0,Matches
Nino Galović,hr CRO,DF,30-274,9.5,9,7,8,1,0,5,6,83.3,1,10,9,1,9,18,47,0,Matches
Arsénio Martins Lafuente Nunes,pt POR,"FW,MF",33-219,9.4,7,4,5,1,1,4,12,33.3,8,8,1,7,2,9,8,0,Matches
Oriol Busquets,es ESP,MF,24-076,6.5,12,8,6,6,0,4,14,28.6,10,6,0,6,10,22,10,1,Matches
Emilijus Zubas,lt LTU,GK,32-270,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
Moses Yaw,gh GHA,MF,24-089,3.4,5,4,2,3,0,3,10,30.0,7,3,1,2,7,12,9,0,Matches
Vitinho,br BRA,"MF,FW",23-092,2.7,3,1,1,0,2,0,2,0.0,2,3,0,3,4,7,4,0,Matches
Benji Michel,us USA,FW,25-165,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,Matches
Rafael Fernandes,pt POR,"DF,FW",20-282,1.5,2,2,1,1,0,1,1,100.0,0,2,2,0,3,5,6,0,Matches
Mosquito,br BRA,GK,26-298,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Weverson,br BRA,"DF,FW",22-275,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Bruninho,br BRA,FW,24-043,1.8,4,1,1,3,0,2,4,50.0,2,6,0,6,4,8,0,0,Matches
Pedro Manuel da Silva Moreira,pt POR,MF,33-326,0.8,1,1,0,1,0,1,2,50.0,1,0,0,0,1,2,0,0,Matches
Yusuf Lawal,ng NGA,"FW,MF",25-014,0.3,2,2,1,0,1,0,0,,0,1,1,0,0,2,1,0,Matches
José Manuel Velázquez,ve VEN,DF,32-210,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
Squad Total,,,26.7,26.0,431,245,227,161,43,203,426,47.7,223,276,81,195,274,705,589,7,
Opponent Total,,,26.9,26.0,393,244,164,175,54,205,436,47.0,231,245,64,181,226,619,370,11,
