Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
João Othavio Basso,br BRA,DF,26-080,25.0,19,0.76,18,0,0,0,0,1,1,0.04,1,0,0,0,0,0,Matches
Quaresma,br BRA,DF,26-224,21.7,34,1.56,26,3,1,1,2,1,5,0.23,5,0,0,0,0,0,Matches
Alan Ruiz,ar ARG,MF,29-227,18.8,65,3.45,48,5,5,1,6,0,6,0.32,4,0,1,1,0,0,Matches
Ignacio De Arruabarrena,uy URU,GK,26-077,21.0,3,0.14,2,1,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
David Simão,pt POR,MF,32-323,19.9,33,1.66,26,6,0,0,1,0,2,0.1,1,1,0,0,0,0,Matches
Ismaila Soro,ci CIV,MF,24-331,15.9,19,1.19,17,0,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Antony,br BRA,"FW,MF",21-207,18.4,48,2.61,32,0,9,4,1,2,6,0.33,3,0,3,0,0,0,Matches
Tiago Esgaio,pt POR,DF,27-245,17.5,17,0.97,13,2,1,0,1,0,2,0.11,1,1,0,0,0,0,Matches
Jerome Opoku,eng ENG,DF,24-171,15.7,8,0.51,8,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
Morlaye Sylla,gn GUI,"MF,FW",24-250,16.3,52,3.18,45,3,1,2,0,1,7,0.43,6,1,0,0,0,0,Matches
André Bukia,cd COD,"FW,MF",28-031,11.4,24,2.09,17,0,4,1,2,0,3,0.26,2,0,1,0,0,0,Matches
Rafa Mújica,es ESP,FW,24-156,10.6,23,2.16,10,1,3,7,1,1,2,0.19,0,0,1,1,0,0,Matches
Oday Dabbagh,ps PLE,FW,24-121,10.2,28,2.76,21,0,2,3,1,1,2,0.2,1,0,1,0,0,0,Matches
Bogdan Milovanov,ua UKR,DF,24-349,10.3,10,0.97,7,2,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Arsénio Martins Lafuente Nunes,pt POR,"FW,MF",33-216,9.4,23,2.44,18,3,2,0,0,0,2,0.21,2,0,0,0,0,0,Matches
Nino Galović,hr CRO,DF,30-271,8.5,5,0.59,4,0,0,0,1,0,2,0.24,2,0,0,0,0,0,Matches
Oriol Busquets,es ESP,MF,24-073,5.5,10,1.82,8,1,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Emilijus Zubas,lt LTU,GK,32-267,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Moses Yaw,gh GHA,MF,24-086,3.4,2,0.59,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Vitinho,br BRA,"MF,FW",23-089,2.7,13,4.8,8,4,0,0,1,0,2,0.74,2,0,0,0,0,0,Matches
Benji Michel,us USA,FW,25-162,1.8,3,1.66,2,0,0,0,1,0,2,1.1,1,0,0,0,1,0,Matches
Rafael Fernandes,pt POR,"DF,FW",20-279,1.5,1,0.67,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Mosquito,br BRA,GK,26-295,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Weverson,br BRA,"DF,FW",22-272,0.8,1,1.3,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bruninho,br BRA,FW,24-040,1.8,5,2.71,2,0,0,1,2,0,0,0.0,0,0,0,0,0,0,Matches
Pedro Manuel da Silva Moreira,pt POR,MF,33-323,0.8,2,2.54,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Yusuf Lawal,ng NGA,"FW,MF",25-011,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
José Manuel Velázquez,ve VEN,DF,32-207,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.7,25.0,448,17.92,336,31,29,23,20,9,46,1.84,33,3,7,2,1,0,
Opponent Total,,,27.0,25.0,551,22.04,389,55,22,39,34,12,48,1.92,29,3,0,8,6,2,
