Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
João Othavio Basso,br BRA,DF,26-083,26.0,1185,1368,86.6,23408,9508,380,415,91.6,658,706,93.2,139,227,61.2,1,0.1,0.4,0.9,2,70,4,0,68,Matches
Quaresma,br BRA,DF,26-227,22.7,887,1224,72.5,16094,6923,417,472,88.3,359,474,75.7,102,210,48.6,1,0.8,1.2,0.2,12,71,14,7,69,Matches
Alan Ruiz,ar ARG,MF,29-230,19.8,719,954,75.4,13393,3888,316,379,83.4,278,350,79.4,105,170,61.8,1,3.4,2.7,-2.4,32,89,20,1,125,Matches
Ignacio De Arruabarrena,uy URU,GK,26-080,22.0,509,753,67.6,14780,11338,113,114,99.1,202,204,99.0,192,431,44.5,1,0.4,0.1,0.6,3,12,1,0,0,Matches
David Simão,pt POR,MF,32-326,20.9,952,1191,79.9,17727,6466,407,457,89.1,402,478,84.1,121,208,58.2,3,1.0,1.2,2.0,21,101,8,1,100,Matches
Ismaila Soro,ci CIV,MF,24-334,15.9,567,667,85.0,10056,2711,234,263,89.0,262,288,91.0,56,77,72.7,0,0.8,0.5,-0.8,7,47,2,1,56,Matches
Antony,br BRA,"FW,MF",21-210,19.4,365,487,74.9,5155,1320,203,256,79.3,128,155,82.6,15,28,53.6,1,2.4,2.2,-1.4,24,27,15,3,49,Matches
Tiago Esgaio,pt POR,DF,27-248,18.5,622,917,67.8,11044,4947,291,336,86.6,252,356,70.8,66,174,37.9,1,0.8,1.4,0.2,7,52,12,6,48,Matches
Jerome Opoku,eng ENG,DF,24-174,15.7,467,580,80.5,9575,3950,138,152,90.8,258,286,90.2,62,123,50.4,1,0.4,0.2,0.6,3,28,0,0,21,Matches
Morlaye Sylla,gn GUI,"FW,MF",24-253,17.3,592,750,78.9,9816,3008,299,345,86.7,206,256,80.5,60,95,63.2,4,3.9,3.8,0.1,30,75,21,6,79,Matches
Rafa Mújica,es ESP,FW,24-159,11.4,117,165,70.9,1566,132,69,90,76.7,39,57,68.4,1,2,50.0,0,0.9,0.5,-0.9,9,1,2,0,4,Matches
André Bukia,cd COD,"FW,MF",28-034,11.4,220,284,77.5,3363,913,122,134,91.0,73,93,78.5,15,33,45.5,0,0.5,1.0,-0.5,7,11,10,0,32,Matches
Oday Dabbagh,ps PLE,FW,24-124,10.2,183,238,76.9,2480,333,115,144,79.9,50,60,83.3,11,13,84.6,0,1.0,0.7,-1.0,10,7,5,0,16,Matches
