Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Odisseas Vlachodimos,gr GRE,GK,28-342,25.0,0,0,0,0,6,0,0,0,0,0,0,0,17,5,0,100.0,Matches
Álex Grimaldo,es ESP,DF,27-195,23.7,3,0,0,19,25,6,153,27,33,1,0,0,134,13,15,46.4,Matches
João Mário,pt POR,FW,30-074,21.3,4,1,1,27,36,2,88,8,17,0,0,0,142,8,14,36.4,Matches
Nicolás Otamendi,ar ARG,DF,35-050,22.8,9,1,1,19,18,0,1,49,37,0,1,0,169,67,28,70.5,Matches
António Silva,pt POR,DF,19-155,21.9,3,0,0,32,7,4,2,28,22,0,1,0,167,33,21,61.1,Matches
Florentino Luís,pt POR,MF,23-227,20.2,4,0,0,29,5,1,3,57,34,0,0,0,145,32,21,60.4,Matches
Gonçalo Ramos,pt POR,FW,21-287,18.0,3,1,1,36,34,8,2,3,7,1,0,0,43,39,35,52.7,Matches
Alexander Bah,dk DEN,DF,25-115,18.3,1,0,0,32,34,1,77,33,28,2,0,1,103,33,28,54.1,Matches
Rafa Silva,pt POR,"MF,FW",29-321,15.9,6,0,0,12,48,10,16,2,6,3,0,0,64,4,11,26.7,Matches
Enzo Fernández,ar ARG,MF,22-076,15.4,3,0,0,18,16,1,39,15,17,0,0,0,93,9,14,39.1,Matches
David Neres,br BRA,"FW,MF",26-031,15.1,2,0,0,18,20,2,80,3,3,0,0,0,67,3,6,33.3,Matches
Fredrik Aursnes,no NOR,"MF,FW",27-114,15.0,5,0,0,17,8,6,10,24,18,1,0,0,106,13,14,48.1,Matches
Chiquinho,pt POR,"MF,FW",27-258,8.7,0,0,0,14,14,2,37,9,11,0,0,0,67,7,7,50.0,Matches
Gilberto,br BRA,DF,30-027,6.6,1,0,0,9,3,2,44,7,9,0,0,0,42,5,9,35.7,Matches
Morato,br BRA,DF,21-277,5.2,1,0,0,4,1,0,0,7,7,0,0,0,36,14,6,70.0,Matches
Julian Draxler,de GER,"MF,FW",29-195,4.5,0,0,0,1,1,2,4,1,2,0,0,0,17,2,1,66.7,Matches
Gonçalo Guedes,pt POR,"FW,MF",26-125,3.5,1,0,0,5,3,4,7,0,2,0,0,0,10,0,3,0.0,Matches
Petar Musa,hr CRO,FW,25-030,5.8,1,0,0,14,9,6,2,3,8,1,0,0,11,19,10,65.5,Matches
Diogo Gonçalves,pt POR,FW,26-056,3.4,0,0,0,4,6,2,14,1,6,0,0,0,20,0,0,,Matches
Mihailo Ristić,rs SRB,DF,27-154,1.2,0,0,0,2,1,0,9,2,1,0,0,0,8,1,0,100.0,Matches
Henrique Araújo,pt POR,"MF,FW",21-074,0.8,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2,33.3,Matches
João Neves,pt POR,"FW,MF",18-188,0.7,0,0,0,1,2,0,1,1,2,0,0,0,4,1,1,50.0,Matches
Julian Weigl,de GER,MF,27-207,0.6,1,0,0,1,1,0,0,0,2,0,0,0,8,1,0,100.0,Matches
Roman Yaremchuk,ua UKR,FW,27-127,0.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Rodrigo Pinho,br BRA,FW,31-308,0.5,0,0,0,1,2,0,0,0,0,0,0,0,2,1,1,50.0,Matches
Lucas Veríssimo,br BRA,DF,27-275,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
John Brooks,us USA,"MF,DF",30-065,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,50.0,Matches
Jan Vertonghen,be BEL,DF,35-344,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Cher Ndour,it ITA,MF,18-250,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Andreas Schjelderup,no NOR,FW,18-306,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Casper Tengstedt,dk DEN,FW,22-306,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,26.7,25.0,48,3,3,318,301,61,590,280,272,9,2,1,1479,313,250,55.6,
Opponent Total,,,26.6,25.0,70,4,2,316,310,28,281,284,251,1,10,2,1234,250,313,44.4,
