Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Odisseas Vlachodimos,gr GRE,GK,28-327,25.0,486,563,86.3,11617,8145,117,117,100.0,253,255,99.2,112,183,61.2,0,0.0,0.0,0.0,0,6,0,0,0,Matches
Álex Grimaldo,es ESP,DF,27-180,23.7,1468,1790,82.0,21523,6012,853,929,91.8,481,571,84.2,78,150,52.0,8,9.0,7.9,-1.0,50,72,65,27,138,Matches
João Mário,pt POR,FW,30-059,21.3,996,1183,84.2,13619,3813,588,634,92.7,284,328,86.6,53,102,52.0,6,6.6,8.1,-0.6,47,64,48,17,132,Matches
Nicolás Otamendi,ar ARG,DF,35-035,22.8,1591,1738,91.5,31416,11172,526,572,92.0,827,869,95.2,210,252,83.3,0,0.2,0.6,-0.2,3,121,2,0,113,Matches
António Silva,pt POR,DF,19-140,21.9,1403,1532,91.6,27901,9522,414,442,93.7,808,839,96.3,163,223,73.1,0,0.1,0.6,-0.1,2,131,2,0,105,Matches
Florentino Luís,pt POR,MF,23-212,20.2,1457,1628,89.5,23277,6731,751,795,94.5,538,585,92.0,111,154,72.1,3,1.5,1.4,1.5,12,201,14,1,136,Matches
Gonçalo Ramos,pt POR,FW,21-272,18.0,224,304,73.7,2648,423,141,185,76.2,57,68,83.8,5,7,71.4,2,2.2,3.3,-0.2,14,6,3,0,17,Matches
Alexander Bah,dk DEN,DF,25-100,18.3,1118,1408,79.4,18398,6590,529,608,87.0,473,566,83.6,82,152,53.9,3,4.4,3.3,-1.4,26,97,42,20,110,Matches
Rafa Silva,pt POR,"MF,FW",29-306,15.9,408,528,77.3,5642,1208,246,286,86.0,114,137,83.2,21,27,77.8,3,3.0,2.6,0.0,24,40,27,1,78,Matches
Enzo Fernández,ar ARG,MF,22-061,15.4,1446,1679,86.1,27839,8003,623,683,91.2,531,592,89.7,254,326,77.9,5,3.7,5.2,1.3,30,184,31,5,183,Matches
David Neres,br BRA,"FW,MF",26-016,15.1,595,764,77.9,8215,2088,349,400,87.3,170,201,84.6,31,67,46.3,5,5.5,5.7,-0.5,33,38,42,14,79,Matches
Fredrik Aursnes,no NOR,"MF,FW",27-099,15.0,940,1076,87.4,15269,4190,466,509,91.6,342,385,88.8,86,111,77.5,2,1.9,2.3,0.1,15,112,17,0,135,Matches
Chiquinho,pt POR,"MF,FW",27-243,8.7,605,688,87.9,10938,3428,276,293,94.2,238,258,92.2,70,101,69.3,0,1.2,1.7,-1.2,9,84,13,2,83,Matches
Gilberto,br BRA,DF,30-012,6.6,483,599,80.6,6730,1623,284,321,88.5,176,204,86.3,11,36,30.6,1,2.5,2.5,-1.5,15,31,22,8,38,Matches
Morato,br BRA,DF,21-262,5.2,323,362,89.2,5656,2428,139,148,93.9,142,152,93.4,31,45,68.9,0,0.0,0.1,0.0,0,27,0,0,28,Matches
Julian Draxler,de GER,"MF,FW",29-180,4.5,203,229,88.6,3010,542,128,135,94.8,52,59,88.1,17,19,89.5,0,0.6,1.2,-0.6,10,24,8,1,33,Matches
Gonçalo Guedes,pt POR,"FW,MF",26-110,3.5,102,133,76.7,1259,207,69,78,88.5,20,30,66.7,4,6,66.7,1,1.0,0.9,0.0,6,2,8,1,15,Matches
Petar Musa,hr CRO,FW,25-015,5.8,104,146,71.2,1249,245,65,83,78.3,21,28,75.0,5,8,62.5,2,2.1,1.5,-0.1,13,5,4,0,12,Matches
Diogo Gonçalves,pt POR,FW,26-041,3.4,123,159,77.4,1472,439,75,85,88.2,27,37,73.0,5,9,55.6,0,0.9,0.8,-0.9,4,8,6,3,12,Matches
Mihailo Ristić,rs SRB,DF,27-139,1.2,103,120,85.8,1605,400,53,58,91.4,39,42,92.9,6,13,46.2,1,0.6,0.5,0.4,3,3,3,2,4,Matches
Henrique Araújo,pt POR,"MF,FW",21-059,0.8,15,19,78.9,265,58,6,9,66.7,8,8,100.0,1,1,100.0,0,0.1,0.0,-0.1,1,2,1,0,4,Matches
João Neves,pt POR,"FW,MF",18-173,0.7,62,74,83.8,1037,185,26,30,86.7,25,28,89.3,6,7,85.7,0,0.0,0.0,0.0,2,4,1,0,4,Matches
Julian Weigl,de GER,MF,27-192,0.6,78,80,97.5,1599,362,30,31,96.8,32,32,100.0,15,16,93.8,0,0.0,0.1,0.0,1,12,1,0,9,Matches
Roman Yaremchuk,ua UKR,FW,27-112,0.6,13,16,81.3,167,31,7,8,87.5,5,5,100.0,0,0,,0,0.1,0.1,-0.1,2,0,1,0,3,Matches
Rodrigo Pinho,br BRA,FW,31-293,0.5,9,11,81.8,98,23,4,5,80.0,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,2,Matches
Lucas Veríssimo,br BRA,DF,27-260,0.1,14,16,87.5,261,105,4,4,100.0,9,10,90.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches
John Brooks,us USA,"MF,DF",30-050,0.0,1,3,33.3,4,0,0,0,,0,1,0.0,0,0,,0,0.1,0.1,-0.1,1,0,0,0,0,Matches
Jan Vertonghen,be BEL,DF,35-329,0.0,3,3,100.0,43,10,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Cher Ndour,it ITA,MF,18-235,0.0,5,5,100.0,60,8,3,3,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Andreas Schjelderup,no NOR,FW,18-291,0.0,1,2,50.0,8,3,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Casper Tengstedt,dk DEN,FW,22-291,0.0,1,2,50.0,20,17,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,1,0,Matches
Squad Total,,,26.6,25.0,14380,16860,85.3,242845,78011,6775,7455,90.9,5679,6298,90.2,1378,2017,68.3,42,46.8,50.7,-4.8,323,1274,362,103,1475,
Opponent Total,,,26.6,25.0,6757,9068,74.5,129417,51381,2672,3168,84.3,3011,3647,82.6,904,1707,53.0,10,9.8,10.6,0.2,115,427,67,27,522,
