Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Pedro Malheiro,pt POR,"DF,MF",22-072,24,24,2149.0,23.9,0.0,5.0,5.0,0.0,0.0,0.0,6.0,0.0,0.5,0.5,2.4,2.9,34.0,75.0,59.0,0.0,0.21,0.21,0.0,0.21,0.02,0.1,0.12,0.02,0.12,Matches
Gaius Makouta,cg CGO,MF,25-252,24,23,2027.0,22.5,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,1.2,1.2,0.9,2.1,27.0,85.0,64.0,0.0,0.13,0.13,0.0,0.13,0.05,0.04,0.09,0.05,0.09,Matches
Bruno Onyemaechi,ng NGA,DF,24-000,21,21,1876.0,20.8,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.6,0.6,2.0,2.6,52.0,77.0,58.0,0.05,0.05,0.1,0.05,0.1,0.03,0.09,0.12,0.03,0.12,Matches
Sebastián Pérez Cardona,co COL,MF,30-005,21,21,1813.0,20.1,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.4,0.4,0.8,1.2,13.0,118.0,12.0,0.05,0.0,0.05,0.05,0.05,0.02,0.04,0.06,0.02,0.06,Matches
Rafael Bracalli,br BRA,GK,41-333,20,20,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rodrigo Abascal,uy URU,DF,29-079,20,20,1665.0,18.5,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,0.4,1.2,7.0,58.0,11.0,0.0,0.05,0.05,0.0,0.05,0.04,0.02,0.06,0.04,0.06,Matches
Vincent Sasso,fr FRA,DF,32-046,19,18,1580.0,17.6,4.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,1.7,1.7,0.0,1.7,3.0,27.0,3.0,0.23,0.0,0.23,0.23,0.23,0.1,0.0,0.1,0.1,0.1,Matches
Yusupha Njie,gm GAM,FW,29-090,20,17,1597.0,17.7,10.0,1.0,11.0,9.0,1.0,3.0,3.0,0.0,9.7,7.3,1.5,8.9,28.0,35.0,91.0,0.56,0.06,0.62,0.51,0.56,0.55,0.09,0.63,0.41,0.5,Matches
Reggie Cannon,us USA,DF,24-296,21,17,1521.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,13.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ricardo Mangas,pt POR,"MF,FW",25-015,20,16,1308.0,14.5,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,1.9,1.9,0.8,2.8,29.0,31.0,80.0,0.14,0.0,0.14,0.14,0.14,0.13,0.06,0.19,0.13,0.19,Matches
Bruno Lourenço,pt POR,"MF,FW",25-060,21,14,1273.0,14.1,2.0,1.0,3.0,1.0,1.0,1.0,5.0,0.0,2.3,1.5,1.9,3.5,12.0,52.0,68.0,0.14,0.07,0.21,0.07,0.14,0.16,0.14,0.3,0.11,0.24,Matches
Salvador Agra,pt POR,"FW,MF",31-143,22,13,1101.0,12.2,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,1.7,2.9,29.0,43.0,98.0,0.08,0.16,0.25,0.08,0.25,0.09,0.14,0.23,0.09,0.23,Matches
Kenji Gorré,cw CUW,"FW,MF",28-186,24,12,1088.0,12.1,2.0,5.0,7.0,2.0,0.0,0.0,3.0,0.0,2.2,2.2,1.7,3.9,64.0,44.0,95.0,0.17,0.41,0.58,0.17,0.58,0.18,0.14,0.33,0.18,0.33,Matches
Ibrahima Camará,gn GUI,MF,24-068,16,9,770.0,8.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.1,0.1,0.5,0.6,12.0,36.0,11.0,0.0,0.12,0.12,0.0,0.12,0.01,0.05,0.07,0.01,0.07,Matches
Róbert Boženík,sk SVK,FW,23-136,15,6,599.0,6.7,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.7,1.7,0.3,2.0,5.0,3.0,41.0,0.3,0.0,0.3,0.3,0.3,0.25,0.04,0.3,0.25,0.3,Matches
César,br BRA,GK,31-066,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ilija Vukotić,me MNE,MF,24-086,12,5,387.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,5.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.02,0.05,Matches
