Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Pedro Malheiro,pt POR,"DF,MF",22-072,23.9,1630,67,540,799,319,16,1630,55,29,52.7,24,43.6,762,4021,2041,34,27,4,29,13,892,59,Matches
Gaius Makouta,cg CGO,MF,25-252,22.5,1210,51,247,731,247,22,1210,42,19,45.2,18,42.9,636,3660,1515,27,32,3,40,28,812,64,Matches
Bruno Onyemaechi,ng NGA,DF,24-000,20.8,1266,87,454,540,289,12,1266,39,17,43.6,16,41.0,615,3865,2130,52,48,1,34,5,662,58,Matches
Sebastián Pérez Cardona,co COL,MF,30-005,20.1,1374,33,315,931,133,8,1374,9,3,33.3,4,44.4,731,2813,1377,13,8,0,14,6,942,12,Matches
Rafael Bracalli,br BRA,GK,41-333,20.0,621,534,620,1,0,0,621,2,2,100.0,0,0.0,262,1595,1001,0,0,0,0,0,157,0,Matches
Rodrigo Abascal,uy URU,DF,29-079,18.5,1216,138,608,529,86,11,1216,3,1,33.3,2,66.7,665,2632,1388,7,8,0,9,2,755,11,Matches
Vincent Sasso,fr FRA,DF,32-046,17.6,904,125,505,375,26,17,904,2,0,0.0,2,100.0,422,2016,991,3,5,0,2,2,573,3,Matches
Yusupha Njie,gm GAM,FW,29-090,17.7,559,14,42,287,237,62,556,41,19,46.3,13,31.7,322,1570,613,28,13,14,67,25,415,91,Matches
Reggie Cannon,us USA,DF,24-296,16.9,964,117,540,401,31,0,964,12,6,50.0,6,50.0,500,2015,905,13,8,0,4,6,603,3,Matches
Ricardo Mangas,pt POR,"MF,FW",25-015,14.5,551,25,144,205,207,32,551,43,14,32.6,21,48.8,308,1854,977,29,23,9,31,21,354,80,Matches
Bruno Lourenço,pt POR,"MF,FW",25-060,14.1,636,8,87,299,258,27,635,38,18,47.4,17,44.7,367,1855,697,12,18,1,30,24,438,68,Matches
Salvador Agra,pt POR,"FW,MF",31-143,12.2,567,9,70,242,258,21,567,32,10,31.3,17,53.1,315,1773,842,29,17,8,18,15,381,98,Matches
Kenji Gorré,cw CUW,"FW,MF",28-186,12.1,535,1,50,210,289,41,535,88,34,38.6,41,46.6,339,3192,1883,64,52,23,32,27,384,95,Matches
Ibrahima Camará,gn GUI,MF,24-068,8.6,394,16,81,221,98,8,394,25,13,52.0,9,36.0,200,842,395,12,5,3,16,11,250,11,Matches
Róbert Boženík,sk SVK,FW,23-136,6.7,179,1,6,78,97,25,179,10,4,40.0,5,50.0,107,476,119,5,3,3,15,7,142,41,Matches
César,br BRA,GK,31-066,5.0,132,111,132,0,0,0,132,0,0,,0,,65,336,213,0,0,0,0,0,41,0,Matches
Ilija Vukotić,me MNE,MF,24-086,4.3,200,15,59,106,37,3,200,5,3,60.0,2,40.0,68,297,160,5,5,0,1,0,95,3,Matches
Masaki Watai,jp JPN,"MF,FW",23-259,4.7,227,1,30,98,99,7,227,10,2,20.0,8,80.0,124,564,270,10,5,1,11,5,174,30,Matches
Filipe Ferreira,pt POR,"DF,MF",32-188,2.5,149,9,58,69,23,0,149,1,1,100.0,0,0.0,86,380,277,3,3,0,1,1,90,6,Matches
Martim Tavares,pt POR,"FW,DF",19-144,3.8,107,2,11,46,50,8,107,9,0,0.0,8,88.9,69,338,90,4,3,2,4,3,87,16,Matches
Luís Santos,pt POR,"FW,MF",23-073,2.5,109,2,16,46,47,8,109,3,1,33.3,2,66.7,63,298,130,4,4,0,8,2,67,11,Matches
Yanis Hamache,dz ALG,MF,23-264,2.0,137,5,24,65,49,3,137,2,1,50.0,0,0.0,73,641,308,13,3,1,0,3,84,12,Matches
Robson,br BRA,DF,22-317,1.4,94,11,53,36,8,3,94,0,0,,0,,47,176,93,0,0,0,1,0,57,0,Matches
Tiago Fonseca Morais,pt POR,FW,19-212,0.3,17,0,3,10,4,1,17,2,0,0.0,1,50.0,8,43,5,0,0,0,1,0,8,1,Matches
Júlio Dabo,pt POR,"DF,FW",19-021,0.1,11,0,2,5,4,0,11,0,0,,0,,6,29,0,0,0,0,2,0,6,1,Matches
Miguel Reisinho,pt POR,DF,23-359,0.1,4,0,0,3,1,0,4,0,0,,0,,3,11,1,0,0,0,1,0,3,1,Matches
Joel silva,pt POR,MF,20-051,0.1,5,0,3,2,0,0,5,0,0,,0,,1,2,1,0,0,0,1,0,2,0,Matches
Squad Total,,,27.8,25.0,13798,1382,4700,6335,2897,335,13794,473,197,41.6,216,45.7,7164,37294,18422,367,290,73,372,206,8474,775,
Opponent Total,,,26.7,25.0,15151,1503,4896,6917,3484,461,15146,463,200,43.2,192,41.5,8383,44053,22780,410,294,99,391,211,9812,997,
