Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Pedro Malheiro,pt POR,"DF,MF",22-075,24.9,0,14,2,14.3,0.56,0.08,0.0,0.0,25.8,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Gaius Makouta,cg CGO,MF,25-255,23.5,0,22,6,27.3,0.94,0.26,0.0,0.0,20.5,3,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
Bruno Onyemaechi,ng NGA,DF,24-003,21.8,1,18,4,22.2,0.82,0.18,0.06,0.25,25.7,0,0,0,0.9,0.9,0.05,0.1,0.1,Matches
Rafael Bracalli,br BRA,GK,41-336,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sebastián Pérez Cardona,co COL,MF,30-008,20.1,1,9,4,44.4,0.45,0.2,0.11,0.25,23.7,0,0,0,0.4,0.4,0.04,0.6,0.6,Matches
Rodrigo Abascal,uy URU,DF,29-082,19.5,0,7,0,0.0,0.36,0.0,0.0,,34.1,2,0,0,0.7,0.7,0.1,-0.7,-0.7,Matches
Vincent Sasso,fr FRA,DF,32-049,17.9,4,11,4,36.4,0.61,0.22,0.36,1.0,10.9,0,0,0,1.7,1.7,0.15,2.3,2.3,Matches
Yusupha Njie,gm GAM,FW,29-093,18.7,10,55,19,34.5,2.93,1.01,0.16,0.47,16.7,1,1,3,10.0,7.6,0.16,0.0,1.4,Matches
Reggie Cannon,us USA,DF,24-299,17.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ricardo Mangas,pt POR,"MF,FW",25-018,14.5,2,17,6,35.3,1.17,0.41,0.12,0.33,13.6,0,0,0,1.9,1.9,0.11,0.1,0.1,Matches
Bruno Lourenço,pt POR,"MF,FW",25-063,14.3,3,19,5,26.3,1.33,0.35,0.11,0.4,23.0,0,1,1,2.3,1.5,0.08,0.7,0.5,Matches
Salvador Agra,pt POR,"FW,MF",31-146,13.1,2,11,3,27.3,0.84,0.23,0.18,0.67,19.7,1,0,0,1.2,1.2,0.11,0.8,0.8,Matches
Kenji Gorré,cw CUW,"FW,MF",28-189,12.7,2,31,10,32.3,2.43,0.78,0.06,0.2,19.7,1,0,0,2.2,2.2,0.07,-0.2,-0.2,Matches
Ibrahima Camará,gn GUI,MF,24-071,9.1,0,5,2,40.0,0.55,0.22,0.0,0.0,25.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Róbert Boženík,sk SVK,FW,23-139,7.2,2,22,6,27.3,3.07,0.84,0.09,0.33,16.1,0,0,0,1.7,1.7,0.08,0.3,0.3,Matches
Masaki Watai,jp JPN,"MF,FW",23-262,5.2,1,3,2,66.7,0.57,0.38,0.33,0.5,19.8,0,0,0,0.2,0.2,0.07,0.8,0.8,Matches
César,br BRA,GK,31-069,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ilija Vukotić,me MNE,MF,24-089,4.3,0,2,1,50.0,0.47,0.23,0.0,0.0,16.1,1,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Filipe Ferreira,pt POR,"DF,MF",32-191,2.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Martim Tavares,pt POR,"FW,DF",19-147,3.8,2,5,3,60.0,1.3,0.78,0.4,0.67,6.1,0,0,0,1.6,1.6,0.32,0.4,0.4,Matches
Luís Santos,pt POR,"FW,MF",23-076,2.5,0,7,4,57.1,2.83,1.61,0.0,0.0,19.1,0,0,0,1.0,1.0,0.14,-1.0,-1.0,Matches
Yanis Hamache,dz ALG,MF,23-267,2.0,0,2,1,50.0,1.0,0.5,0.0,0.0,20.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Robson,br BRA,DF,22-320,1.4,0,1,0,0.0,0.74,0.0,0.0,,10.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Joel silva,pt POR,MF,20-054,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Tiago Fonseca Morais,pt POR,FW,19-215,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Júlio Dabo,pt POR,"DF,FW",19-024,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Miguel Reisinho,pt POR,DF,23-362,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.8,26.0,30,261,82,31.4,10.04,3.15,0.11,0.34,19.3,9,2,4,27.5,24.3,0.1,2.5,3.7,
Opponent Total,,,26.7,26.0,43,298,113,37.9,11.46,4.35,0.13,0.35,17.5,15,3,5,37.6,33.5,0.12,5.4,6.5,
