Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Matheus,br BRA,GK,30-261,24.9,3,1,0,1,8,0,0,1,0,0,0,0,43,11,0,100.0,Matches
Almoatasem Al Musrati,ly LBY,MF,27-000,21.7,7,0,0,35,17,0,7,52,30,0,0,0,172,28,21,57.1,Matches
Nuno Sequeira,pt POR,DF,32-230,21.2,3,0,0,35,29,2,128,32,28,0,0,0,134,30,23,56.6,Matches
Vítor Tormena,br BRA,DF,27-092,22.1,5,1,0,18,4,2,2,26,17,0,0,0,114,49,19,72.1,Matches
Ricardo Horta,pt POR,"MF,FW",28-203,21.3,1,0,0,13,33,0,44,11,11,0,0,0,118,6,5,54.5,Matches
Iuri Medeiros,pt POR,"MF,FW",28-270,17.2,5,0,0,10,21,3,67,5,8,1,0,0,77,5,9,35.7,Matches
André Horta,pt POR,MF,26-150,17.5,3,0,0,19,9,0,87,8,19,0,0,0,105,0,5,0.0,Matches
Abel Ruiz,es ESP,"FW,MF",23-068,16.4,2,0,0,12,4,5,14,7,5,0,0,0,43,15,33,31.3,Matches
Sikou Niakaté,fr FRA,DF,23-270,15.8,5,2,1,23,14,1,3,33,9,0,1,0,98,34,15,69.4,Matches
Victor Perea,es ESP,DF,23-005,15.0,1,0,0,19,13,2,83,12,10,0,1,0,78,13,12,52.0,Matches
Simon Banza,fr FRA,FW,26-236,14.6,3,0,0,36,38,10,7,2,9,1,0,0,42,57,55,50.9,Matches
Vitinha,pt POR,FW,23-022,12.2,2,0,0,27,34,19,15,4,9,0,0,0,40,21,28,42.9,Matches
Paulo Oliveira,pt POR,DF,31-088,12.3,4,1,1,12,7,0,0,43,8,0,1,0,60,25,19,56.8,Matches
Fabiano,br BRA,DF,23-023,10.7,5,0,0,18,17,0,43,17,32,1,0,0,62,5,15,25.0,Matches
Uroš Račić,rs SRB,MF,25-020,9.3,2,0,0,14,19,0,5,14,10,0,0,0,74,15,10,60.0,Matches
Bruma,pt POR,"MF,FW",28-164,4.1,0,0,0,4,6,2,4,5,6,0,0,0,22,0,0,,Matches
André Castro,pt POR,MF,35-004,6.4,1,0,0,11,12,0,5,6,12,0,0,0,45,8,18,30.8,Matches
Cristian Borja,co COL,DF,30-047,3.4,1,0,0,2,4,0,11,5,7,0,0,0,16,4,5,44.4,Matches
Serdar Saatçı,tr TUR,DF,20-051,2.0,0,0,0,1,1,0,0,7,2,0,0,0,13,6,4,60.0,Matches
Álvaro djaló,es ESP,"FW,MF",23-233,5.3,6,1,1,21,8,1,18,3,5,0,0,0,41,14,15,48.3,Matches
Rodrigo Gomes,pt POR,"FW,MF",19-273,3.5,2,0,0,2,6,1,7,3,9,0,0,0,12,3,3,50.0,Matches
Pizzi,pt POR,"MF,FW",33-182,2.1,0,0,0,1,1,0,2,0,5,0,0,0,5,2,0,100.0,Matches
Diego Lainez,mx MEX,MF,22-301,1.7,3,0,0,3,7,0,6,1,2,0,0,0,12,1,0,100.0,Matches
Tiago Sá,pt POR,GK,28-085,1.1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
Bruno Rodrigues,pt POR,DF,21-302,1.0,0,0,0,0,0,0,0,1,1,0,0,0,4,2,2,50.0,Matches
Hernani Infande,pt POR,"MF,FW",22-003,0.9,0,0,0,1,1,0,1,0,2,0,0,0,0,2,0,100.0,Matches
Jean Gorby,fr FRA,"MF,FW",20-255,0.6,1,0,0,1,1,0,1,0,1,0,0,0,4,0,0,,Matches
Joe Mendes,se SWE,MF,20-096,0.3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.0,Matches
Dinis Pinto,pt POR,DF,22-225,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
Pedro Santos,pt POR,FW,22-176,0.1,1,0,0,1,0,0,3,0,0,0,0,0,2,1,0,100.0,Matches
Squad Total,,,27.1,26.0,67,6,3,340,315,48,563,298,257,3,3,0,1444,357,317,53.0,
Opponent Total,,,26.9,26.0,77,4,2,332,329,44,474,283,230,2,5,2,1408,317,357,47.0,
