Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Matheus,br BRA,GK,30-258,23.9,980,762,970,12,0,0,980,4,3,75.0,1,25.0,556,2623,1624,0,0,0,0,0,480,0,Matches
Nuno Sequeira,pt POR,DF,32-227,21.2,1687,33,407,757,539,13,1687,27,14,51.9,9,33.3,763,3587,1949,36,43,2,26,11,990,135,Matches
Almoatasem Al Musrati,ly LBY,MF,26-362,20.7,1473,43,312,1008,167,18,1473,13,8,61.5,4,30.8,808,3440,1358,10,18,0,20,15,1003,7,Matches
Vítor Tormena,br BRA,DF,27-089,21.1,1451,132,686,732,39,16,1451,2,1,50.0,1,50.0,879,4297,2127,11,9,0,4,0,994,2,Matches
Ricardo Horta,pt POR,"MF,FW",28-200,20.3,1067,13,105,451,523,78,1064,37,13,35.1,21,56.8,611,2918,1575,42,49,7,40,22,749,133,Matches
Iuri Medeiros,pt POR,"MF,FW",28-267,16.4,818,4,72,344,411,58,817,46,22,47.8,22,47.8,499,2512,1156,36,28,16,24,19,587,97,Matches
André Horta,pt POR,MF,26-147,16.8,1352,21,196,750,418,21,1352,28,15,53.6,11,39.3,826,4638,2493,50,50,6,14,12,1001,56,Matches
Abel Ruiz,es ESP,"FW,MF",23-065,15.4,525,9,32,145,352,97,525,18,8,44.4,10,55.6,308,1859,863,39,22,21,36,18,389,130,Matches
Sikou Niakaté,fr FRA,DF,23-267,14.8,1028,100,531,483,27,10,1028,14,8,57.1,2,14.3,546,2821,1434,13,6,2,5,3,691,6,Matches
Simon Banza,fr FRA,FW,26-233,14.6,429,12,34,176,224,72,429,30,16,53.3,12,40.0,232,1234,438,19,10,8,45,23,340,79,Matches
Victor Perea,es ESP,DF,23-002,14.0,952,31,200,429,331,19,952,13,6,46.2,6,46.2,463,2334,1298,33,31,3,11,3,591,109,Matches
Vitinha,pt POR,FW,23-019,12.2,460,22,44,141,284,78,460,51,20,39.2,22,43.1,249,1539,625,25,16,13,57,27,305,85,Matches
Paulo Oliveira,pt POR,DF,31-085,12.3,829,83,404,410,19,10,829,1,0,0.0,1,100.0,444,2040,936,2,3,0,2,0,514,1,Matches
Fabiano,br BRA,DF,23-020,10.7,691,26,197,315,185,8,691,15,6,40.0,5,33.3,332,1575,743,18,15,3,9,5,376,54,Matches
Uroš Račić,rs SRB,MF,25-017,9.3,617,22,92,407,126,13,616,15,8,53.3,4,26.7,332,1736,794,10,7,2,10,9,417,15,Matches
Bruma,pt POR,"MF,FW",28-161,3.3,192,1,12,66,122,21,192,23,11,47.8,7,30.4,136,947,555,22,11,10,6,7,147,25,Matches
André Castro,pt POR,MF,35-001,6.2,412,13,83,269,63,4,412,11,7,63.6,1,9.1,217,1108,527,8,8,1,5,1,256,8,Matches
Cristian Borja,co COL,DF,30-044,2.4,174,10,56,82,40,2,174,4,4,100.0,0,0.0,87,410,181,3,3,0,3,0,98,18,Matches
Serdar Saatçı,tr TUR,DF,20-048,2.0,152,10,61,90,2,0,152,1,0,0.0,0,0.0,98,493,160,1,0,0,2,1,103,0,Matches
Álvaro djaló,es ESP,"FW,MF",23-230,5.0,255,9,39,89,132,29,255,37,15,40.5,21,56.8,155,1057,511,22,13,11,26,13,158,59,Matches
Rodrigo Gomes,pt POR,"FW,MF",19-270,3.5,137,2,18,49,73,12,137,14,2,14.3,10,71.4,82,817,451,17,8,5,13,4,94,29,Matches
Pizzi,pt POR,"FW,MF",33-179,2.0,123,1,13,60,50,7,123,2,1,50.0,1,50.0,65,240,82,1,0,0,3,3,101,15,Matches
Diego Lainez,mx MEX,MF,22-298,1.7,116,0,5,42,70,10,116,10,3,30.0,5,50.0,70,472,264,8,8,3,6,3,89,20,Matches
Tiago Sá,pt POR,GK,28-082,1.1,35,29,35,0,0,0,35,0,0,,0,,8,26,8,0,0,0,0,0,17,0,Matches
Bruno Rodrigues,pt POR,DF,21-299,1.0,69,8,46,21,2,1,69,0,0,,0,,36,133,35,0,0,0,1,0,42,0,Matches
Hernani Infande,pt POR,"MF,FW",22-000,0.9,39,1,6,18,16,3,39,4,2,50.0,2,50.0,29,198,80,3,4,2,0,1,30,1,Matches
Jean Gorby,fr FRA,"MF,FW",20-252,0.6,50,0,8,35,8,1,50,1,1,100.0,0,0.0,35,180,73,0,0,1,2,1,44,1,Matches
Joe Mendes,se SWE,MF,20-093,0.3,11,1,4,4,3,0,11,0,0,,0,,6,42,17,1,1,0,0,0,7,0,Matches
Dinis Pinto,pt POR,DF,22-222,0.1,6,0,3,2,1,0,6,0,0,,0,,4,29,23,1,1,0,0,0,4,1,Matches
Pedro Santos,pt POR,FW,22-173,0.1,9,0,2,2,5,0,9,0,0,,0,,4,32,11,0,0,0,0,0,3,0,Matches
Squad Total,,,27.1,25.0,16139,1398,4673,7389,4232,601,16134,421,194,46.1,178,42.3,8880,45337,22391,431,364,116,370,201,10620,1086,
Opponent Total,,,26.8,25.0,14242,1763,5109,6336,2946,382,14239,476,227,47.7,197,41.4,7661,39274,19585,392,290,71,405,210,8705,784,
