Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
João Teixeira,pt POR,MF,29-056,21.8,817,1063,76.9,15857,5571,321,375,85.6,361,450,80.2,122,184,66.3,3,2.8,2.7,0.2,44,114,24,7,154,Matches
Steven Vitória,ca CAN,DF,36-082,22.0,774,913,84.8,16214,6026,180,205,87.8,497,536,92.7,93,160,58.1,0,0.2,0.2,-0.2,2,21,0,0,42,Matches
Paulo Vítor Fagundes dos Anjos,br BRA,GK,34-133,21.0,537,735,73.1,15386,11680,96,96,100.0,251,261,96.2,189,375,50.4,0,0.0,0.1,0.0,1,11,0,0,0,Matches
João Mendes,pt POR,"MF,FW",28-164,17.9,544,683,79.6,9815,3369,253,291,86.9,201,254,79.1,75,96,78.1,0,1.9,2.4,-1.9,31,79,17,1,120,Matches
Nélson Monte,pt POR,DF,27-247,20.3,794,977,81.3,17623,7489,191,221,86.4,476,536,88.8,124,196,63.3,0,0.3,0.4,-0.3,3,53,5,1,71,Matches
Bruno Langa,mz MOZ,DF,25-154,19.3,682,982,69.5,12719,6458,281,333,84.4,319,433,73.7,74,158,46.8,0,1.2,1.3,-1.2,17,71,16,6,87,Matches
Ricardo Guimarães,pt POR,MF,27-140,17.1,591,717,82.4,9777,2900,268,307,87.3,251,287,87.5,48,69,69.6,0,1.4,1.1,-1.4,23,67,7,3,71,Matches
Juninho,br BRA,FW,26-133,15.0,178,238,74.8,2413,345,94,115,81.7,55,72,76.4,9,15,60.0,0,1.8,1.1,-1.8,14,16,3,1,15,Matches
João Pedro Araújo Correia,cv CPV,DF,26-210,14.9,572,758,75.5,11150,3842,216,243,88.9,268,338,79.3,82,143,57.3,2,2.0,2.2,0.0,20,33,23,18,49,Matches
Héctor,es ESP,FW,27-201,12.5,145,193,75.1,1915,410,87,108,80.6,42,54,77.8,5,7,71.4,0,0.2,0.1,-0.2,7,17,0,0,18,Matches
