Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
João Teixeira,pt POR,MF,29-041,21.8,1319,25,187,688,462,37,1316,54,23,42.6,24,44.4,722,4358,2186,55,51,11,40,43,855,73,Matches
Steven Vitória,ca CAN,DF,36-067,22.0,1124,174,677,413,36,29,1119,4,2,50.0,1,25.0,597,2404,1310,4,2,0,3,1,708,1,Matches
Paulo Vítor Fagundes dos Anjos,br BRA,GK,34-118,21.0,806,702,802,6,0,0,806,0,0,,0,,385,2328,1510,0,1,1,2,0,241,0,Matches
João Mendes,pt POR,"MF,FW",28-149,17.9,885,4,95,498,307,39,885,49,20,40.8,22,44.9,580,3098,1347,42,29,5,49,40,696,118,Matches
Nélson Monte,pt POR,DF,27-232,20.3,1202,194,673,485,51,11,1202,2,1,50.0,1,50.0,626,3333,2079,14,8,1,7,3,744,8,Matches
Bruno Langa,mz MOZ,DF,25-139,19.3,1187,73,460,537,215,6,1187,62,35,56.5,18,29.0,573,3766,2106,38,38,2,23,9,602,61,Matches
Ricardo Guimarães,pt POR,MF,27-125,17.1,938,37,201,593,155,12,938,55,29,52.7,21,38.2,507,2537,1056,25,10,4,33,23,611,46,Matches
Juninho,br BRA,FW,26-118,15.0,411,9,37,181,201,59,411,36,14,38.9,19,52.8,248,1542,657,24,18,12,40,20,281,65,Matches
João Pedro Araújo Correia,cv CPV,DF,26-195,14.9,941,72,341,396,215,17,941,27,10,37.0,15,55.6,482,2541,1565,37,23,4,30,6,501,61,Matches
Héctor,es ESP,FW,27-186,12.5,303,16,25,165,114,43,303,11,6,54.5,5,45.5,184,788,313,7,5,3,29,18,216,40,Matches
Carlos Ponck,cv CPV,DF,28-065,11.0,571,86,303,248,24,5,571,2,1,50.0,1,50.0,278,1150,471,1,1,0,4,2,333,2,Matches
Issah Abbas,gh GHA,"FW,MF",24-174,10.5,356,6,71,137,154,41,356,34,13,38.2,19,55.9,227,1519,699,25,17,10,21,9,247,78,Matches
Euller,br BRA,"FW,MF",28-074,8.8,391,6,65,160,171,17,391,38,19,50.0,16,42.1,224,1367,731,20,9,8,17,7,252,64,Matches
Bernardo Sousa,pt POR,"FW,MF",22-357,8.0,327,8,45,131,153,14,327,20,4,20.0,12,60.0,190,887,375,14,14,5,22,7,220,70,Matches
Jonathan Monroy,es ESP,"FW,MF",21-138,7.4,280,7,43,123,117,19,280,6,3,50.0,3,50.0,146,827,494,15,4,6,10,12,175,45,Matches
Habib sylla,ci CIV,DF,24-035,6.9,401,26,144,188,73,4,401,14,10,71.4,3,21.4,167,833,371,8,5,0,9,4,183,16,Matches
Luther Singh,za RSA,"FW,MF",25-226,6.3,273,6,35,145,96,16,273,17,5,29.4,11,64.7,165,852,329,10,7,5,17,4,193,50,Matches
João Pedro,pt POR,MF,29-350,4.8,225,14,60,140,27,3,225,6,2,33.3,4,66.7,93,410,119,1,1,0,5,8,113,3,Matches
Kevin Pina,cv CPV,MF,25-143,4.1,185,14,60,101,30,0,185,7,6,85.7,1,14.3,85,442,264,4,4,0,4,3,83,3,Matches
Sandro Cruz,pt POR,"DF,FW",21-311,5.1,345,28,114,175,57,5,345,11,4,36.4,7,63.6,172,709,333,4,4,0,6,4,191,22,Matches
Nwankwo Obiora,ng NGA,MF,31-250,4.4,198,11,53,129,16,2,198,0,0,,0,,102,420,140,1,0,0,0,4,117,1,Matches
Rodrigo Nascimento,br BRA,GK,27-053,4.0,117,103,116,1,0,0,117,0,0,,0,,46,235,187,0,0,0,0,0,30,0,Matches
Batxi,ao ANG,"FW,MF",24-322,3.6,117,4,13,47,59,9,117,11,5,45.5,5,45.5,69,523,284,14,8,2,9,3,75,18,Matches
Jo,br BRA,"FW,MF",27-322,2.9,106,9,11,47,49,15,106,9,5,55.6,3,33.3,48,255,114,4,4,1,12,2,72,15,Matches
João Queirós,pt POR,DF,24-331,2.2,95,26,67,25,5,1,95,0,0,,0,,40,232,129,1,0,0,2,1,44,0,Matches
Hélder Morim,pt POR,"MF,FW",21-309,1.0,48,3,15,21,13,1,48,1,1,100.0,0,0.0,22,179,120,2,1,0,2,0,27,4,Matches
Patrick,cv CPV,"FW,MF",29-096,0.6,29,0,2,12,16,6,29,3,1,33.3,2,66.7,17,91,21,1,1,1,5,0,23,5,Matches
Sidy Sarr,sn SEN,MF,26-287,0.5,33,4,11,18,4,1,33,0,0,,0,,12,39,10,0,0,0,1,0,14,2,Matches
Eduardo Borges,pt POR,MF,22-296,0.4,22,2,10,10,2,0,22,0,0,,0,,11,28,16,0,0,0,0,0,15,1,Matches
Gonçalo Filipe,pt POR,GK,22-323,0.0,6,6,6,0,0,0,6,0,0,,0,,1,15,15,0,0,0,0,0,0,0,Matches
Guilherme Silva,br BRA,MF,22-149,0.0,4,0,2,2,0,0,4,0,0,,0,,1,2,0,0,0,0,0,0,2,0,Matches
Squad Total,,,28.0,25.0,13245,1675,4744,5822,2822,412,13237,479,219,45.7,213,44.5,7020,37710,19351,371,265,81,402,233,7864,872,
Opponent Total,,,26.8,25.0,15009,1512,4664,6579,3938,580,15000,463,220,47.5,177,38.2,7820,42979,22903,483,377,95,376,179,9522,1054,
