Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Daniel Leite,pt POR,GK,24-242,23.7,903,805,898,5,0,0,903,0,0,,0,,444,2207,1127,0,0,0,0,0,379,0,Matches
Joãozinho,pt POR,DF,33-260,21.8,1352,73,430,630,305,9,1352,23,10,43.5,10,43.5,641,2747,1503,21,26,1,13,7,783,50,Matches
Tiago Gouveia,pt POR,FW,21-274,19.8,664,16,96,241,342,72,664,75,30,40.0,38,50.7,419,2651,1444,50,34,28,37,27,484,143,Matches
Tiago santos,pt POR,DF,20-239,19.9,1167,44,389,515,285,29,1167,60,22,36.7,25,41.7,609,4383,2468,65,49,10,35,9,641,75,Matches
Pedro Álvaro,pt POR,DF,23-017,19.6,1296,228,748,516,37,13,1296,8,4,50.0,4,50.0,785,4205,2618,12,7,3,2,4,913,2,Matches
Francisco Geraldes,pt POR,MF,27-335,17.9,945,20,160,484,321,33,942,67,31,46.3,30,44.8,554,3461,1534,32,40,1,49,24,642,66,Matches
João Carvalho,pt POR,MF,26-010,17.8,948,40,211,523,226,23,948,31,13,41.9,15,48.4,505,2422,1218,20,19,1,26,14,612,57,Matches
Bernardo Vital,pt POR,DF,22-080,17.1,1148,213,719,408,24,10,1148,3,2,66.7,1,33.3,648,3419,2180,6,1,1,7,3,766,2,Matches
Rodrigo Martins,pt POR,"FW,MF",24-185,13.1,469,11,65,187,228,41,469,37,17,45.9,11,29.7,297,2079,1006,40,22,18,35,17,312,93,Matches
Loreintz Rosier,fr FRA,MF,24-217,11.5,606,31,181,345,86,14,606,8,6,75.0,2,25.0,309,1727,792,10,11,1,5,6,374,10,Matches
Mor Ndiaye,sn SEN,MF,22-117,12.1,653,69,250,364,46,16,653,4,1,25.0,2,50.0,287,1379,559,3,1,0,14,6,365,3,Matches
Mexer,mz MOZ,DF,34-192,10.7,719,93,366,328,29,8,719,3,2,66.7,0,0.0,425,2321,1162,1,7,0,6,1,485,0,Matches
Erison,br BRA,FW,23-340,7.6,149,7,11,64,74,30,149,5,2,40.0,3,60.0,73,317,104,4,4,2,23,16,106,24,Matches
Cassiano,br BRA,FW,33-276,7.2,146,6,13,71,64,15,146,9,3,33.3,6,66.7,61,241,89,5,3,1,5,2,80,17,Matches
João Gamboa,pt POR,"MF,DF",26-200,6.4,268,21,86,159,25,4,268,6,1,16.7,5,83.3,104,476,184,4,2,0,3,2,145,4,Matches
James Lea Siliki,cm CMR,"MF,FW",26-280,8.7,369,9,41,164,166,18,369,29,10,34.5,15,51.7,193,1219,465,10,9,4,18,10,233,45,Matches
João Carlos,br BRA,"FW,MF",28-018,7.1,223,11,19,99,108,29,223,17,5,29.4,11,64.7,113,515,166,6,7,2,21,17,146,33,Matches
Tiago Araújo,pt POR,"FW,DF",21-357,6.8,401,17,124,129,154,14,401,17,6,35.3,10,58.8,193,1326,707,21,14,3,17,8,217,62,Matches
Rafik Guitane,fr FRA,"FW,MF",23-297,3.9,158,2,24,72,66,1,158,17,10,58.8,7,41.2,106,825,410,7,6,0,7,4,117,10,Matches
Arthur,br BRA,"FW,MF",24-259,3.1,96,2,15,43,39,7,96,9,5,55.6,4,44.4,63,463,240,10,2,4,6,6,72,18,Matches
Lucas Áfrico,br BRA,DF,28-042,2.9,149,23,89,57,4,3,149,0,0,,0,,107,603,399,0,0,0,1,0,113,0,Matches
Shaquil Delos,fr FRA,"DF,FW",23-276,2.6,146,8,41,59,50,1,146,7,2,28.6,5,71.4,55,443,253,5,6,0,5,1,70,12,Matches
Gonçalo Esteves,pt POR,DF,19-020,2.0,121,4,37,60,25,0,121,6,3,50.0,1,16.7,53,405,155,3,3,0,2,4,57,6,Matches
Gilson Tavares,cv CPV,FW,21-080,3.4,123,6,20,63,42,10,123,11,1,9.1,7,63.6,61,265,109,2,4,0,12,9,76,15,Matches
Serginho,pt POR,"FW,MF",22-049,1.5,82,2,9,40,35,8,82,3,2,66.7,1,33.3,41,377,236,9,4,1,1,0,47,8,Matches
Pedro José Moreira Silva,pt POR,GK,26-034,1.3,50,49,50,0,0,0,50,0,0,,0,,28,157,88,0,0,0,0,0,17,0,Matches
Carlos Eduardo,br BRA,"FW,MF",26-160,1.2,52,3,12,13,28,1,52,4,2,50.0,1,25.0,33,215,117,5,8,1,6,1,34,10,Matches
Alejandro Marqués,es ESP,FW,22-227,1.8,59,6,9,29,21,5,59,0,0,,0,,28,100,21,0,1,0,12,3,41,6,Matches
Bamidele Isa Yusuf,ng NGA,"FW,MF",22-025,0.7,33,1,4,12,18,3,33,2,1,50.0,1,50.0,17,124,71,3,1,2,7,3,20,6,Matches
Mabrouk Rouai,fr FRA,"FW,MF",22-138,0.4,14,2,4,7,3,0,14,0,0,,0,,6,35,30,1,0,0,1,0,8,0,Matches
João Marques,pt POR,MF,21-034,0.3,24,1,4,18,3,0,24,2,1,50.0,1,50.0,19,152,115,5,0,0,0,1,18,2,Matches
Volnei Feltes,br BRA,DF,22-338,0.1,6,2,6,0,0,0,6,0,0,,0,,3,5,1,0,0,0,0,0,3,0,Matches
Elias Achouri,tn TUN,MF,24-037,0.1,9,1,3,2,4,0,9,0,0,,0,,4,31,19,1,1,0,1,0,6,1,Matches
Squad Total,,,25.4,25.0,13548,1826,5134,5707,2858,417,13545,463,192,41.5,216,46.7,7284,41295,21590,361,292,84,377,205,8382,780,
Opponent Total,,,26.6,25.0,14086,1476,4486,6263,3485,529,14077,421,163,38.7,208,49.4,8076,40202,20627,421,342,100,401,175,8912,960,
