Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Luiz Lúcio Reis Júnior,br BRA,GK,22-079,25.0,5,0.2,2,2,0,0,1,0,2,0.08,2,0,0,0,0,0,Matches
Enea Mihaj,al ALB,DF,24-272,23.0,7,0.3,7,0,0,0,0,0,2,0.09,2,0,0,0,0,0,Matches
Riccieli,br BRA,DF,24-198,21.5,9,0.42,8,0,0,1,0,0,1,0.05,0,0,0,1,0,0,Matches
Santiago Colombatto,ar ARG,MF,26-076,21.1,65,3.07,34,26,1,3,1,0,7,0.33,3,2,0,2,0,0,Matches
Alexandre Penetra,pt POR,DF,21-206,20.4,40,1.96,32,3,0,1,3,1,8,0.39,7,0,0,0,1,0,Matches
Ivo Rodrigues,pt POR,"MF,FW",28-004,18.5,63,3.42,42,5,4,5,5,2,5,0.27,4,1,0,0,0,0,Matches
Moura,pt POR,DF,23-230,17.2,35,2.03,28,4,1,0,0,2,3,0.17,3,0,0,0,0,0,Matches
Zaydou Youssouf,fr FRA,MF,23-266,16.9,31,1.84,26,1,3,0,0,1,1,0.06,0,0,1,0,0,0,Matches
Ivan Jaime Pajuelo,es ESP,FW,22-189,12.7,54,4.26,31,4,5,9,5,0,5,0.39,2,1,1,0,1,0,Matches
Rúben Lima,pt POR,DF,33-182,10.5,9,0.86,6,1,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Álex Millán,es ESP,FW,23-147,8.6,22,2.56,16,0,2,2,2,0,2,0.23,1,0,0,0,1,0,Matches
Jhonder Cádiz,ve VEN,FW,27-248,9.8,25,2.56,18,0,0,4,3,0,3,0.31,2,0,0,1,0,0,Matches
Gustavo Assuncao,pt POR,MF,23-004,8.5,13,1.53,12,0,1,0,0,0,1,0.12,1,0,0,0,0,0,Matches
Junior Kadile,fr FRA,"FW,MF",20-108,7.1,15,2.12,9,0,4,2,0,0,2,0.28,1,0,1,0,0,0,Matches
Pelé,gw GNB,MF,31-186,6.8,4,0.59,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Hernán De La Fuente,ar ARG,DF,26-086,6.0,14,2.33,11,1,2,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mihai Dobre,ro ROU,FW,24-216,5.9,18,2.96,12,0,2,3,0,1,1,0.16,1,0,0,0,0,0,Matches
José Luis Rodríguez,pa PAN,"FW,MF",24-288,5.6,16,2.85,10,0,3,1,2,0,3,0.53,3,0,0,0,0,0,Matches
Pablo,br BRA,FW,19-091,4.2,14,3.3,9,0,3,0,2,0,0,0.0,0,0,0,0,0,0,Matches
Pedro Brazão,pt POR,"MF,FW",20-094,3.4,15,4.44,10,0,3,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Rui Fonte,pt POR,"FW,MF",32-345,4.4,7,1.61,6,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Denílson,br BRA,FW,27-259,2.7,2,0.73,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Leandro Sanca,pt POR,"FW,MF",23-089,2.7,9,3.33,3,0,4,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Heriberto Tavares,pt POR,"MF,FW",26-043,2.4,9,3.72,6,2,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gustavo sá,pt POR,"MF,FW",18-143,2.2,1,0.45,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Dylan Batubinsika,fr FRA,DF,27-047,2.0,2,1.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
André Simões,pt POR,MF,33-108,1.8,5,2.8,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Martin Agirregabiria,es ESP,"DF,FW",26-328,2.2,3,1.38,3,0,0,0,0,0,1,0.46,1,0,0,0,0,0,Matches
Théo Fonseca,fr FRA,"MF,FW",22-296,1.2,2,1.58,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
David Tavares,cv CPV,"MF,FW",24-016,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,24.8,25.0,514,20.56,355,50,40,36,25,8,47,1.88,33,4,3,4,3,0,
Opponent Total,,,27.0,25.0,651,26.04,461,52,40,53,37,8,50,2.0,33,2,7,8,0,0,
