Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Cláudio Winck,br BRA,"DF,MF",28-356,24.7,3,0,0,23,42,3,96,28,37,0.0,0.0,0,158.0,30.0,29.0,50.8,Matches
Xadas,pt POR,"MF,FW",25-125,20.3,2,0,0,25,12,4,123,11,12,0.0,0.0,0,111.0,4.0,4.0,50.0,Matches
André Vidigal,pt POR,"FW,MF",24-232,21.6,6,1,0,28,50,8,57,11,19,0.0,1.0,0,89.0,13.0,23.0,36.1,Matches
Vitor Costa,br BRA,DF,28-279,19.9,7,1,0,37,30,0,54,25,23,0.0,2.0,0,127.0,26.0,18.0,59.1,Matches
Zainadine Júnior,mz MOZ,DF,34-286,16.1,2,0,0,18,18,1,0,25,8,0.0,0.0,0,94.0,51.0,23.0,68.9,Matches
Stefano Beltrame,it ITA,MF,30-057,11.7,3,0,0,8,18,0,32,7,6,0.0,0.0,0,65.0,6.0,5.0,54.5,Matches
Diogo Mendes,pt POR,MF,25-072,10.5,2,0,0,21,27,1,4,8,12,1.0,0.0,0,55.0,19.0,10.0,65.5,Matches
Léo Andrade,br BRA,DF,24-353,11.8,3,0,0,9,4,1,3,26,8,1.0,0.0,0,54.0,21.0,16.0,56.8,Matches
João Afonso Crispim,br BRA,"MF,DF",28-056,11.3,7,1,1,17,10,0,1,28,15,0.0,0.0,0,85.0,21.0,15.0,58.3,Matches
Pablo Moreno,es ESP,"FW,MF",20-338,9.2,3,1,1,18,30,4,15,2,9,0.0,0.0,0,28.0,4.0,16.0,20.0,Matches
Moises Castillo,co COL,DF,21-317,12.4,5,0,0,13,7,0,0,37,25,0.0,0.0,0,67.0,39.0,9.0,81.3,Matches
Matheus Costa,br BRA,DF,28-070,9.7,1,1,0,9,6,1,0,13,12,0.0,0.0,0,55.0,30.0,19.0,61.2,Matches
Diederrick Joel,cm CMR,FW,29-121,10.5,1,0,0,13,15,16,7,2,1,0.0,0.0,0,30.0,28.0,53.0,34.6,Matches
Rene Santos,br BRA,"DF,MF",30-350,8.6,3,1,0,10,12,0,0,7,13,0.0,1.0,0,54.0,20.0,11.0,64.5,Matches
Valdemir,br BRA,MF,26-025,7.8,5,0,0,22,8,0,7,10,7,0.0,1.0,0,56.0,6.0,10.0,37.5,Matches
