Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Cláudio Winck,br BRA,"DF,MF",28-356,24.7,4,29,3,10.3,1.18,0.12,0.03,0.33,23.3,1.0,3,3,4.1,1.8,0.06,-0.1,-0.8,Matches
Xadas,pt POR,"MF,FW",25-125,20.3,3,59,20,33.9,2.91,0.99,0.05,0.15,27.5,9.0,0,1,3.6,2.8,0.05,-0.6,0.2,Matches
André Vidigal,pt POR,"FW,MF",24-232,21.6,5,48,9,18.8,2.22,0.42,0.1,0.56,19.6,0.0,0,0,5.6,5.6,0.12,-0.6,-0.6,Matches
Vitor Costa,br BRA,DF,28-279,19.9,0,10,1,10.0,0.5,0.05,0.0,0.0,24.8,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Zainadine Júnior,mz MOZ,DF,34-286,16.1,0,10,3,30.0,0.62,0.19,0.0,0.0,13.1,0.0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
Stefano Beltrame,it ITA,MF,30-057,11.7,0,17,4,23.5,1.45,0.34,0.0,0.0,25.3,2.0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
Diogo Mendes,pt POR,MF,25-072,10.5,0,3,0,0.0,0.28,0.0,0.0,,7.1,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Léo Andrade,br BRA,DF,24-353,11.8,1,7,2,28.6,0.59,0.17,0.14,0.5,6.3,0.0,0,0,1.3,1.1,0.17,-0.3,-0.1,Matches
João Afonso Crispim,br BRA,"MF,DF",28-056,11.3,0,1,0,0.0,0.09,0.0,0.0,,4.5,0.0,0,0,0.2,0.2,0.19,-0.2,-0.2,Matches
Pablo Moreno,es ESP,"FW,MF",20-338,9.2,0,8,2,25.0,0.87,0.22,0.0,0.0,16.6,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Moises Castillo,co COL,DF,21-317,12.4,0,10,2,20.0,0.81,0.16,0.0,0.0,17.2,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Matheus Costa,br BRA,DF,28-070,9.7,0,5,2,40.0,0.51,0.21,0.0,0.0,14.6,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Diederrick Joel,cm CMR,FW,29-121,10.5,1,32,10,31.3,3.05,0.95,0.03,0.1,16.2,0.0,0,2,4.3,2.8,0.09,-3.3,-1.8,Matches
Rene Santos,br BRA,"DF,MF",30-350,8.6,1,6,1,16.7,0.7,0.12,0.17,1.0,16.5,0.0,0,0,0.4,0.4,0.07,0.6,0.6,Matches
Valdemir,br BRA,MF,26-025,7.8,0,10,3,30.0,1.29,0.39,0.0,0.0,33.2,0.0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
João Miguel Macedo Silva,pt POR,GK,27-364,8.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Marcelo Carné,br BRA,GK,33-059,7.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Leo Augusto Pereira,br BRA,"MF,FW",22-281,5.9,0,6,1,16.7,1.02,0.17,0.0,0.0,19.9,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Matouš Trmal,cz CZE,GK,24-186,6.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Brayan Riascos,co COL,"FW,MF",28-178,5.7,2,21,3,14.3,3.66,0.52,0.1,0.67,13.5,0.0,0,0,3.5,3.5,0.17,-1.5,-1.5,Matches
Rafael Brito,pt POR,"MF,DF",21-077,5.9,0,4,0,0.0,0.68,0.0,0.0,,22.9,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Giorgi Makaridze,ge GEO,GK,33-006,5.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Jesús Ramírez,ve VEN,"FW,MF",24-337,5.4,1,14,6,42.9,2.6,1.11,0.07,0.17,14.1,0.0,0,0,1.5,1.5,0.1,-0.5,-0.5,Matches
Percy Liza,pe PER,"FW,MF",22-361,4.7,1,4,1,25.0,0.86,0.21,0.25,1.0,11.2,0.0,0,0,0.9,0.9,0.23,0.1,0.1,Matches
Fábio China,pt POR,"DF,MF",30-273,3.6,0,1,0,0.0,0.28,0.0,0.0,,18.2,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Zarzana,es ESP,FW,21-016,3.2,0,5,1,20.0,1.56,0.31,0.0,0.0,,,0,0,,,,,,Matches
Miguel Sousa,pt POR,MF,24-199,2.0,0,4,3,75.0,1.96,1.47,0.0,0.0,16.0,0.0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
Edgar Costa,pt POR,"FW,MF",35-357,4.5,0,8,1,12.5,1.77,0.22,0.0,0.0,25.7,2.0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Joel Soñora,us USA,MF,26-203,2.0,0,2,0,0.0,1.01,0.0,0.0,,30.4,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Félix Correia,pt POR,FW,22-074,1.5,1,4,3,75.0,2.65,1.99,0.25,0.33,13.3,0.0,0,0,1.0,1.0,0.26,0.0,0.0,Matches
Paulo Sérgio Mota,pt POR,DF,31-267,1.2,0,1,0,0.0,0.87,0.0,0.0,,4.0,0.0,0,0,0.3,0.3,0.28,-0.3,-0.3,Matches
Geny Catamo,mz MOZ,FW,22-070,1.0,0,3,2,66.7,2.9,1.94,0.0,0.0,22.3,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Luciano Vega,ar ARG,"MF,FW",23-214,2.1,0,4,1,25.0,1.94,0.48,0.0,0.0,16.1,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Nito,gw GNB,MF,21-062,0.8,0,1,0,0.0,1.27,0.0,0.0,,34.8,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Stanley Kanu,ng NGA,"DF,FW",24-079,0.7,0,2,0,0.0,2.86,0.0,0.0,,20.1,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Clésio Baúque,mz MOZ,"MF,DF",28-177,0.7,0,1,0,0.0,1.48,0.0,0.0,,21.3,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
André Teles,pt POR,MF,26-000,0.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Dylan Collard,mu MRI,DF,22-355,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.2,26.0,20,340,84,24.7,13.08,3.23,0.05,0.2,20.4,14.0,3,6,31.6,26.9,0.08,-11.6,-9.9,
Opponent Total,,,27.0,26.0,49,364,134,36.8,14.0,5.15,0.12,0.34,18.8,10.0,4,6,44.8,40.3,0.11,4.2,4.7,
