Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Juan Delgado,cl CHI,DF,30-029,24.6,9,0,0,55,58,2,95,21,29,0,0,1,127,24,28,46.2,Matches
Vitorino Antunes,pt POR,DF,36-002,23.6,9,1,1,24,43,0,114,54,29,0,0,0,134,14,21,40.0,Matches
Rui Pires,pt POR,MF,25-012,21.1,8,0,0,46,14,0,3,26,33,0,1,0,121,14,14,50.0,Matches
Nuno Lima,pt POR,DF,22-018,21.2,5,1,1,20,8,0,3,30,15,0,0,0,118,33,26,55.9,Matches
Nigel Thomas,nl NED,"FW,MF",22-061,17.3,3,0,0,25,26,10,99,11,6,0,0,0,52,8,14,36.4,Matches
Nicolás Gaitán,ar ARG,"FW,MF",35-039,13.7,2,0,0,14,18,2,64,8,10,0,0,0,56,10,13,43.5,Matches
Jordan Holsgrove,sct SCO,MF,23-205,15.3,8,0,0,25,19,1,26,22,14,1,0,0,84,4,8,33.3,Matches
Matchoi Djaló,pt POR,"MF,FW",19-358,14.1,11,1,0,29,65,4,69,8,13,0,0,0,77,11,15,42.3,Matches
José Carlos Marafona,pt POR,GK,35-330,11.8,5,1,0,0,1,0,0,0,0,0,0,0,12,1,1,50.0,Matches
Adrián Butzke,es ESP,FW,24-004,12.5,3,1,1,18,15,4,4,2,6,0,0,0,29,53,51,51.0,Matches
Zé Uilton,br BRA,"FW,MF",30-252,12.0,4,1,0,19,22,4,35,5,10,0,0,0,56,7,16,30.4,Matches
Luíz Carlos,br BRA,MF,37-272,9.1,3,0,0,19,20,0,9,3,12,0,0,0,56,5,12,29.4,Matches
Maracás,br BRA,DF,28-341,9.0,6,2,1,15,7,1,0,11,10,0,0,1,37,26,11,70.3,Matches
Erick Ferigra,ec ECU,DF,24-055,9.9,2,0,0,11,13,0,1,9,3,0,0,1,41,21,20,51.2,Matches
Flávio Ramos,br BRA,DF,28-326,8.3,1,0,0,6,4,0,0,13,2,0,0,0,26,20,5,80.0,Matches
Philippe Koffi,fr FRA,FW,21-025,7.4,0,0,0,13,15,8,11,2,3,0,0,0,19,10,24,29.4,Matches
Igor Vekič,si SVN,GK,24-332,6.1,0,0,0,0,1,0,0,0,0,0,0,0,10,2,0,100.0,Matches
Jordi Almeida,br BRA,GK,29-212,6.0,1,0,0,0,2,0,0,0,0,0,0,0,5,3,1,75.0,Matches
Alexandre Guedes,pt POR,FW,29-051,4.9,0,0,0,5,6,4,3,2,5,0,0,0,12,15,18,45.5,Matches
Bastien Toma,ch SUI,MF,23-283,4.8,1,0,0,11,6,0,5,2,3,0,0,0,29,1,6,14.3,Matches
Arthur Sales,br BRA,"FW,MF",20-274,4.0,0,0,0,9,5,1,4,3,2,0,0,0,12,8,10,44.4,Matches
Abbas Ibrahim,ng NGA,"MF,DF",25-091,3.6,3,0,0,6,6,0,3,4,4,0,0,0,29,3,3,50.0,Matches
Paulo Bernardo,pt POR,MF,21-069,3.1,1,0,0,3,9,0,3,3,2,0,0,0,20,5,6,45.5,Matches
Kayky Chagas,br BRA,"MF,FW",19-296,3.0,1,0,0,4,2,1,2,3,3,0,0,0,12,0,0,,Matches
Hernani Infande,pt POR,"FW,MF",22-000,2.8,0,0,0,3,7,2,3,1,4,0,0,0,8,1,3,25.0,Matches
Tiago Ilori,pt POR,DF,30-036,2.3,0,0,0,2,0,0,0,1,0,0,0,0,10,5,2,71.4,Matches
Pedro Ganchas,pt POR,DF,22-307,2.7,0,0,0,3,4,0,0,1,1,0,0,0,18,6,1,85.7,Matches
Luís Alves,pt POR,DF,21-205,2.3,0,0,0,1,6,0,5,2,1,0,0,0,11,1,1,50.0,Matches
José Oliveira,pt POR,GK,20-362,2.0,1,0,0,1,0,0,0,0,0,0,1,0,2,1,0,100.0,Matches
Fernando Ferreira Fonseca,pt POR,"DF,FW",26-020,1.8,0,0,0,2,3,0,9,3,2,0,0,0,6,1,4,20.0,Matches
Jorge Fernando Santos Silva,pt POR,"DF,MF",27-012,1.5,0,0,0,3,2,0,11,0,5,0,0,0,5,4,7,36.4,Matches
Fábio,br BRA,FW,25-313,1.7,0,0,0,3,1,1,1,0,0,0,0,0,5,11,12,47.8,Matches
Lucas Silva,br BRA,FW,25-063,0.2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,Matches
Mauro Meireles Couto,pt POR,MF,17-139,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
Squad Total,,,27.2,26.0,87,8,4,396,409,45,582,250,227,1,2,3,1242,328,353,48.2,
Opponent Total,,,26.7,26.0,82,2,1,423,379,79,531,208,226,2,1,0,1290,353,328,51.8,
