Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Juan Delgado,cl CHI,DF,30-029,25,2215.0,89.0,94.7,24.6,25,89.0,22,0,,0,0.68,19.0,41.0,-22.0,-0.89,0.55,22.4,36.4,-14.0,-0.57,0.31,Matches
Vitorino Antunes,pt POR,DF,36-002,25,2125.0,85.0,90.8,23.6,25,85.0,17,0,,0,0.68,18.0,40.0,-22.0,-0.93,-0.09,22.5,34.9,-12.3,-0.52,0.69,Matches
Rui Pires,pt POR,MF,25-012,24,1898.0,79.0,81.1,21.1,24,79.0,14,0,,1,0.67,15.0,39.0,-24.0,-1.14,-1.14,16.3,33.8,-17.5,-0.83,-1.31,Matches
Nuno Lima,pt POR,DF,22-018,22,1905.0,87.0,81.4,21.2,21,90.0,21,1,15.0,4,0.68,16.0,37.0,-21.0,-0.99,-0.37,20.2,34.1,-14.0,-0.66,-0.41,Matches
Nigel Thomas,nl NED,"FW,MF",22-061,26,1557.0,60.0,66.5,17.3,18,73.0,2,8,31.0,0,0.65,16.0,23.0,-7.0,-0.4,1.55,16.1,24.8,-8.7,-0.5,0.24,Matches
Nicolás Gaitán,ar ARG,"FW,MF",35-039,19,1236.0,65.0,52.8,13.7,16,71.0,3,3,31.0,0,0.74,9.0,19.0,-10.0,-0.73,0.41,12.6,19.3,-6.7,-0.49,0.2,Matches
Jordan Holsgrove,sct SCO,MF,23-205,18,1379.0,77.0,58.9,15.3,15,85.0,9,3,37.0,2,0.67,14.0,24.0,-10.0,-0.65,0.66,15.5,23.2,-7.7,-0.5,0.2,Matches
Matchoi Djaló,pt POR,"MF,FW",19-358,21,1270.0,60.0,54.3,14.1,14,82.0,5,7,18.0,0,0.67,6.0,25.0,-19.0,-1.35,-0.93,12.6,20.7,-8.1,-0.58,0.01,Matches
José Carlos Marafona,pt POR,GK,35-330,12,1066.0,89.0,45.6,11.8,12,89.0,11,0,,0,1.25,12.0,14.0,-2.0,-0.17,1.39,12.3,15.9,-3.6,-0.3,0.52,Matches
Adrián Butzke,es ESP,FW,24-004,20,1129.0,56.0,48.2,12.5,11,79.0,5,9,29.0,1,0.65,14.0,15.0,-1.0,-0.08,1.63,14.5,14.6,0.0,0.0,1.12,Matches
Zé Uilton,br BRA,"FW,MF",30-252,22,1081.0,49.0,46.2,12.0,11,75.0,3,11,23.0,2,0.68,6.0,18.0,-12.0,-1.0,-0.14,10.8,16.6,-5.8,-0.48,0.19,Matches
Luíz Carlos,br BRA,MF,37-272,14,817.0,58.0,34.9,9.1,10,68.0,0,4,36.0,0,1.0,9.0,12.0,-3.0,-0.33,0.91,9.8,12.6,-2.8,-0.31,0.42,Matches
Maracás,br BRA,DF,28-341,10,810.0,81.0,34.6,9.0,10,81.0,7,0,,0,1.2,8.0,9.0,-1.0,-0.11,1.24,9.2,10.8,-1.6,-0.17,0.63,Matches
Erick Ferigra,ec ECU,DF,24-055,13,888.0,68.0,37.9,9.9,9,89.0,8,4,22.0,7,0.92,8.0,17.0,-9.0,-0.91,0.02,10.3,14.8,-4.5,-0.46,0.2,Matches
Flávio Ramos,br BRA,DF,28-326,9,749.0,83.0,32.0,8.3,9,83.0,7,0,,4,0.22,5.0,18.0,-13.0,-1.56,-0.94,5.7,14.7,-8.9,-1.07,-0.72,Matches
Philippe Koffi,fr FRA,FW,21-025,12,664.0,55.0,28.4,7.4,7,80.0,4,5,20.0,0,0.17,4.0,19.0,-15.0,-2.03,-1.55,6.0,13.8,-7.7,-1.05,-0.65,Matches
Igor Vekič,si SVN,GK,24-332,7,551.0,79.0,23.5,6.1,6,90.0,6,1,11.0,13,0.43,5.0,9.0,-4.0,-0.65,0.35,6.4,6.1,0.3,0.05,0.83,Matches
Jordi Almeida,br BRA,GK,29-212,6,540.0,90.0,23.1,6.0,6,90.0,6,0,,1,0.0,0.0,14.0,-14.0,-2.33,-1.83,3.9,11.7,-7.8,-1.29,-0.92,Matches
Alexandre Guedes,pt POR,FW,29-051,9,444.0,49.0,19.0,4.9,6,63.0,2,3,22.0,1,1.0,2.0,6.0,-4.0,-0.81,0.14,4.0,5.8,-1.8,-0.36,0.28,Matches
Bastien Toma,ch SUI,MF,23-283,12,430.0,36.0,18.4,4.8,4,69.0,1,8,19.0,2,0.42,2.0,9.0,-7.0,-1.47,-0.66,5.1,6.2,-1.1,-0.22,0.44,Matches
Arthur Sales,br BRA,"FW,MF",20-274,12,364.0,30.0,15.6,4.0,3,66.0,1,9,18.0,3,0.17,2.0,5.0,-3.0,-0.74,0.21,3.7,5.7,-2.0,-0.49,0.12,Matches
Abbas Ibrahim,ng NGA,"MF,DF",25-091,7,328.0,47.0,14.0,3.6,3,87.0,2,4,17.0,3,0.29,3.0,7.0,-4.0,-1.1,-0.2,3.1,5.9,-2.8,-0.77,-0.21,Matches
Paulo Bernardo,pt POR,MF,21-069,6,282.0,47.0,12.1,3.1,3,62.0,1,3,32.0,1,1.33,4.0,2.0,2.0,0.64,1.78,3.2,4.5,-1.3,-0.41,0.19,Matches
Kayky Chagas,br BRA,"MF,FW",19-296,8,273.0,34.0,11.7,3.0,3,63.0,0,5,17.0,2,0.13,2.0,7.0,-5.0,-1.65,-0.82,2.8,5.6,-2.8,-0.93,-0.4,Matches
Hernani Infande,pt POR,"FW,MF",22-000,7,254.0,36.0,10.9,2.8,3,66.0,0,4,14.0,0,1.14,3.0,5.0,-2.0,-0.71,0.24,3.4,4.0,-0.6,-0.22,0.41,Matches
Tiago Ilori,pt POR,DF,30-036,3,205.0,68.0,8.8,2.3,3,68.0,2,0,,1,0.0,1.0,4.0,-3.0,-1.32,-0.43,1.4,2.9,-1.4,-0.63,-0.05,Matches
Pedro Ganchas,pt POR,DF,22-307,3,245.0,82.0,10.5,2.7,2,90.0,2,1,65.0,8,0.0,0.0,7.0,-7.0,-2.57,-1.84,1.7,5.2,-3.5,-1.29,-0.78,Matches
Luís Alves,pt POR,DF,21-205,6,204.0,34.0,8.7,2.3,2,79.0,1,4,12.0,10,0.5,2.0,5.0,-3.0,-1.32,-0.44,1.1,4.9,-3.8,-1.65,-1.17,Matches
José Oliveira,pt POR,GK,20-362,2,180.0,90.0,7.7,2.0,2,90.0,2,0,,9,0.0,2.0,6.0,-4.0,-2.0,-1.17,1.4,5.5,-4.1,-2.06,-1.6,Matches
Fernando Ferreira Fonseca,pt POR,"DF,FW",26-020,6,164.0,27.0,7.0,1.8,2,45.0,0,4,19.0,6,0.33,0.0,6.0,-6.0,-3.29,-2.55,1.1,4.6,-3.5,-1.9,-1.41,Matches
Jorge Fernando Santos Silva,pt POR,"DF,MF",27-012,9,133.0,15.0,5.7,1.5,1,76.0,0,8,7.0,8,1.11,0.0,3.0,-3.0,-2.03,-1.17,1.4,2.8,-1.4,-0.98,-0.42,Matches
Fábio,br BRA,FW,25-313,6,154.0,26.0,6.6,1.7,0,,0,6,26.0,4,1.17,1.0,2.0,-1.0,-0.58,0.36,2.3,4.6,-2.2,-1.29,-0.76,Matches
Lucas Silva,br BRA,FW,25-063,1,21.0,21.0,0.9,0.2,0,,0,1,21.0,0,0.0,0.0,1.0,-1.0,-4.29,-3.39,0.4,0.8,-0.5,-2.05,-1.48,Matches
Mauro Meireles Couto,pt POR,MF,17-139,1,4.0,4.0,0.2,0.0,0,,0,1,4.0,4,0.0,1.0,0.0,1.0,22.5,23.46,0.6,0.0,0.6,13.08,13.69,Matches
Jeimes,br BRA,GK,21-340,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Tiago Ribeiro,pt POR,MF,21-020,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Vasco Sousa,pt POR,MF,18-362,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
João Vigário,pt POR,"DF,FW",27-134,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Squad Total,,,27.2,26,2340.0,90.0,100.0,26.0,286,80.0,164,117,22.0,111,0.65,19.0,43.0,-24.0,-0.92,,24.1,39.3,-15.2,-0.58,,
Opponent Total,,,26.7,26,2340.0,90.0,100.0,26.0,286,80.0,164,117,22.0,118,2.15,43.0,19.0,24.0,0.92,,39.3,24.1,15.2,0.58,,
